PlayerID,Jersey,FirstName,LastName,College,Age,Experience,Height,Weight,TeamID,DraftedBy,DraftRound,DraftPick,DraftSeason,HallOfFame,Injury,InjuryLength,Salary,ContractYears,Position,Alt Position,Team,RetiredSeason,Franchise Tag,Tender Type,Awards,Strength,Agility,Arm,Speed,Hands,Intelligence,Accuracy,Run Blocking,Pass Blocking,Tackling,Endurance,Kick Distance,Kick Accuracy,Overall
1825,22,Gill,Byrd,San Jose State,24,0,71,195,6,6,2,4,1985,False,,,35238690,4,SS,SS,WIN,0,False,None,,73,87,1,85,70,66,1,5,1,64,89,1,1,93
1826,80,Jerry,Rice,Miss. Valley State,23,0,74,200,15,15,1,3,1985,False,,,35157990,5,WR,WR,SF,0,False,None,,47,95,8,95,99,82,7,31,32,34,97,7,5,92
1827,84,Gary,Clark,James Madison,23,0,69,173,16,16,1,14,1985,False,,,33818292,6,WR,WR,PHI,0,False,None,,50,92,1,90,90,55,8,34,19,42,87,1,1,91
1828,78,Anthony,Munoz,USC,27,0,78,278,1,1,2,3,1985,False,,,5500000,4,T,T,KC,0,False,None,,84,60,10,56,19,72,1,86,89,59,81,9,10,92
1829,31,Donnie,Shell,South Carolina State,33,0,71,190,16,16,4,5,1985,False,,,30568131,4,SS,SS,PHI,0,False,None,,77,83,1,86,57,55,8,3,1,64,81,1,1,86
1830,57,Steve,Nelson,Augsburg,34,0,74,230,16,16,5,14,1985,False,,,23555538,3,LB,LB,PHI,0,False,None,,67,79,1,79,48,74,1,1,1,78,90,1,1,86
1831,32,James,Wilder,Missouri,27,0,75,225,18,18,3,5,1985,False,,,30441125,5,RB,RB,CLM,0,False,None,,65,76,32,86,69,65,25,23,32,42,89,1,1,89
1832,14,Dan,Fouts,Oregon,34,0,75,204,3,3,2,2,1985,False,,,25642191,6,QB,QB,HOU,0,False,None,,60,72,96,62,16,91,88,1,10,28,89,1,1,89
1833,33,Tony,Dorsett,Pittsburgh,31,0,71,192,9,9,6,12,1985,False,,,24428167,5,RB,RB,LON,0,False,None,,62,79,25,87,68,58,35,32,48,50,82,8,1,87
1834,74,Bruce,Matthews,USC,24,0,77,305,12,12,1,11,1985,False,,,27145235,4,T,T,DET,0,False,None,,85,70,7,70,34,73,1,82,82,53,83,1,1,94
1835,78,Mike,Kenn,Michigan,29,0,79,273,14,14,3,10,1985,False,,,30019783,5,T,T,ATL,0,False,None,,92,52,1,54,31,70,1,80,87,46,76,4,1,91
1836,52,Mike,Webster,Wisconsin,33,0,73,255,8,8,6,10,1985,False,,,24174216,3,C,C,PRO,0,False,None,,84,50,1,62,19,74,1,75,85,57,72,7,6,87
1837,57,Jeff,Van Note,Kentucky,39,0,74,247,17,17,6,15,1985,False,,,25161579,5,C,C,WAS,0,False,None,,74,45,1,44,14,71,4,87,77,53,80,1,1,90
1838,57,Clay,Matthews,USC,29,0,74,245,18,18,2,14,1985,False,,,27483172,4,LB,LB,CLM,0,False,None,,81,87,10,72,57,60,1,1,7,93,81,5,1,89
1839,56,Chris,Doleman,Pittsburgh,24,0,77,289,10,10,1,18,1985,False,,,28610224,5,DE,DE,GB,0,False,None,,82,72,4,81,40,61,9,1,1,68,85,9,1,90
1840,63,Mike,Munchak,Penn State,25,0,75,281,15,15,2,16,1985,False,,,30373287,5,G,G,SF,0,False,None,,91,49,6,63,21,70,9,87,74,45,64,1,1,89
1841,68,Joe,DeLamielleure,Michigan State,34,0,75,254,13,13,6,11,1985,False,,,25599935,4,G,G,MIN,0,False,None,,92,51,6,48,19,64,3,90,77,40,72,1,1,86
1842,65,Max,Montoya,UCLA,29,0,77,282,11,11,5,2,1985,False,,,27080213,4,G,G,CHI,0,False,None,,86,55,1,54,15,64,1,74,82,46,57,3,1,85
1843,58,Wilber,Marshall,Florida,23,0,73,231,16,16,2,5,1985,False,,,27617946,4,LB,LB,PHI,0,False,None,,73,79,1,89,40,68,1,1,10,80,74,1,3,88
1844,95,Richard,Dent,Tennessee State,25,0,77,265,12,12,2,8,1985,False,,,28489707,4,DE,DE,DET,0,False,None,,82,76,1,64,40,55,7,1,10,82,81,1,1,89
1845,75,Chris,Hinton,Northwestern,24,0,76,300,9,9,3,7,1985,False,,,27583740,6,T,T,LON,0,False,None,,86,66,1,59,26,74,1,84,88,59,71,2,1,90
1846,76,John,Alt,Iowa,23,0,80,298,13,13,2,11,1985,False,,,28018686,6,T,T,MIN,0,False,None,,95,61,1,48,14,60,1,90,85,45,66,1,1,88
1847,78,Bruce,Smith,Virginia Tech,22,0,76,262,10,10,2,1,1985,False,,,28883617,5,DE,DE,GB,0,False,None,,87,77,1,80,55,65,2,1,1,70,84,5,1,87
1848,55,Matt,Millen,Penn State,27,0,74,250,1,1,3,16,1985,False,,,5000000,3,LB,LB,KC,0,False,None,,82,74,1,83,43,59,5,1,1,80,76,1,1,88
1849,20,Louis,Wright,Arizona State,32,0,74,200,5,5,4,13,1985,False,,,27001642,3,CB,CB,BUF,0,False,None,,53,81,1,96,66,63,1,1,1,61,89,1,6,89
1850,22,Dave,Duerson,Notre Dame,25,0,73,207,11,11,3,2,1985,False,,,28058811,4,SS,SS,CHI,0,False,None,,71,83,1,90,66,70,1,1,1,56,73,1,1,87
1851,12,Randall,Cunningham,UNLV,22,0,76,212,13,13,1,8,1985,False,,,27733105,4,QB,QB,MIN,0,False,None,,61,81,84,70,20,73,81,1,1,14,83,1,1,86
1852,80,Steve,Largent,Tulsa,31,0,71,187,16,16,3,14,1985,False,,,25828764,4,WR,WR,PHI,0,False,None,,47,82,9,81,94,66,1,26,31,38,84,1,1,82
1853,21,James,Brooks,Auburn,27,0,70,180,11,11,6,17,1985,False,,,25997603,3,RB,RB,CHI,0,False,None,,67,86,29,83,72,63,30,40,44,49,82,3,1,86
1854,28,Curt,Warner,Penn State,24,0,71,205,10,10,3,18,1985,False,,,26683303,5,RB,RB,GB,0,False,None,,78,83,16,82,70,60,29,44,45,30,86,1,1,87
1855,80,James,Lofton,Stanford,29,0,75,192,8,8,3,9,1985,False,,,29295916,5,WR,WR,PRO,0,False,None,,54,96,9,80,88,74,9,40,33,50,88,10,1,85
1856,63,Jay,Hilgenberg,Iowa,26,0,75,259,11,11,2,17,1985,False,,,29806585,4,C,C,CHI,0,False,None,,91,46,4,59,17,62,5,88,84,43,60,1,1,86
1857,75,Howie,Long,Villanova,25,0,77,268,17,17,3,4,1985,False,,,28814288,6,DE,DE,WAS,0,False,None,,83,68,6,74,50,61,1,9,4,73,82,1,1,89
1858,53,Harry,Carson,South Carolina State,32,0,74,237,14,14,5,10,1985,False,,,26177193,5,LB,LB,ATL,0,False,None,,65,76,1,83,53,68,9,10,1,88,81,1,1,82
1859,42,Mike,Haynes,Arizona State,32,0,74,192,11,11,4,17,1985,False,,,23686377,5,CB,CB,CHI,0,False,None,,50,90,1,83,74,60,9,1,5,48,93,1,1,84
1860,76,Steve,McMichael,Texas,28,0,74,270,7,7,3,1,1985,False,,,27384864,5,DT,DT,CIN,0,False,None,,84,60,2,73,43,72,5,1,1,75,73,1,1,86
1861,26,Raymond,Clayborn,Texas,30,0,72,186,5,5,5,6,1985,False,,,26260521,5,CB,CB,BUF,0,False,None,,57,74,1,91,49,62,1,1,4,65,82,1,1,87
1862,28,Darrell,Green,Texas A&M-Kingsville,25,0,69,184,4,4,2,7,1985,False,,,31811805,4,CB,CB,OAK,0,False,None,,65,83,8,98,58,58,1,1,6,49,95,8,5,87
1863,50,Mike,Singletary,Baylor,27,0,72,230,9,9,2,12,1985,False,,,29269196,6,LB,LB,LON,0,False,None,,79,80,7,81,50,91,8,10,1,88,96,2,1,88
1864,20,Billy,Sims,Oklahoma,30,0,72,212,16,16,20,5,1985,False,,,16762281,2,RB,RB,PHI,0,False,None,,69,77,16,75,58,70,28,25,35,45,75,1,1,82
1865,79,Marvin,Powell,USC,30,0,77,268,6,6,6,4,1985,False,,,23240577,4,T,T,WIN,0,False,None,,81,62,1,44,10,77,1,91,74,52,76,1,3,89
1866,56,Doug,Smith,Bowling Green,29,0,75,259,18,18,5,5,1985,False,,,27165154,4,C,C,CLM,0,False,None,,90,54,1,53,19,75,1,78,70,35,68,1,1,86
1867,61,Joel,Hilgenberg,Iowa,23,0,75,250,13,13,3,8,1985,False,,,27250980,5,C,C,MIN,0,False,None,,89,47,1,50,11,69,1,77,74,45,75,1,1,85
1868,58,Carl,Banks,Michigan State,23,0,76,235,5,5,3,6,1985,False,,,27359467,4,LB,LB,BUF,0,False,None,,80,67,1,79,46,54,1,1,1,80,75,1,1,87
1869,8,Steve,Young,BYU,24,0,74,215,9,9,1,7,1985,False,,,26746749,6,QB,QB,LON,0,False,None,,53,75,88,66,18,87,88,1,1,14,75,1,1,87
1870,81,Art,Monk,Syracuse,28,0,75,210,8,8,2,10,1985,False,,,27196570,4,WR,WR,PRO,0,False,None,,55,91,1,86,97,68,4,27,27,32,86,9,1,87
1871,65,Joe,Fields,Rutgers-Camden,32,0,74,250,6,6,10,4,1985,False,,,18991696,3,C,C,WIN,0,False,None,,76,42,5,40,9,68,1,74,74,35,70,1,1,81
1872,63,Jackie,Slater,Jackson State,31,0,76,277,14,14,6,9,1985,False,,,19567893,3,T,T,ATL,0,False,None,,92,47,5,55,16,79,9,78,79,57,81,6,1,83
1873,73,John,Hannah,Alabama,34,0,74,265,6,6,8,4,1985,False,,,24536265,4,G,G,WIN,0,False,None,,99,57,3,53,20,69,1,80,74,59,85,1,1,84
1874,62,Guy,McIntyre,Georgia,24,0,75,275,18,18,4,14,1985,False,,,21170205,3,G,G,CLM,0,False,None,,94,50,1,57,9,77,1,84,67,38,63,1,1,85
1875,99,Dan,Hampton,Arkansas,28,0,77,264,1,1,4,3,1985,False,,,4500000,4,DE,DE,KC,0,False,None,,77,80,1,70,50,75,1,1,10,76,81,1,8,85
1876,77,Karl,Mecklenburg,Augustana (SD),25,0,75,240,13,13,4,11,1985,False,,,20924891,4,LB,LB,MIN,0,False,None,,70,71,1,82,47,69,1,5,1,86,92,1,10,86
1877,57,Tom,Jackson,Louisville,34,0,71,220,5,5,9,6,1985,False,,,18943000,3,LB,LB,BUF,0,False,None,,60,77,1,75,44,75,4,1,4,83,83,1,1,82
1878,21,Nolan,Cromwell,Kansas,30,0,73,200,18,18,6,14,1985,False,Broken Finger,,18200937,3,SS,SS,CLM,0,False,None,,50,89,1,79,50,68,4,1,1,75,74,1,1,81
1879,46,Gerald,Riggs,Arizona State,25,0,73,230,4,4,7,12,1985,False,,,18509018,3,RB,RB,OAK,0,False,None,,80,81,14,82,59,69,31,38,45,28,71,1,1,86
1880,18,Charlie,Joiner,Grambling State,38,0,71,188,5,5,13,6,1985,False,,,17253127,4,WR,WR,BUF,0,False,None,,43,72,1,78,83,68,5,33,12,35,77,1,1,79
1881,11,Phil,Simms,Morehead State,31,0,75,216,17,17,5,4,1985,False,,,18681674,4,QB,QB,WAS,0,False,None,,45,53,66,57,25,74,89,1,1,23,85,1,2,79
1882,7,Ron,Jaworski,Youngstown State,34,0,74,196,6,6,11,15,1985,False,,,17305369,5,QB,QB,WIN,0,False,None,,55,60,84,60,26,75,79,1,1,20,92,5,1,83
1883,85,Jay,Novacek,Wyoming,23,0,76,234,8,8,4,10,1985,False,,,19996444,3,TE,TE,PRO,0,False,None,,69,72,1,77,86,68,1,42,53,35,69,1,1,85
1884,75,Lomas,Brown,Florida,22,0,76,282,10,10,4,1,1985,False,,,21007588,3,T,T,GB,0,False,None,,80,61,8,53,15,64,1,83,91,47,76,6,1,84
1885,41,Eugene,Robinson,Colgate,22,0,73,200,6,6,4,4,1985,False,,,20797560,3,FS,FS,WIN,0,False,None,,52,78,1,85,62,63,3,1,1,70,78,5,1,85
1886,79,Bill,Fralic,Pittsburgh,23,0,77,280,14,14,4,9,1985,False,,,20413117,3,G,G,ATL,0,False,None,,75,51,1,64,8,58,1,85,72,52,73,1,1,85
1887,80,Kellen,Winslow,Missouri,28,0,77,251,3,3,3,17,1985,False,,,21723270,6,TE,TE,HOU,0,False,None,,79,73,9,71,85,74,1,59,62,48,87,9,1,84
1888,7,Boomer,Esiason,Maryland,24,0,77,224,2,2,1,13,1985,False,,,23001899,6,QB,QB,MIA,0,False,None,,50,67,90,68,28,80,85,1,1,13,93,1,3,83
1889,24,Freeman,McNeil,UCLA,26,0,71,216,12,12,10,8,1985,False,,,22033995,5,RB,RB,DET,0,False,None,,61,86,13,85,70,50,23,27,27,23,85,1,1,84
1890,56,Andre,Tippett,Iowa,26,0,75,240,3,3,4,2,1985,False,,,19609011,4,LB,LB,HOU,0,False,None,,70,81,4,82,39,76,4,1,1,91,79,1,6,84
1891,72,Dexter,Manley,Oklahoma State,26,0,75,253,6,6,3,15,1985,False,,,21774934,5,DE,DE,WIN,0,False,None,,74,72,1,70,33,50,5,1,1,68,76,1,1,83
1892,29,Albert,Lewis,Grambling State,25,0,74,196,4,4,3,12,1985,False,,,21471519,5,CB,CB,OAK,0,False,None,,45,92,1,95,66,54,1,1,5,59,84,1,1,86
1893,43,Mike,Pruitt,Purdue,31,0,72,222,7,7,25,1,1985,False,,,10374119,4,RB,RB,CIN,0,False,None,,50,72,18,74,59,54,32,34,37,25,73,1,1,77
1894,28,Wilbert,Montgomery,Abilene Christian,31,0,70,196,8,8,21,9,1985,False,,,10339465,4,RB,RB,PRO,0,False,None,,66,77,14,80,54,71,25,37,38,41,78,1,1,79
1895,15,Neil,Lomax,Portland State,26,0,75,215,10,10,5,18,1985,False,,,19503889,4,QB,QB,GB,0,False,None,,46,70,82,61,28,79,83,1,1,24,87,1,1,82
1896,35,Earl,Campbell,Texas,30,0,71,232,17,17,4,15,1985,False,,,18759029,5,RB,RB,WAS,0,False,None,,82,67,22,73,70,64,19,29,28,44,78,1,1,78
1897,41,Earnest,Jackson,Texas A&M,26,0,69,213,12,12,20,8,1985,False,,,15025753,4,RB,RB,DET,0,False,None,,60,76,16,87,48,47,11,38,25,40,76,1,1,83
1898,27,Joe,Cribbs,Auburn,27,0,71,190,3,3,14,2,1985,False,,,17307469,4,RB,RB,HOU,0,False,None,,63,75,17,87,72,63,33,42,29,31,73,2,1,83
1899,85,Drew,Hill,Georgia Tech,29,0,69,170,18,18,7,5,1985,False,,,20520308,3,WR,WR,CLM,0,False,None,,33,86,1,84,88,70,1,15,29,43,90,1,1,80
1900,81,Roy,Green,Henderson State,28,0,72,195,3,3,5,17,1985,False,,,19440040,3,WR,WR,HOU,0,False,None,,53,74,1,85,85,68,1,32,16,39,85,1,2,84
1901,36,Mark,Haynes,Colorado,27,0,71,194,5,5,6,13,1985,False,,,19435298,5,SS,SS,BUF,0,False,None,,72,84,1,78,62,67,1,1,1,73,74,1,1,83
1902,79,Bob,Golic,Notre Dame,28,0,74,264,1,1,5,16,1985,False,,,4000000,3,DT,DT,KC,0,False,None,,90,61,1,53,30,54,1,3,1,73,73,1,1,82
1903,67,Jimbo,Covert,Pittsburgh,25,0,76,277,12,12,4,8,1985,False,,,19624605,4,T,T,DET,0,False,None,,80,66,1,51,13,72,1,73,79,48,68,1,1,85
1904,91,Kevin,Greene,Auburn,23,0,75,247,12,12,3,11,1985,False,,,21588004,5,LB,LB,DET,0,False,None,,72,77,1,82,63,80,1,1,1,89,78,4,1,82
1905,44,Ottis,Anderson,Miami (FL),28,0,74,220,13,13,21,8,1985,False,,,12194515,2,RB,RB,MIN,0,False,None,,80,70,33,78,60,65,27,37,33,39,89,1,1,81
1906,9,Tommy,Kramer,Rice,30,0,74,200,1,1,6,3,1985,False,,,3500000,2,QB,QB,KC,0,False,None,,59,73,82,61,26,72,92,1,1,33,87,1,1,81
1907,20,Joe,Morris,Syracuse,25,0,67,195,15,15,13,3,1985,False,,,17411645,3,RB,RB,SF,0,False,None,,62,80,18,85,62,44,25,35,23,39,69,1,1,83
1908,40,Gary,Anderson,Arkansas,24,0,72,185,5,5,14,13,1985,False,,,16174075,5,RB,RB,BUF,0,False,None,,59,81,9,78,55,58,28,22,30,40,71,1,1,81
1909,20,Darrin,Nelson,Stanford,26,0,69,184,13,13,25,8,1985,False,,,11895892,3,RB,RB,MIN,0,False,None,,58,71,14,83,67,44,24,39,25,25,84,1,1,82
1910,38,George,Rogers,South Carolina,27,0,74,228,14,14,24,9,1985,False,,,12510743,3,RB,RB,ATL,0,False,None,,62,69,30,87,58,45,26,31,39,26,75,1,1,82
1911,44,Earnest,Byner,East Carolina,23,0,70,215,2,2,4,6,1985,False,,,19859574,3,RB,RB,MIA,0,False,None,,62,88,31,78,68,67,28,42,44,43,75,1,1,81
1912,82,John,Stallworth,Alabama A&M,33,0,74,191,17,17,11,4,1985,False,,,16795833,2,WR,WR,WAS,0,False,None,,36,82,1,82,75,53,1,32,18,38,77,1,1,78
1913,84,Eric,Martin,LSU,24,0,73,207,2,2,3,13,1985,False,,,20621406,4,WR,WR,MIA,0,False,None,,34,76,1,90,80,66,1,35,25,28,89,1,1,83
1914,81,Billy,Johnson,Widener,33,0,69,170,18,18,11,5,1985,False,,,15544959,2,WR,WR,CLM,0,False,None,,47,78,1,80,77,62,1,31,2,35,67,1,1,76
1915,77,Mike,Wilson,Georgia,30,0,77,275,17,17,7,4,1985,False,,,18854925,3,T,T,WAS,0,False,None,,86,48,1,60,8,71,4,83,72,46,68,1,1,79
1916,53,Jim,Sweeney,Pittsburgh,23,0,76,297,12,12,5,11,1985,False,,,18803686,5,G,G,DET,0,False,None,,86,38,1,41,15,74,1,79,75,37,74,1,1,81
1917,64,Bill,Bryan,Duke,30,0,74,251,5,5,11,6,1985,False,,,17639417,5,C,C,BUF,0,False,None,,81,54,1,60,21,55,1,80,82,38,70,1,1,82
1918,72,Mark,Gastineau,Arizona State,29,0,77,266,4,4,6,7,1985,False,,,22238015,5,DE,DE,OAK,0,False,None,,77,63,7,80,49,53,10,1,3,65,67,1,2,79
1919,70,Leonard,Marshall,LSU,24,0,75,288,15,15,5,3,1985,False,,,20345206,3,DE,DE,SF,0,False,None,,79,76,1,66,39,69,1,1,5,65,70,1,1,83
1920,56,Chip,Banks,USC,26,0,76,243,5,5,7,6,1985,False,,,21275467,3,LB,LB,BUF,0,False,None,,67,65,1,64,39,70,1,1,2,89,74,1,1,83
1921,27,Gary,Green,Baylor,30,0,71,187,1,1,7,16,1985,False,,,3000000,4,CB,CB,KC,0,False,None,,36,82,4,93,48,57,2,1,1,56,78,2,1,80
1922,51,Randy,Cross,UCLA,31,0,75,259,5,5,10,13,1985,False,,,19205201,4,G,G,BUF,0,False,None,,71,60,4,41,27,60,1,75,70,44,65,1,1,76
1923,17,Dave,Krieg,Milton,27,0,73,193,16,16,6,5,1985,False,,,18848110,3,QB,QB,PHI,0,False,None,,63,65,75,63,18,83,93,1,1,21,93,3,1,81
1924,19,Bernie,Kosar,Miami (FL),22,0,77,210,15,15,3,3,1985,False,,,20878931,4,QB,QB,SF,0,False,None,,51,76,82,62,26,85,85,1,1,25,94,5,1,81
1925,89,John,Jefferson,Arizona State,29,0,73,198,5,5,12,13,1985,False,,,16867794,2,WR,WR,BUF,0,False,None,,36,82,1,80,76,55,2,23,27,40,90,1,1,80
1926,64,Ben,Utt,Georgia Tech,26,0,77,275,7,7,7,1,1985,False,,,19331288,4,G,G,CIN,0,False,None,,77,38,1,53,13,66,1,78,75,30,68,1,1,82
1927,10,Steve,Bartkowski,California,33,0,76,216,14,14,10,9,1985,False,,,18923899,3,QB,QB,ATL,0,False,None,,43,55,83,60,15,78,87,1,1,20,86,2,1,79
1928,80,Tony,Hill,Stanford,29,0,74,199,1,1,10,3,1985,False,,,2250000,3,WR,WR,KC,0,False,None,,54,74,1,89,73,60,1,36,24,44,95,4,4,82
1929,67,Stan,Brock,Colorado,27,0,78,295,13,13,5,8,1985,False,,,19889204,3,T,T,MIN,0,False,None,,81,64,1,60,25,62,1,82,78,34,79,1,1,82
1930,76,Ken,Lanier,Florida State,26,0,75,281,8,8,7,9,1985,False,,,20953519,5,T,T,PRO,0,False,None,,68,59,1,42,28,59,1,83,80,48,67,1,1,82
1931,75,Ken,Ruettgers,USC,23,0,78,295,2,2,5,13,1985,False,,,20995320,4,T,T,MIA,0,False,None,,81,44,1,51,26,75,1,82,64,50,72,1,1,80
1932,75,Irv,Pankey,Penn State,27,0,76,277,16,16,7,14,1985,False,,,19466073,5,T,T,PHI,0,False,None,,73,59,1,45,25,62,1,80,80,33,66,1,1,82
1933,57,Dwight,Stephenson,Alabama,28,0,74,255,7,7,9,1,1985,False,,,19160428,3,C,C,CIN,0,False,None,,76,50,1,51,24,61,1,76,78,40,67,1,3,81
1934,61,Mike,Baab,Texas,26,0,76,270,14,14,7,10,1985,False,,,19806206,5,C,C,ATL,0,False,None,,83,40,1,56,19,58,1,84,73,47,63,1,1,80
1935,72,Ed Too Tall,Jones,Tennessee State,34,0,81,271,5,5,8,13,1985,False,,,19641780,5,DE,DE,BUF,0,False,None,,70,71,5,65,48,59,9,1,7,74,80,2,2,77
1936,97,Gary,Johnson,Grambling State,33,0,74,257,16,16,12,5,1985,False,,,16542029,5,DE,DE,PHI,0,False,None,,77,69,1,68,43,63,1,5,1,55,75,1,3,77
1937,90,Todd,Shell,BYU,23,0,76,225,10,10,6,1,1985,False,,,20106961,5,LB,LB,GB,0,False,None,,64,73,1,74,45,64,1,1,1,77,74,1,1,80
1938,22,Dwight,Hicks,Michigan,29,0,73,190,14,14,8,9,1985,False,,,20346198,5,CB,CB,ATL,0,False,None,,49,90,1,81,58,51,1,1,1,45,70,1,3,76
1939,24,Mike,Prior,Illinois State,22,0,72,208,7,7,4,18,1985,False,,,19064415,4,FS,FS,CIN,0,False,None,,59,64,1,84,60,65,1,1,1,67,88,1,1,81
1940,60,Keith,Millard,Washington State,23,0,78,260,2,2,6,6,1985,False,,,21622782,4,DT,DT,MIA,0,False,None,,86,52,1,57,43,69,3,1,1,65,68,1,1,80
1941,83,Andre,Reed,Kutztown Pennsylvania,21,0,74,190,7,7,2,18,1985,False,,,20477814,5,WR,WR,CIN,0,False,None,,38,87,1,85,87,63,1,33,16,37,91,5,1,82
1942,28,Greg,Bell,Notre Dame,23,0,70,210,7,7,6,18,1985,False,,,19517257,3,RB,RB,CIN,0,False,None,,65,76,14,82,74,64,23,29,37,33,82,1,1,81
1943,81,Eddie,Brown,Miami (FL),23,0,72,185,7,7,5,1,1985,False,,,14582655,5,WR,WR,CIN,0,False,None,,50,75,2,86,85,70,1,19,33,24,86,1,1,80
1944,17,Steve,DeBerg,San Jose State,31,0,75,210,5,5,15,6,1985,False,,,12147043,4,QB,QB,BUF,0,False,None,,55,57,85,65,11,73,75,1,1,14,90,1,1,81
1945,9,Jim,McMahon,BYU,26,0,73,195,17,17,10,15,1985,False,,,13738520,3,QB,QB,WAS,0,False,None,,42,63,89,69,11,76,80,1,1,16,89,1,1,79
1946,22,Tony,Nathan,Alabama,29,0,72,206,4,4,24,7,1985,False,,,8476144,4,RB,RB,OAK,0,False,None,,66,72,20,82,51,48,25,36,37,28,84,1,1,79
1947,44,Herman,Heard,Fort Lewis,24,0,70,184,10,10,26,1,1985,False,,,6252097,3,RB,RB,GB,0,False,None,,67,67,13,80,62,48,10,36,29,25,68,1,1,80
1948,88,Pete,Holohan,Notre Dame,26,0,76,237,11,11,7,2,1985,False,,,13909947,4,TE,TE,CHI,0,False,None,,67,70,1,81,74,56,1,50,48,31,65,1,1,81
1949,63,Cody,Risien,Texas A&M,28,0,79,269,1,1,8,3,1985,False,,,2500000,3,T,T,KC,0,False,None,,78,52,1,50,26,73,1,84,75,52,67,1,4,79
1950,69,Dan,Fike,Florida,24,0,79,280,8,8,5,9,1985,False,,,14662048,5,G,G,PRO,0,False,None,,82,51,1,51,7,59,1,83,75,44,67,1,1,80
1951,65,Bart,Oates,BYU,27,0,76,275,15,15,7,3,1985,False,,,13942078,3,C,C,SF,0,False,None,,75,62,1,54,17,79,1,69,83,46,73,1,1,79
1952,63,Raleigh,McKenzie,Tennessee,22,0,74,290,3,3,7,17,1985,False,,,14554544,4,C,C,HOU,0,False,None,,70,39,1,60,14,69,1,75,77,41,55,1,1,80
1953,79,Ray,Childress,Texas A&M,23,0,78,272,12,12,6,8,1985,False,,,14123416,4,DE,DE,DET,0,False,None,,91,72,6,71,45,56,1,1,1,70,67,1,2,82
1954,99,Sean,Jones,Northeastern,23,0,79,270,4,4,5,12,1985,False,,,15602080,4,DE,DE,OAK,0,False,None,,80,76,2,79,37,63,1,1,1,53,78,1,1,80
