PlayerID,Jersey,FirstName,LastName,College,Age,Experience,Height,Weight,TeamID,DraftedBy,DraftRound,DraftPick,DraftSeason,isOffense,HallOfFame,Injury,InjuryLength,Salary,ContractYears,Position,Alt Position,Team,RetiredSeason,Franchise Tag,Tender Type,Awards,Strength,Agility,Arm,Speed,Hands,Intelligence,Accuracy,Run Blocking,Pass Blocking,Tackling,Endurance,Kick Distance,Kick Accuracy,Overall
1819,1,Warren,Moon,Washington,34,5,75,218,13,8,1,9,1985,True,False,,,6000000,1,QB,QB,MIN,0,False,None,1986 AFC Pro Bowl Team,61,65,91,51,24,92,80,5,1,39,86,9,1,89
1820,72,Kent,Hill,Georgia Tech,33,5,77,260,0,14,2,9,1985,True,False,,,0,0,G,G,N/A,1990,False,None,1985 NFC Pro Bowl Team|1987 NFC Pro Bowl Team|1989 NFC Pro Bowl Team,78,60,5,54,15,63,1,87,84,44,62,1,5,89
1821,54,Randy,White,Maryland,33,1,76,257,0,5,2,13,1985,False,False,,,0,0,DT,DT,N/A,1986,False,None,1985 AFC Pro Bowl Team,80,74,8,74,44,59,1,9,5,78,83,3,1,88
1822,80,Henry,Ellard,Fresno State,29,5,71,180,2,2,2,6,1985,True,False,,,7660000,5,WR,WR,MIA,0,False,None,1987 AFC Pro Bowl Team|1988 AFC Pro Bowl Team|1989 AFC Pro Bowl Team,37,90,1,86,94,61,10,37,30,38,91,1,1,91
1823,44,John,Riggins,Kansas,37,1,74,230,0,6,5,15,1985,True,False,,,0,0,RB,RB,N/A,1986,False,None,1985 AFC Pro Bowl Team,73,68,34,69,72,60,23,38,20,36,71,1,5,79
1824,32,Marcus,Allen,USC,30,5,74,210,1,1,1,16,1985,True,False,,,6000000,2,RB,RB,NYT,0,False,None,1985 AFC Pro Bowl Team|1986 AFC Pro Bowl Team|1987 AFC Pro Bowl Team,67,84,30,84,81,63,35,33,43,50,93,1,1,90
1825,22,Gill,Byrd,San Jose State,29,5,71,195,6,6,2,4,1985,False,False,,,7920000,2,SS,SS,NYG,0,False,None,1986 AFC Pro Bowl Team,70,89,1,82,73,66,1,5,1,63,91,1,1,87
1826,80,Jerry,Rice,Miss. Valley State,28,5,74,200,15,15,1,3,1985,True,False,Bruised Hip,Probable,6000000,4,WR,WR,SF,0,False,None,1985 NFC Pro Bowl Team|1989 NFC Pro Bowl Team,46,95,8,95,99,89,7,33,37,34,98,7,5,100
1827,84,Gary,Clark,James Madison,28,5,69,173,16,16,1,14,1985,True,False,,,530000,2,WR,WR,TB,0,False,None,1985 NFC Pro Bowl Team|1986 NFC Pro Bowl Team|1987 NFC Pro Bowl Team|1988 NFC Pro Bowl Team|1989 NFC Pro Bowl Team,54,92,1,92,93,57,8,34,22,42,94,1,1,95
1828,61,Anthony,Munoz,USC,32,5,78,278,5,1,2,3,1985,True,False,,,490000,1,T,T,BUF,0,False,None,1987 AFC Pro Bowl Team,74,57,10,44,22,71,1,82,85,59,82,9,10,87
1829,31,Donnie,Shell,South Carolina State,35,2,71,190,0,16,4,5,1985,False,False,,,0,0,SS,SS,N/A,1987,False,None,1985 NFC Pro Bowl Team,77,83,1,86,57,57,8,3,1,65,83,1,1,86
1830,51,Steve,Nelson,Augsburg,39,5,74,230,20,16,5,14,1985,False,False,,,490000,1,LB,LB,SD,0,False,None,,57,73,1,65,43,74,1,1,1,72,91,1,1,79
1831,47,James,Wilder,Missouri,31,4,75,225,0,18,3,5,1985,True,False,,,0,0,RB,RB,N/A,1989,False,None,1985 NFC Pro Bowl Team,63,69,32,81,72,66,25,22,32,42,93,1,1,83
1832,14,Dan,Fouts,Oregon,38,4,75,204,0,3,2,2,1985,True,False,,,0,0,QB,QB,N/A,1989,False,None,1985 Most Valuable Player|1985 AFC Pro Bowl Team,48,64,87,40,14,88,78,1,10,28,76,1,1,84
1833,33,Tony,Dorsett,Pittsburgh,33,2,71,192,0,9,6,12,1985,True,False,,,0,0,RB,RB,N/A,1987,False,None,1985 AFC Pro Bowl Team,62,81,25,87,69,59,35,32,48,50,83,8,1,87
1834,74,Bruce,Matthews,USC,29,5,77,305,12,12,1,11,1985,True,False,,,6000000,4,T,T,DET,0,False,None,1986 NFC Pro Bowl Team|1988 NFC Pro Bowl Team|1989 NFC Pro Bowl Team,91,72,7,72,41,76,1,91,91,53,91,1,1,99
1835,78,Mike,Kenn,Michigan,32,3,79,273,0,14,3,10,1985,True,False,,,0,0,T,T,N/A,1988,False,None,1985 NFC Pro Bowl Team|1987 NFC Pro Bowl Team,86,46,1,47,31,69,1,78,85,46,77,4,1,87
1836,52,Mike,Webster,Wisconsin,34,1,73,255,0,8,6,10,1985,True,False,,,0,0,C,C,N/A,1986,False,None,1985 AFC Pro Bowl Team,85,50,1,62,19,74,1,75,85,57,72,7,6,87
1837,57,Jeff,Van Note,Kentucky,40,1,74,247,0,17,6,15,1985,True,False,,,0,0,C,C,N/A,1986,False,None,,74,45,1,43,14,71,4,87,77,53,80,1,1,85
1838,56,Clay,Matthews,USC,34,5,74,245,8,18,2,14,1985,False,False,,,11910000,5,LB,LB,SEA,0,False,None,1985 NFC Pro Bowl Team,57,84,10,66,51,62,1,1,7,89,75,5,1,84
1839,56,Chris,Doleman,Pittsburgh,29,5,77,289,10,10,1,18,1985,False,False,,,6000000,3,DE,DE,IND,0,False,None,1985 NFC Pro Bowl Team|1986 NFC Pro Bowl Team|1987 NFC Pro Bowl Team|1988 Defensive Player of the Year|1988 Most Valuable Player|1988 League MVP|1988 Defensive MVP|1988 NFC Pro Bowl Team|1989 Defensive Player of the Year|1989 Most Valuable Player|1989 League MVP|1989 Defensive MVP|1989 NFC Pro Bowl Team,91,72,4,84,41,65,9,1,1,68,90,9,1,97
1840,63,Mike,Munchak,Penn State,30,5,75,281,15,15,2,16,1985,True,False,,,6370000,1,G,G,SF,0,False,None,1986 NFC Pro Bowl Team|1987 NFC Pro Bowl Team|1989 NFC Pro Bowl Team,93,50,6,61,23,71,9,87,75,45,71,1,1,91
1841,68,Joe,DeLamielleure,Michigan State,36,2,75,254,0,13,6,11,1985,True,False,,,0,0,G,G,N/A,1987,False,None,,90,46,6,47,19,64,3,89,73,40,69,1,1,86
1842,68,Max,Montoya,UCLA,34,5,77,282,0,11,5,2,1985,True,False,,,0,0,G,G,N/A,0,False,None,1985 NFC Pro Bowl Team,65,42,1,32,15,62,1,58,73,45,47,1,1,70
1843,51,Wilber,Marshall,Florida,28,5,73,231,9,16,2,5,1985,False,False,,,7250000,3,LB,LB,LON,0,False,None,1985 NFC Pro Bowl Team,77,82,1,89,45,72,1,1,10,88,83,1,3,95
1844,70,Richard,Dent,Tennessee State,30,5,77,265,3,12,2,8,1985,False,False,,,6700000,2,DT,DT,GB,0,False,None,1985 NFC Pro Bowl Team|1988 NFC Pro Bowl Team|1989 NFC Pro Bowl Team,81,74,1,52,39,55,7,1,10,80,80,1,1,81
1845,69,Chris,Hinton,Northwestern,29,5,76,300,3,9,3,7,1985,True,False,,,11140000,4,T,T,GB,0,False,None,1985 AFC Pro Bowl Team|1986 AFC Pro Bowl Team|1987 AFC Pro Bowl Team|1988 AFC Pro Bowl Team,83,63,1,56,26,75,1,85,88,59,74,2,1,92
1846,76,John,Alt,Iowa,28,5,80,298,13,13,2,11,1985,True,False,,,6600000,4,T,T,MIN,0,False,None,1988 NFC Pro Bowl Team|1989 NFC Pro Bowl Team,95,62,1,49,16,63,1,90,87,45,75,1,1,93
1847,78,Bruce,Smith,Virginia Tech,27,5,76,262,10,10,2,1,1985,False,False,,,12510000,2,DE,DE,IND,0,False,None,1985 NFC Pro Bowl Team|1986 NFC Pro Bowl Team|1987 NFC Pro Bowl Team|1989 NFC Pro Bowl Team,87,82,1,84,56,67,2,1,1,74,88,5,1,100
1848,52,Matt,Millen,Penn State,32,5,74,250,1,1,3,16,1985,False,False,,,490000,1,LB,LB,NYT,0,False,None,1985 AFC Pro Bowl Team|1986 AFC Pro Bowl Team,79,67,1,70,44,59,5,1,1,77,73,1,1,85
1849,20,Louis,Wright,Arizona State,36,4,74,200,0,5,4,13,1985,False,False,,,0,0,CB,CB,N/A,1989,False,None,1987 AFC Pro Bowl Team,55,85,1,96,68,63,1,1,1,61,92,1,6,99
1850,22,Dave,Duerson,Notre Dame,30,5,73,207,11,11,3,2,1985,False,False,,,5000000,1,SS,SS,CHI,0,False,None,1985 NFC Pro Bowl Team|1987 NFC Pro Bowl Team|1988 NFC Pro Bowl Team|1989 NFC Pro Bowl Team,71,87,1,88,76,71,1,1,1,59,77,1,1,88
1851,12,Randall,Cunningham,UNLV,27,5,76,212,8,13,1,8,1985,True,False,,,6000000,5,QB,QB,SEA,0,False,None,1985 NFC Pro Bowl Team|1989 AFC Pro Bowl Team,62,86,85,70,22,75,83,1,1,14,88,1,1,88
1852,87,Steve,Largent,Tulsa,34,3,71,187,0,16,3,14,1985,True,False,,,0,0,WR,WR,N/A,1988,False,None,,39,78,9,70,95,65,1,23,31,38,81,1,1,83
1853,21,James,Brooks,Auburn,28,1,70,180,0,11,6,17,1985,True,False,,,0,0,RB,RB,N/A,1986,False,None,1985 NFC Pro Bowl Team,68,86,29,83,72,63,30,40,44,49,82,3,1,87
1854,28,Curt,Warner,Penn State,29,5,71,205,10,10,3,18,1985,True,False,,,490000,1,RB,RB,IND,0,False,None,1986 NFC Pro Bowl Team|1989 Playoff MVP|1989 Playoff MVP|1989 NFC Pro Bowl Team,80,88,16,85,74,60,29,45,47,30,87,1,1,92
1855,84,James,Lofton,Stanford,33,4,75,192,0,8,3,9,1985,True,False,,,0,0,WR,WR,N/A,1989,False,None,1986 AFC Pro Bowl Team,49,96,9,79,89,74,9,39,34,50,91,10,1,91
1856,56,Jay,Hilgenberg,Iowa,31,5,75,259,19,11,2,17,1985,True,False,,,14110000,1,C,C,WAS,0,False,None,1989 AFC Pro Bowl Team,91,49,4,57,17,63,5,87,82,43,61,1,1,89
1857,76,Howie,Long,Villanova,30,5,77,268,6,17,3,4,1985,False,False,,,6000000,2,DE,DE,NYG,0,False,None,1987 NFC Pro Bowl Team,84,68,6,74,50,68,1,9,4,79,87,1,1,97
1858,53,Harry,Carson,South Carolina State,34,2,74,237,0,14,5,10,1985,False,False,,,0,0,LB,LB,N/A,1987,False,None,1986 NFC Pro Bowl Team,62,75,1,79,52,67,9,10,1,87,79,1,1,86
1859,42,Mike,Haynes,Arizona State,36,4,74,192,0,11,4,17,1985,False,False,,,0,0,CB,CB,N/A,1989,False,None,1985 NFC Pro Bowl Team|1988 NFC Pro Bowl Team,45,88,1,80,73,60,9,1,5,48,92,1,1,91
1860,71,Steve,McMichael,Texas,33,5,74,270,8,7,3,1,1985,False,False,,,11720000,5,DT,DT,SEA,0,False,None,1986 AFC Pro Bowl Team|1987 AFC Pro Bowl Team|1989 AFC Pro Bowl Team,75,55,2,63,40,73,5,1,1,71,71,1,1,83
1862,28,Darrell,Green,Texas A&M-Kingsville,30,5,69,184,4,4,2,7,1985,False,False,,,19140000,1,CB,CB,OAK,0,False,None,1985 AFC Pro Bowl Team|1986 AFC Pro Bowl Team|1987 AFC Pro Bowl Team|1988 AFC Pro Bowl Team|1989 AFC Pro Bowl Team,65,85,8,97,66,58,1,1,6,47,92,8,5,96
1863,57,Mike,Singletary,Baylor,32,5,72,230,5,9,2,12,1985,False,False,,,6480000,2,LB,LB,BUF,0,False,None,1985 AFC Pro Bowl Team|1988 NFC Pro Bowl Team,70,76,7,75,50,91,8,10,1,91,96,2,1,92
1864,20,Billy,Sims,Oklahoma,31,1,72,212,0,16,20,5,1985,True,False,,,0,0,RB,RB,N/A,1986,False,None,,69,78,16,76,58,70,28,25,34,45,75,1,1,81
1865,68,Marvin,Powell,USC,34,4,77,268,0,6,6,4,1985,True,False,,,0,0,T,T,N/A,1989,False,None,,70,54,1,29,11,77,1,82,76,52,68,1,3,82
1867,61,Joel,Hilgenberg,Iowa,28,5,75,250,13,13,3,8,1985,True,False,,,10580000,3,C,C,MIN,0,False,None,1986 NFC Pro Bowl Team|1988 NFC Pro Bowl Team,90,50,1,54,12,73,1,80,78,45,80,1,1,87
1868,58,Carl,Banks,Michigan State,28,5,76,235,14,5,3,6,1985,False,False,,,8100000,4,LB,LB,ATL,0,False,None,1985 AFC Pro Bowl Team,81,67,1,81,48,58,1,1,1,89,80,1,1,92
1869,8,Steve,Young,BYU,29,5,74,215,11,9,1,7,1985,True,False,,,6000000,4,QB,QB,CHI,0,False,None,1986 AFC Pro Bowl Team|1987 AFC Pro Bowl Team|1988 AFC Pro Bowl Team,49,82,89,67,23,87,92,1,1,14,78,1,1,93
1870,81,Art,Monk,Syracuse,33,5,75,210,8,8,2,10,1985,True,False,,,12470000,2,WR,WR,SEA,0,False,None,1985 AFC Pro Bowl Team|1986 AFC Pro Bowl Team|1988 AFC Pro Bowl Team,51,91,1,86,97,66,4,22,22,32,87,9,1,94
1873,75,John,Hannah,Alabama,39,5,74,265,6,6,8,4,1985,True,False,,,2000000,1,G,G,NYG,0,False,None,1986 AFC Pro Bowl Team,80,46,3,35,25,63,1,71,66,59,84,1,1,76
1874,62,Guy,McIntyre,Georgia,29,5,75,275,18,18,4,14,1985,True,False,,,6380000,3,G,G,BAL,0,False,None,1985 NFC Pro Bowl Team|1986 NFC Pro Bowl Team|1988 AFC Pro Bowl Team|1989 AFC Pro Bowl Team,95,50,1,57,12,81,1,90,72,38,67,1,1,92
1875,99,Dan,Hampton,Arkansas,33,5,77,264,19,1,4,3,1985,False,False,,,15100000,1,DE,DE,WAS,0,False,None,1986 AFC Pro Bowl Team,67,73,1,61,51,76,1,1,10,76,73,1,8,90
1876,77,Karl,Mecklenburg,Augustana (SD),30,5,75,240,13,13,4,11,1985,False,False,,,5700000,1,LB,LB,MIN,0,False,None,1987 NFC Pro Bowl Team,72,74,1,82,51,72,1,5,1,90,93,1,10,93
1878,44,Nolan,Cromwell,Kansas,34,4,73,200,0,18,6,14,1985,False,False,,,0,0,SS,SS,N/A,1989,False,None,1986 NFC Pro Bowl Team,42,86,1,65,44,67,4,1,1,73,70,1,1,75
1879,46,Gerald,Riggs,Arizona State,30,5,73,230,4,4,7,12,1985,True,False,,,6830000,2,RB,RB,OAK,0,False,None,1986 AFC Pro Bowl Team|1987 AFC Pro Bowl Team,79,77,14,76,59,72,31,40,44,28,73,1,1,84
1880,18,Charlie,Joiner,Grambling State,40,2,71,188,0,5,13,6,1985,True,False,,,0,0,WR,WR,N/A,1987,False,None,,38,73,1,74,83,66,5,30,10,35,75,1,1,81
1881,11,Phil,Simms,Morehead State,33,2,75,216,0,17,5,4,1985,True,False,,,0,0,QB,QB,N/A,1987,False,None,,45,53,66,58,25,76,89,1,1,23,85,1,2,81
1882,7,Ron,Jaworski,Youngstown State,36,2,74,196,0,6,11,15,1985,True,False,,,0,0,QB,QB,N/A,1987,False,None,,44,52,77,59,27,75,76,1,1,20,88,5,1,79
1883,85,Jay,Novacek,Wyoming,28,5,76,234,8,8,4,10,1985,True,False,,,6350000,4,TE,TE,SEA,0,False,None,1985 AFC Pro Bowl Team|1986 AFC Pro Bowl Team|1987 AFC Pro Bowl Team|1988 AFC Pro Bowl Team|1989 AFC Pro Bowl Team,69,73,1,79,90,68,1,45,61,35,73,1,1,92
1884,64,Lomas,Brown,Florida,27,5,76,282,3,10,4,1,1985,True,False,,,7890000,2,T,T,GB,0,False,None,,84,62,8,53,17,69,1,83,90,47,80,6,1,91
1885,41,Eugene,Robinson,Colgate,27,5,73,200,5,6,4,4,1985,False,False,,,18810000,5,FS,FS,BUF,0,False,None,1988 AFC Pro Bowl Team,54,82,1,88,63,62,3,1,1,71,81,5,1,89
1886,79,Bill,Fralic,Pittsburgh,28,5,77,280,14,14,4,9,1985,True,False,,,4700000,4,G,G,ATL,0,False,None,1987 NFC Pro Bowl Team,78,52,1,64,13,58,1,91,74,52,78,1,1,88
1887,80,Kellen,Winslow,Missouri,33,5,77,251,18,3,3,17,1985,True,False,,,15100000,1,TE,TE,BAL,0,False,None,1985 AFC Pro Bowl Team,73,69,9,64,89,73,1,56,63,48,87,9,1,92
1888,7,Boomer,Esiason,Maryland,29,5,77,224,2,2,1,13,1985,True,False,,,6000000,5,QB,QB,MIA,0,False,None,1987 Most Valuable Player|1987 League MVP|1987 AFC Pro Bowl Team|1989 AFC Pro Bowl Team,49,68,90,65,31,81,88,1,1,13,93,1,3,90
1889,24,Freeman,McNeil,UCLA,31,5,71,216,12,12,10,8,1985,True,False,,,2250000,1,RB,RB,DET,0,False,None,1986 NFC Pro Bowl Team,58,85,13,81,78,49,23,31,30,23,83,1,1,85
1890,56,Andre,Tippett,Iowa,31,5,75,240,3,3,4,2,1985,False,False,,,6480000,3,LB,LB,GB,0,False,None,1986 AFC Pro Bowl Team|1988 NFC Pro Bowl Team,76,81,4,82,43,74,4,1,1,92,80,1,6,94
1891,73,Dexter,Manley,Oklahoma State,31,5,75,253,17,6,3,15,1985,False,False,,,11370000,1,DE,DE,CHC,0,False,None,,74,77,1,68,34,50,5,1,1,73,76,1,1,88
1892,29,Albert,Lewis,Grambling State,30,5,74,196,4,4,3,12,1985,False,False,,,520000,1,CB,CB,OAK,0,False,None,,39,91,1,92,72,55,1,1,5,57,81,1,1,96
1894,28,Wilbert,Montgomery,Abilene Christian,33,2,70,196,0,8,21,9,1985,True,False,,,0,0,RB,RB,N/A,1987,False,None,,64,74,14,73,58,69,25,35,37,41,77,1,1,78
1895,11,Neil,Lomax,Portland State,31,5,75,215,7,10,5,18,1985,True,False,,,490000,1,QB,QB,CIN,0,False,None,,37,70,86,59,34,81,85,1,1,24,94,1,1,87
1896,35,Earl,Campbell,Texas,32,2,71,232,0,17,4,15,1985,True,False,,,0,0,RB,RB,N/A,1987,False,None,,76,65,22,72,70,63,19,27,27,44,79,1,1,78
1897,41,Earnest,Jackson,Texas A&M,31,5,69,213,2,12,20,8,1985,True,False,,,11380000,2,RB,RB,MIA,0,False,None,,61,72,16,81,50,49,11,39,26,40,80,1,1,78
1898,48,Joe,Cribbs,Auburn,32,5,71,190,0,3,14,2,1985,True,False,,,0,0,RB,RB,N/A,0,False,None,1986 AFC Pro Bowl Team,57,64,10,72,68,63,27,41,23,28,67,1,1,75
1899,85,Drew,Hill,Georgia Tech,33,4,69,170,0,18,7,5,1985,True,False,,,0,0,WR,WR,N/A,1989,False,None,1985 NFC Pro Bowl Team,28,80,1,74,88,70,1,9,22,43,86,1,1,82
1900,80,Roy,Green,Henderson State,33,5,72,195,11,3,5,17,1985,True,False,,,490000,1,WR,WR,CHI,0,False,None,1985 AFC Pro Bowl Team|1986 AFC Pro Bowl Team|1987 NFC Pro Bowl Team,42,69,1,74,89,66,1,31,18,39,81,1,2,82
1901,44,Mark,Haynes,Colorado,32,5,71,194,14,5,6,13,1985,False,False,,,11380000,1,SS,SS,ATL,0,False,None,,66,73,1,67,63,64,1,1,1,65,72,1,1,78
1902,72,Bob,Golic,Notre Dame,33,5,74,264,0,1,5,16,1985,False,False,,,0,0,DT,DT,N/A,1990,False,None,,81,58,1,41,23,47,1,3,1,65,67,1,1,77
1903,67,Jimbo,Covert,Pittsburgh,30,5,76,277,12,12,4,8,1985,True,False,,,5400000,3,T,T,DET,0,False,None,,76,69,1,49,16,74,1,75,84,48,69,1,1,86
1904,51,Kevin,Greene,Auburn,28,5,75,247,6,12,3,11,1985,False,False,,,6000000,1,LB,LB,NYG,0,False,None,1986 NFC Pro Bowl Team,74,79,1,83,63,85,1,1,1,89,79,4,1,95
1906,9,Tommy,Kramer,Rice,34,4,74,200,0,1,6,3,1985,True,False,,,0,0,QB,QB,N/A,1989,False,None,1985 AFC Pro Bowl Team,53,73,79,46,27,73,79,1,1,33,82,1,1,81
1907,20,Joe,Morris,Syracuse,30,5,67,195,15,15,13,3,1985,True,False,,,5500000,1,RB,RB,SF,0,False,None,1987 NFC Pro Bowl Team,58,79,18,78,64,45,25,36,24,39,72,1,1,80
1908,33,Gary,Anderson,Arkansas,29,5,72,185,6,5,14,13,1985,True,False,,,490000,1,RB,RB,NYG,0,False,None,,58,80,9,75,66,59,28,23,36,40,73,1,1,81
1909,26,Darrin,Nelson,Stanford,31,5,69,184,13,13,25,8,1985,True,False,,,490000,1,RB,RB,MIN,0,False,None,,57,64,14,84,74,44,24,38,23,25,87,1,1,81
1910,49,George,Rogers,South Carolina,32,5,74,228,14,14,24,9,1985,True,False,,,490000,1,RB,RB,ATL,0,False,None,,53,64,30,79,63,44,26,31,39,26,76,1,1,76
1911,44,Earnest,Byner,East Carolina,28,5,70,215,2,2,4,6,1985,True,False,,,5140000,5,RB,RB,MIA,0,False,None,,64,90,31,78,74,67,28,45,47,43,77,1,1,87
1912,82,John,Stallworth,Alabama A&M,37,4,74,191,0,17,11,4,1985,True,False,,,0,0,WR,WR,N/A,1989,False,None,,26,77,1,71,75,53,1,26,12,38,76,1,1,76
1913,84,Eric,Martin,LSU,29,5,73,207,2,2,3,13,1985,True,False,,,570000,2,WR,WR,MIA,0,False,None,1988 AFC Pro Bowl Team,33,78,1,94,83,68,1,35,21,28,90,1,1,89
1914,81,Billy,Johnson,Widener,36,3,69,170,0,18,11,5,1985,True,False,,,0,0,WR,WR,N/A,1988,False,None,,38,73,1,72,79,61,1,24,1,35,65,1,1,77
1915,77,Mike,Wilson,Georgia,32,2,77,275,0,17,7,4,1985,True,False,,,0,0,T,T,N/A,1987,False,None,,85,44,1,56,8,69,4,83,72,46,67,1,1,83
1916,53,Jim,Sweeney,Pittsburgh,28,5,76,297,12,12,5,11,1985,True,False,,,4000000,3,G,G,DET,0,False,None,1988 NFC Pro Bowl Team,88,43,1,46,19,78,1,84,80,37,79,1,1,89
1917,64,Bill,Bryan,Duke,33,3,74,251,0,5,11,6,1985,True,False,,,0,0,C,C,N/A,1988,False,None,,75,53,1,60,22,56,1,82,82,38,71,1,1,84
1918,70,Mark,Gastineau,Arizona State,34,5,77,266,1,4,6,7,1985,False,False,,,490000,1,DE,DE,NYT,0,False,None,1985 AFC Pro Bowl Team|1986 AFC Pro Bowl Team,61,55,7,67,42,51,10,1,3,61,70,1,2,79
1919,70,Leonard,Marshall,LSU,29,5,75,288,7,15,5,3,1985,False,False,,,490000,2,DE,DE,CIN,0,False,None,1988 NFC Pro Bowl Team,78,75,1,62,39,71,1,1,5,66,72,1,1,88
1920,59,Chip,Banks,USC,31,5,76,243,14,5,7,6,1985,False,False,,,15550000,1,LB,LB,ATL,0,False,None,1986 AFC Pro Bowl Team,66,61,1,62,41,67,1,1,2,91,84,1,1,83
1921,27,Gary,Green,Baylor,35,5,71,187,12,1,7,16,1985,False,False,,,3960000,1,CB,CB,DET,0,False,None,,27,76,4,78,45,55,2,1,1,48,69,2,1,80
1922,51,Randy,Cross,UCLA,35,4,75,259,0,5,10,13,1985,True,False,,,0,0,G,G,N/A,1989,False,None,,54,43,1,27,24,46,1,68,60,40,52,1,1,65
1923,17,Dave,Krieg,Milton,32,5,73,193,16,16,6,5,1985,True,False,,,15100000,1,QB,QB,TB,0,False,None,1985 NFC Pro Bowl Team|1986 NFC Pro Bowl Team|1987 NFC Pro Bowl Team|1989 NFC Pro Bowl Team,46,61,71,49,18,81,86,1,1,21,92,3,1,83
1924,19,Bernie,Kosar,Miami (FL),27,5,77,210,15,15,3,3,1985,True,False,,,5300000,1,QB,QB,SF,0,False,None,1989 NFC Pro Bowl Team,57,77,83,62,26,86,89,1,1,25,96,5,1,90
1925,85,John,Jefferson,Arizona State,34,5,73,198,7,5,12,13,1985,True,False,,,490000,1,WR,WR,CIN,0,False,None,,30,75,1,82,76,57,2,23,27,40,90,1,1,81
1926,64,Ben,Utt,Georgia Tech,31,5,77,275,13,7,7,1,1985,True,False,,,490000,1,G,G,MIN,0,False,None,1985 AFC Pro Bowl Team,70,36,1,47,17,64,1,82,72,30,70,1,1,81
1927,10,Steve,Bartkowski,California,38,5,76,216,3,14,10,9,1985,True,False,,,490000,1,QB,QB,GB,0,False,None,1986 Playoff MVP,27,43,78,48,19,78,86,1,1,20,83,2,1,80
