PlayerID,Leadership,Work Ethic,Competitiveness,Team Player,Sportsmanship,Social Disposition,Money,Security,Loyalty,Winning,Playing Time,Close To Home,Market Size,Morale
1904,12,77,85,28,65,71,78,40,47,60,93,33,40,96
1906,59,78,89,44,86,97,76,43,32,55,100,49,53,12
1907,83,40,44,97,66,66,75,35,38,32,89,41,59,87
1908,37,99,92,19,90,81,97,49,34,42,83,45,62,79
1909,38,92,72,68,86,99,93,33,32,51,88,48,40,90
1910,91,41,35,83,58,52,92,43,32,68,99,34,32,78
1911,25,70,99,8,83,80,78,40,48,58,93,43,35,61
1912,59,64,100,52,68,83,95,30,44,64,80,38,49,1
1913,59,79,89,72,62,74,97,40,44,33,81,32,59,91
1914,53,80,96,66,81,86,91,41,50,41,84,33,46,11
1915,66,75,61,77,67,83,71,37,45,62,96,50,32,46
1916,23,89,67,26,69,99,80,48,36,57,100,50,70,86
1917,84,96,69,80,91,65,83,49,32,60,75,45,50,11
1918,69,60,59,56,42,48,77,38,33,48,70,47,57,68
1919,89,64,63,72,72,72,86,31,42,41,72,47,49,98
1920,10,68,59,31,26,13,95,40,47,55,79,47,65,89
1921,26,91,93,41,72,73,88,42,45,34,85,44,62,58
1922,32,68,97,29,89,95,89,48,47,34,87,31,67,10
1923,48,43,45,41,63,35,99,40,41,32,88,45,39,100
1924,52,87,81,49,77,68,80,40,39,49,83,38,44,89
1925,70,32,36,58,33,48,72,37,40,63,96,30,65,84
1926,65,31,43,72,67,38,98,39,31,57,78,42,59,31
1927,71,85,86,55,99,100,96,39,32,67,100,42,31,68
1928,59,62,91,69,89,88,99,43,39,67,91,45,54,39
1929,93,62,43,66,51,46,72,39,35,34,98,36,51,36
1930,65,92,90,71,93,87,79,42,39,36,93,32,35,22
1931,82,85,70,79,74,86,92,44,45,30,91,46,69,15
1932,65,33,38,73,61,38,84,30,36,36,77,38,52,0
1933,34,69,75,64,87,93,79,45,45,58,90,42,30,89
1934,63,65,50,92,50,42,84,37,34,40,91,46,65,13
1937,72,65,72,95,77,75,73,34,34,48,82,33,30,37
1938,83,90,64,87,76,61,98,33,42,44,72,39,50,55
1939,49,98,64,62,77,68,80,32,42,30,75,45,39,100
1940,43,52,39,38,38,63,87,31,31,53,83,39,70,96
1941,25,66,40,12,34,37,84,50,46,56,92,33,59,84
1942,41,92,86,65,89,82,78,37,30,47,86,50,47,100
1943,33,60,90,55,79,93,85,43,41,59,79,38,52,99
1944,72,98,65,100,92,63,75,31,33,40,98,40,49,25
1945,67,75,83,66,89,67,93,34,34,70,95,46,65,6
1946,37,54,57,32,61,30,97,41,31,33,87,42,70,75
1947,30,77,75,69,64,82,92,35,50,41,80,46,67,35
1948,19,34,58,44,25,16,83,45,50,39,85,38,34,0
1949,16,97,94,33,89,92,92,33,34,30,89,49,63,4
1950,10,78,91,2,77,90,85,42,33,57,86,34,32,49
1951,89,43,68,93,69,69,74,43,42,34,80,49,60,67
1952,60,68,45,59,36,57,76,39,42,55,98,31,60,0
1953,87,84,92,98,82,84,73,33,50,59,91,36,45,35
1954,45,48,52,41,59,33,91,35,33,33,95,33,39,80
1955,70,68,50,57,60,33,90,35,40,44,82,30,33,96
1956,63,65,92,36,63,61,73,41,31,36,80,47,58,94
1957,79,77,63,89,70,86,88,46,40,64,89,39,49,80
1959,32,35,43,40,32,38,85,49,33,41,75,39,61,94
1960,50,91,99,52,91,81,100,36,39,52,81,43,59,99
1961,66,52,39,39,32,38,72,39,48,46,83,37,59,98
1962,32,69,93,46,98,78,88,40,41,46,96,45,58,1
1964,95,59,35,99,36,40,70,30,40,62,90,50,68,16
1965,7,55,60,22,40,27,71,37,45,46,88,39,34,22
1966,40,57,36,38,13,4,88,31,37,56,73,39,45,55
1968,16,57,54,1,6,33,71,32,40,58,94,36,69,1
1969,4,91,65,38,65,97,88,48,30,44,83,43,56,1
1970,38,50,46,26,12,15,99,39,30,34,96,35,33,74
1972,46,45,51,40,66,51,91,47,40,68,89,40,42,97
1973,45,61,33,38,34,34,83,42,30,55,85,36,52,22
1974,34,60,94,37,78,73,83,37,49,54,88,44,43,73
1975,33,31,55,36,45,53,87,49,43,66,77,32,52,21
1976,79,37,37,91,47,62,95,35,43,44,96,36,55,21
1977,39,73,82,57,95,77,79,49,45,35,84,37,33,21
1978,95,65,32,91,59,69,76,40,48,67,91,37,31,66
1979,57,88,70,41,97,80,82,48,44,68,81,47,33,68
1980,24,74,69,21,83,57,93,47,44,40,93,34,54,-1
1981,36,81,98,52,65,78,72,48,37,66,75,37,38,87
1982,63,57,66,81,47,29,93,43,45,54,88,37,39,-1
1983,62,68,80,48,72,90,82,39,48,32,70,50,65,99
1984,69,62,52,100,56,56,70,31,40,46,86,48,32,1
1985,30,59,78,12,75,70,97,47,48,61,81,41,54,24
1986,41,95,74,62,96,78,86,34,50,57,74,43,53,5
1987,35,84,97,45,68,99,74,46,47,42,73,38,53,72
1988,52,54,32,71,40,57,97,33,31,51,96,30,42,75
1989,33,45,46,68,54,36,73,47,31,30,71,30,65,27
1992,45,87,97,70,92,77,70,30,42,40,88,35,64,11
1993,8,64,33,36,8,36,80,35,35,54,89,44,38,42
1994,54,95,91,36,86,86,96,31,48,57,95,46,36,42
1995,44,100,86,20,65,100,79,37,50,61,80,44,59,8
1996,57,44,33,53,35,30,82,44,32,33,98,49,34,69
1997,69,67,75,87,88,100,73,41,30,33,85,36,46,19
1998,82,34,60,69,58,50,89,46,43,62,95,49,39,1
2002,67,89,96,42,73,94,88,47,42,43,82,42,60,16
2003,30,45,39,55,59,29,88,42,41,67,92,44,36,59
2004,31,83,98,66,79,84,98,44,45,30,86,45,56,21
2005,93,90,100,88,73,100,76,48,32,30,92,40,60,92
2007,56,98,85,72,91,97,95,40,40,31,90,50,51,73
2009,83,69,34,74,48,48,88,44,46,64,93,32,58,23
2010,53,98,73,38,65,80,91,34,36,46,97,35,40,36
2013,66,76,65,54,77,85,90,45,33,34,71,45,45,1
2014,29,65,39,21,30,26,100,45,45,69,91,50,54,56
2015,57,47,44,54,62,40,97,35,33,51,100,45,41,76
2017,68,77,82,40,71,88,83,41,31,60,83,31,48,1
2018,90,33,68,82,52,65,90,32,47,37,94,50,32,98
2019,69,40,49,91,43,38,80,31,38,40,88,35,33,100
2020,37,82,82,24,94,95,87,50,50,32,91,33,51,59
2021,68,55,64,100,70,36,80,31,45,55,72,47,64,91
2022,78,60,91,96,70,87,70,37,32,30,84,44,54,29
2023,34,70,72,6,61,93,89,34,36,57,89,41,54,21
2024,13,67,52,26,6,6,70,47,50,53,90,36,36,71
2025,42,54,53,72,65,65,83,49,47,57,81,36,50,34
2026,35,88,61,50,96,97,86,40,47,39,97,37,67,41
2027,64,62,91,57,91,69,100,31,32,47,75,43,56,44
2028,65,76,94,71,88,98,86,44,34,41,83,47,62,75
2029,85,96,68,97,78,77,72,34,38,43,83,48,59,38
2030,48,49,53,63,54,36,83,50,41,47,81,47,35,93
2031,60,54,45,100,63,37,78,45,40,61,98,33,38,54
2032,65,77,60,63,81,68,96,50,42,39,76,31,32,94
2033,46,82,94,68,85,64,86,46,35,38,88,38,33,20
2034,49,93,90,75,98,78,93,46,50,49,70,45,64,88
2035,94,63,69,87,65,53,76,39,50,51,77,33,50,50
2036,51,61,75,43,71,66,98,36,32,35,72,43,47,100
2038,88,73,67,100,36,47,99,45,36,48,74,39,68,79
2039,40,90,74,63,85,87,86,50,43,31,84,49,39,89
2040,41,88,74,58,76,100,97,47,33,64,99,32,48,10
2041,13,65,69,28,35,14,88,35,35,39,88,41,61,18
2042,33,62,49,59,35,55,92,41,42,70,86,33,39,62
2043,62,82,85,91,92,81,76,38,41,36,87,36,61,35
2044,44,90,99,66,77,91,76,31,45,53,74,48,42,-1
2045,40,83,97,44,99,90,100,44,37,30,98,50,44,100
2046,68,49,33,67,34,34,100,45,36,66,83,48,35,25
2047,37,93,85,50,84,81,80,39,34,65,79,34,47,44
2048,61,81,88,86,74,76,72,48,32,32,97,50,49,26
2049,28,35,39,31,23,7,96,48,34,53,93,36,69,74
2052,46,46,41,48,49,34,78,42,42,47,90,48,65,64
2053,95,74,72,93,69,86,92,31,45,39,75,45,51,32
2054,64,69,40,59,45,59,78,30,35,40,95,48,58,41
2055,89,52,59,100,51,51,75,33,44,32,99,49,39,48
2056,62,86,100,33,94,67,95,39,45,36,98,31,38,66
2057,90,98,65,100,69,77,74,47,39,37,94,44,42,1
2059,3,92,68,40,98,90,73,38,38,46,89,45,45,99
2060,20,60,44,12,24,10,79,43,49,38,80,50,66,24
2061,50,35,58,62,37,50,86,30,32,70,77,35,56,82
2062,72,84,65,91,62,71,89,33,34,45,100,30,38,92
2063,10,75,94,18,98,71,96,43,31,40,84,38,65,23
2064,84,63,64,77,46,33,95,40,50,60,89,31,49,88
2065,59,31,53,66,47,66,87,46,30,63,81,41,70,86
2066,88,32,53,77,61,70,95,46,34,67,81,45,39,76
2067,26,34,45,23,15,9,97,48,32,62,90,31,38,41
2068,18,84,87,26,60,71,88,31,44,39,96,46,60,19
2069,72,73,84,70,75,75,100,43,44,67,86,50,58,91
2070,8,96,77,21,70,99,84,34,39,57,77,43,37,31
2071,58,80,70,46,83,87,94,37,30,32,72,41,36,26
2072,72,78,100,83,88,88,79,50,41,68,95,34,37,76
2076,23,59,65,9,3,26,91,31,43,58,73,41,30,29
2077,77,76,63,100,62,69,76,46,38,57,98,32,67,33
2078,87,51,40,77,32,37,86,39,46,49,74,45,59,18
2079,74,63,84,68,89,70,79,30,38,67,79,34,59,22
2080,59,93,69,55,96,63,76,36,32,63,80,35,53,13
2081,45,68,81,36,74,62,87,46,34,68,77,41,57,11
2082,60,99,78,84,83,96,73,35,45,42,77,50,41,21
2083,85,34,39,75,32,72,75,31,49,69,91,31,52,39
2086,66,34,57,54,38,39,77,43,39,40,88,35,37,78
2088,66,100,72,33,75,88,73,45,35,55,87,38,47,30
2089,29,92,71,41,82,96,94,44,44,48,97,48,50,92
2090,9,90,74,18,66,76,79,42,44,43,76,49,58,84
2091,88,81,64,97,62,95,83,37,36,62,98,44,35,57
2092,8,89,62,2,72,87,75,46,49,54,98,36,47,24
2093,47,68,39,67,63,72,78,43,33,66,75,32,39,17
2094,62,54,67,67,57,44,72,36,41,34,100,49,42,66
2095,69,67,98,42,86,68,88,49,31,32,72,38,61,62
2096,37,58,54,35,1,32,99,30,30,42,89,35,37,31
2097,1,61,75,39,69,79,90,30,41,70,81,48,46,89
2098,43,63,46,52,47,54,94,35,49,36,87,45,62,21
2099,71,61,47,84,56,29,89,36,34,56,79,43,45,91
2100,19,44,38,38,29,1,94,37,45,69,87,39,68,1
2101,85,45,46,96,45,65,77,40,45,65,82,38,31,72
2102,40,44,60,51,67,59,98,47,35,62,90,35,42,45
2103,43,78,76,56,75,83,98,49,41,64,87,32,53,88
2104,82,88,88,83,83,72,94,48,36,49,75,39,59,69
2105,77,87,99,100,72,66,81,46,47,50,83,36,67,36
2106,46,69,35,38,48,45,94,46,30,43,74,48,59,-1
2107,30,94,64,61,89,86,95,35,45,65,86,48,58,30
2108,18,41,59,11,37,33,90,45,41,43,86,48,42,40
2109,42,40,61,62,43,47,96,38,33,40,79,32,41,98
2110,60,35,39,67,47,40,72,50,48,38,70,30,61,14
2111,25,89,93,39,92,100,74,31,40,45,90,34,67,7
2113,41,74,78,37,88,92,71,38,37,62,96,44,43,68
2114,68,98,71,39,64,61,79,44,40,64,83,47,64,4
2115,65,48,53,77,37,39,78,46,45,53,84,49,36,49
2117,65,63,51,48,62,69,73,43,46,40,96,49,63,100
2118,72,62,82,98,86,97,82,42,34,58,94,48,54,60
2119,92,92,89,74,73,61,96,33,33,42,99,49,44,32
2120,10,65,93,4,93,94,82,43,31,63,82,47,58,39
2122,51,44,38,73,38,43,76,40,44,36,88,39,51,17
2123,64,50,44,59,46,32,98,44,30,51,86,46,34,24
2124,28,54,64,25,13,26,100,43,49,46,95,48,35,3
2125,68,54,34,39,70,50,98,39,33,39,92,40,56,7
2127,85,55,32,95,66,39,100,32,33,65,76,40,59,22
2128,55,90,85,52,95,82,81,41,41,56,86,39,42,100
2129,21,45,46,29,37,6,84,36,39,42,95,45,57,76
2130,67,90,82,59,65,82,84,40,32,44,77,30,31,9
2131,48,50,55,70,38,60,90,37,39,31,86,40,58,64
2132,74,65,63,92,70,55,87,44,30,48,95,31,54,8
2135,61,73,95,45,88,85,78,39,40,56,71,49,60,88
2136,97,70,35,94,51,38,76,31,45,70,89,30,50,1
2137,76,85,82,69,62,95,98,30,45,64,82,30,45,32
2138,45,82,100,56,70,77,83,31,45,68,83,38,34,72
2139,26,87,100,44,61,75,86,31,44,31,90,47,30,71
2140,33,77,88,35,86,92,92,48,42,50,83,33,61,11
2141,48,49,59,38,64,42,81,45,38,43,88,38,42,46
2142,34,33,53,21,9,27,89,43,44,51,94,49,68,1
2143,72,72,94,100,71,99,96,40,48,42,94,50,51,82
2144,83,80,90,86,62,68,87,33,30,32,99,46,44,1
2145,40,67,56,38,7,22,78,34,32,66,91,46,60,49
2147,7,74,69,13,88,96,85,39,41,47,88,41,63,72
2148,70,70,56,84,48,52,78,36,34,56,75,43,36,38
2149,31,39,54,68,48,38,74,38,41,53,97,42,49,1
2150,51,59,32,66,66,56,89,32,36,60,96,36,57,20
2151,83,37,53,98,42,34,76,50,44,53,79,38,51,82
2152,68,67,71,56,65,91,82,40,40,44,78,47,67,87
2153,73,75,62,82,65,80,96,46,47,48,86,46,66,15
2154,24,44,52,38,5,2,82,30,36,69,87,36,56,25
2155,48,32,38,31,49,54,92,31,40,50,94,36,33,31
2156,45,71,62,34,97,82,99,42,34,55,96,50,37,82
2158,35,62,43,37,32,18,84,31,34,65,77,40,63,65
2162,23,66,89,9,91,71,85,32,37,66,71,46,31,1
2163,34,92,100,46,93,89,87,43,36,41,70,44,37,47
2164,74,72,63,68,61,85,93,36,33,35,79,42,50,9
2166,53,94,64,62,63,95,74,37,33,51,85,43,48,76
2169,63,39,72,36,47,35,97,34,48,56,73,33,39,70
2170,31,99,82,49,71,62,83,35,38,39,77,43,70,30
2173,75,79,90,84,62,69,81,40,40,31,85,37,49,17
2174,16,59,47,49,7,18,78,49,50,53,83,48,65,67
2175,32,61,47,28,53,40,93,35,39,66,94,38,63,99
2176,21,39,38,13,28,22,75,32,39,63,81,34,50,98
2177,61,63,99,91,93,78,84,45,41,42,70,45,67,51
2178,38,85,82,37,76,64,96,46,37,53,100,50,57,43
2179,20,100,88,25,76,94,88,36,46,66,71,30,37,16
2181,34,59,37,38,25,31,100,31,44,52,97,44,60,20
2182,28,46,37,16,10,17,86,39,36,69,91,41,57,44
2183,11,61,54,34,33,27,76,43,36,66,95,40,57,85
2184,9,33,36,1,31,28,99,42,34,49,86,43,32,50
2186,88,52,60,88,39,60,98,44,33,64,86,45,55,21
2187,26,86,66,3,60,92,94,40,40,39,88,39,41,37
2188,68,60,39,33,32,58,77,40,38,51,93,46,67,1
2189,97,80,72,83,88,82,87,40,46,61,99,33,34,57
2190,42,64,63,50,71,71,100,35,33,42,95,45,30,48
2194,63,59,38,83,63,70,91,34,30,43,72,32,42,63
2195,32,82,81,54,92,89,83,31,40,65,98,50,45,74
2197,46,36,67,63,42,39,76,38,38,47,89,43,42,84
2198,35,83,62,35,78,73,88,36,30,65,100,49,60,5
2199,52,98,62,57,75,73,93,44,35,42,97,38,52,67
2200,63,34,55,64,57,36,93,30,43,41,91,34,51,40
2201,65,69,58,90,47,51,77,39,35,38,80,42,48,19
2202,30,53,63,32,58,27,94,33,30,66,78,44,61,69
2203,44,76,82,41,77,92,99,41,43,68,70,39,45,58
2204,52,63,62,41,84,87,70,37,41,62,88,43,70,88
2205,63,93,72,43,98,96,72,35,45,36,91,48,47,78
2206,6,80,67,40,90,72,85,37,36,62,100,31,40,21
2207,72,79,99,71,91,92,71,47,36,41,99,45,64,16
2208,4,31,46,39,30,7,91,49,31,42,74,44,34,-1
2209,79,47,35,87,68,39,85,47,45,59,80,40,58,100
2210,47,60,66,63,71,68,99,49,34,33,87,45,46,46
2212,88,74,83,74,97,81,76,49,46,30,86,39,56,88
2214,48,60,53,32,63,32,82,49,30,42,89,38,70,72
2215,6,47,48,13,12,28,75,41,30,39,72,33,58,55
2216,82,40,40,93,30,39,79,49,40,37,76,44,56,77
2217,95,48,66,78,42,47,81,34,35,44,90,35,41,12
2218,91,28,47,72,62,72,94,40,47,70,70,46,54,5
2219,66,39,48,53,32,35,83,46,44,40,99,41,38,39
2220,37,81,89,35,100,87,97,47,37,60,88,39,37,45
2221,1,72,39,39,14,27,86,40,32,36,89,46,31,30
2222,12,100,78,14,80,100,76,32,44,43,78,32,33,87
2226,4,51,48,21,41,32,78,47,50,37,98,36,67,16
2227,20,79,76,31,95,91,100,35,43,37,96,46,43,100
2229,69,60,82,91,81,91,94,49,34,36,72,35,59,36
2231,55,84,76,35,75,94,71,32,47,50,84,34,33,1
2232,17,71,81,4,74,86,70,39,30,38,70,44,62,26
2235,67,68,73,45,70,66,72,50,35,38,80,38,55,100
2237,37,60,63,5,22,1,87,41,47,30,79,33,56,55
2238,70,68,65,35,95,94,98,37,47,46,72,49,63,77
2239,85,64,65,78,55,52,79,48,34,65,78,35,37,1
2240,51,42,56,62,61,52,76,45,34,59,70,37,50,12
2241,100,95,90,99,85,94,99,43,47,42,96,32,52,27
2243,33,62,67,52,96,100,84,49,43,30,87,44,40,54
2244,66,60,92,66,81,97,90,47,36,52,74,46,67,26
2245,20,68,66,38,100,63,78,44,48,39,81,38,38,49
2246,24,62,79,15,97,65,85,42,30,64,86,43,37,13
2247,8,49,44,15,16,16,88,38,42,46,78,48,45,-1
2248,61,49,31,37,34,34,80,37,42,37,91,35,38,67
2249,70,63,73,57,67,78,96,41,36,55,95,34,40,20
2250,82,58,53,88,40,30,99,40,30,47,86,47,33,14
2251,35,88,67,41,62,91,97,36,37,36,84,35,59,91
2253,73,34,47,65,31,67,81,39,50,68,98,41,36,98
2254,12,90,98,7,85,87,71,46,47,41,74,48,31,10
2256,33,31,55,51,48,67,77,44,37,63,86,30,41,15
2257,68,72,74,65,63,76,80,42,44,59,97,45,66,73
2258,23,60,97,23,79,76,92,30,44,44,100,47,43,7
2261,69,42,42,98,35,43,97,39,44,45,95,37,58,51
2262,38,51,41,50,69,53,98,49,38,65,72,40,65,42
2263,47,58,60,50,57,33,70,37,37,40,77,48,35,54
2264,50,44,66,48,39,69,89,46,32,64,90,48,39,1
2265,44,86,76,63,69,62,79,38,38,33,98,40,70,71
2266,75,35,31,95,48,63,92,43,35,44,89,31,32,94
2267,36,50,44,42,52,43,70,47,42,43,85,50,41,1
2268,10,39,36,40,18,6,87,39,42,64,89,30,48,1
2269,38,49,49,33,57,71,80,38,46,59,94,36,41,100
2270,33,65,66,33,91,83,77,46,48,47,72,33,47,35
2272,84,31,47,73,35,46,97,33,34,56,75,32,60,52
2273,56,91,72,55,61,65,96,46,34,57,98,41,40,78
2274,32,67,33,32,35,47,71,37,37,65,96,44,31,41
2275,100,40,44,71,48,43,91,33,45,62,85,42,37,67
2276,2,33,60,41,38,38,98,37,42,43,77,36,65,51
2277,70,87,97,48,85,88,78,45,40,66,73,33,46,69
2278,95,88,75,98,94,67,96,40,40,38,91,33,41,99
2279,66,60,30,53,64,38,96,33,33,63,95,40,43,100
2280,50,66,75,66,77,75,94,42,44,34,93,46,43,71
2282,76,83,66,79,79,85,98,40,42,68,76,44,54,19
2284,72,72,63,91,78,90,99,33,31,60,82,36,40,98
2285,64,69,70,52,35,50,89,46,34,66,77,49,44,47
2286,97,31,51,86,45,43,83,39,30,47,85,40,63,71
2289,39,67,73,35,82,63,94,50,39,48,94,49,67,26
2291,48,70,30,54,40,47,97,46,34,43,85,41,36,90
2292,68,35,61,99,67,65,73,47,40,49,83,43,31,81
2293,38,68,53,3,1,11,74,48,34,68,90,46,55,89
2294,67,70,63,39,92,78,80,31,43,64,91,31,30,40
2299,99,30,49,100,38,61,85,30,33,52,73,48,52,49
2300,31,74,97,14,80,90,96,30,48,68,70,41,65,26
2301,69,35,52,81,49,56,91,30,30,42,70,36,39,13
2302,56,81,87,44,77,75,74,34,48,40,88,45,68,1
2303,2,31,56,24,4,23,86,40,41,37,70,42,63,99
2304,49,58,68,33,71,61,78,47,37,68,78,42,36,69
2306,49,99,74,67,70,92,86,40,42,41,80,33,45,40
2307,27,35,55,25,39,35,84,30,30,32,73,39,49,71
2308,79,65,79,96,68,97,92,42,32,41,85,31,55,43
2311,24,82,88,20,91,76,96,44,35,38,95,42,64,-1
2313,74,47,70,65,61,34,88,40,41,32,95,49,39,18
2314,13,87,67,6,63,61,77,30,35,36,76,30,56,81
2315,15,93,90,17,93,63,85,48,45,51,70,33,65,94
2317,65,71,71,50,81,85,72,50,32,53,100,41,33,7
2318,99,66,54,68,53,43,75,38,39,52,78,50,61,98
2319,58,66,43,28,32,56,77,31,39,32,72,32,66,58
2320,49,83,64,57,82,84,86,31,37,53,100,34,64,66
2322,97,68,97,69,83,100,73,34,43,43,73,40,70,53
2323,25,55,71,15,17,9,80,47,39,57,71,44,38,26
2324,36,44,46,4,26,9,80,30,42,68,92,49,33,2
2325,34,50,61,11,23,37,92,49,45,58,83,36,47,42
2326,98,90,65,90,82,99,94,35,43,46,74,46,40,1
2327,10,35,59,11,14,34,99,36,39,47,99,50,39,77
2328,63,70,43,42,70,35,76,35,36,56,78,36,46,33
2329,28,53,68,34,4,34,83,36,48,32,90,30,30,96
2330,28,66,91,23,76,97,91,45,38,47,83,42,32,20
2332,51,67,92,40,80,69,97,42,37,41,92,32,48,0
2333,62,49,63,71,58,55,74,47,33,66,90,44,37,90
2334,7,62,85,11,78,74,75,50,46,62,87,38,32,65
2335,47,74,91,59,84,75,88,35,47,61,83,34,58,36
2336,45,63,78,56,60,81,80,39,41,69,82,32,33,90
2337,93,66,65,76,96,83,78,40,49,49,70,39,52,93
2338,67,98,96,68,72,75,100,50,33,55,83,33,54,100
2340,96,55,66,78,61,55,99,32,41,45,78,33,47,28
2341,59,87,79,42,77,87,97,49,43,49,96,50,58,66
2342,40,100,74,32,63,68,74,43,39,58,77,38,34,26
