PlayerID,40yd,Bench,VertJ,BroadJ,3Cone,Shuttle,Wonderlic
1851,5.0600000000000005,24,28,110,7.390000000000001,4.47,21
1852,4.46,11,32.5,122,6.8100000000000005,4.03,9
1853,4.37,18,40.5,120,6.98,4.48,21
1854,4.61,17,39.5,120,6.83,4.39,16
1855,4.41,12,33.5,126,7.04,4.19,22
1856,5.3500000000000005,32,28,100,7.59,4.43,20
1857,5.0600000000000005,23,34,113,7.05,4.2700000000000005,9
1858,4.55,28,39.5,117,7.25,4.55,16
1859,4.4,15,37.5,126,6.96,4.25,6
1860,5.3500000000000005,34,29,102,7.62,4.43,17
1862,4.49,18,31.5,123,7.13,4.13,15
1863,4.63,27,31,120,6.87,4.3500000000000005,34
1864,4.5600000000000005,23,35,119,7.1000000000000005,4.42,28
1865,5.24,22,33,103,7.95,4.5600000000000005,32
1867,5.41,22,24,95,7.83,4.51,30
1868,4.64,27,30.5,111,7.26,4.15,7
1869,4.98,21,27,114,7.0200000000000005,4.33,33
1870,4.54,12,39,126,6.69,4.38,20
1873,5.37,25,24,100,7.7700000000000005,4.83,27
1874,5.29,24,32,98,7.61,4.79,39
1875,5.07,25,33,119,7.41,4.54,32
1876,4.7,29,35.5,116,6.97,4.41,18
1878,4.73,21,31,123,7.05,4.18,11
1879,4.67,23,34,118,6.82,4.5200000000000005,9
1880,4.57,18,33,125,6.87,4.4,22
1881,4.95,22,31,113,7.0200000000000005,4.15,25
1882,4.71,17,27.5,108,7.2,4.34,30
1883,5.01,22,30,114,7.12,4.41,30
1884,5.25,28,31,103,7.7,4.87,16
1885,4.57,17,39.5,126,7.19,4.01,15
1886,5.2700000000000005,30,29,96,7.49,4.61,9
1887,4.91,19,36,117,7.21,4.47,39
1888,4.99,22,34,110,7.32,4.42,39
1889,4.5600000000000005,21,36,126,6.78,4.3500000000000005,4
1890,4.51,23,31.5,117,6.890000000000001,4.36,32
1891,4.88,16,31,108,7.3100000000000005,4.29,4
1892,4.3500000000000005,11,35,118,6.68,4.39,5
1894,4.75,13,40,123,7.24,4.49,15
1895,4.87,19,34.5,113,7.07,4.08,29
1896,4.7,25,37,117,7.19,4.0600000000000005,16
1897,4.48,17,35,121,7,4.17,7
1898,4.54,13,33,116,6.8,4.5,11
1899,4.61,17,39,122,7.09,4.47,27
1900,4.64,16,38,123,6.78,4.19,20
1901,4.57,15,31,120,7.08,4.11,13
1902,5.3100000000000005,27,31,102,7.4,4.67,16
1903,5.5,23,27,105,7.97,4.4,29
1904,4.67,27,34,120,6.86,4.54,21
1906,4.79,19,37,115,7.26,4.15,30
1907,4.76,13,36,117,6.92,4.34,9
1908,4.75,13,34,119,7.25,4.11,4
1909,4.48,15,34,119,7.09,4.04,4
1910,4.46,23,34,120,6.7700000000000005,4.53,4
1911,4.46,17,35.5,122,7.26,4.13,11
1912,4.43,18,37,127,6.7700000000000005,4.28,9
1913,4.53,12,37.5,124,6.79,4.34,13
1914,4.55,8,38.5,115,6.68,4.03,15
1915,5.39,25,26,102,7.76,4.8100000000000005,32
1916,5.39,29,25,100,7.96,4.53,34
1917,5.38,28,24,105,7.92,4.5200000000000005,18
1918,4.78,24,38.5,111,7.24,4.37,6
1919,4.95,21,28,111,7.26,4.5,13
1920,4.91,18,30,109,7.0200000000000005,4.16,13
1921,4.3500000000000005,10,40.5,118,7.1000000000000005,4.22,13
1922,5.41,24,28,105,7.63,4.58,13
1923,4.7700000000000005,27,31,106,7,4.42,25
1924,4.97,20,37,109,7.07,4.11,45
1925,4.5,15,31,122,7.0600000000000005,4.18,20
1926,5.41,27,33,96,7.72,4.54,13
1927,4.9,23,37,114,7.140000000000001,4.5200000000000005,21
1928,4.3100000000000005,13,37.5,120,6.76,4.37,19
1929,5.23,25,33,98,7.66,4.53,15
1930,5.28,25,28,98,7.62,4.66,14
1931,5.26,25,31,101,7.5200000000000005,4.4,30
1932,5.28,31,25.5,95,7.8500000000000005,4.8,22
1933,5.39,29,28,103,7.96,4.83,13
1934,5.41,22,29,98,7.55,4.7700000000000005,13
1937,4.83,21,31,110,7.05,4.45,24
1938,4.63,13,34,120,6.97,4.4,15
1939,4.78,13,36,124,7.23,4.44,30
1940,5.12,34,29,103,7.5600000000000005,4.46,14
1941,4.41,12,41.5,119,6.69,4.28,23
1942,4.61,13,39,123,7.21,4.2,29
1943,4.69,15,38,117,6.84,4.2700000000000005,22
1944,5.01,21,33,111,7.17,4.5,26
1945,4.99,19,31,106,7.12,4.32,36
1946,4.45,18,39,119,7.140000000000001,4.23,18
1947,4.59,16,36.5,115,6.98,4.28,7
1948,4.96,19,31,111,7.05,4.47,15
1949,5.4,22,33,101,7.5,4.67,37
1950,5.43,28,27,103,7.91,4.64,14
1951,5.29,28,32,103,7.54,4.64,29
1952,5.41,26,23,103,7.58,4.88,15
1953,4.87,21,31,118,7.22,4.62,21
1954,5.08,27,35,115,7.22,4.37,5
1955,4.69,27,31,114,6.890000000000001,4.43,16
1956,4.7,12,35,121,7.03,4.37,20
1957,4.55,12,37.5,123,6.88,4.04,14
1959,4.67,15,37,119,6.99,4.49,4
1960,4.61,18,31,121,6.8100000000000005,4.33,6
1961,4.72,17,33,120,6.8100000000000005,4.14,10
1962,4.49,16,38,115,7,4.18,6
1964,5.0200000000000005,23,28,110,7.37,4.54,41
1965,4.58,13,40,113,7.05,4.21,5
1966,4.62,15,40,117,6.78,4.12,22
1968,4.82,15,35,113,7.390000000000001,4.58,25
1969,5.12,22,30.5,104,7.53,4.7,25
1970,5.51,23,31,99,7.98,4.67,20
1972,4.8,31,29,114,7.22,4.63,8
1973,4.8500000000000005,21,35,120,7.4,4.43,23
1974,4.93,19,29.5,112,6.97,4.29,17
1975,4.32,11,36.5,124,7.03,4.17,10
1976,4.49,17,35,127,7.0200000000000005,4.38,4
1977,4.87,21,31,111,7.23,4.61,24
1978,5.13,34,31,103,7.37,4.42,4
1979,5.28,26,33,104,7.6000000000000005,4.73,12
1980,4.63,25,30.5,120,7.2700000000000005,4.4,6
1981,4.91,28,36,117,6.98,4.49,4
1982,4.72,18,34,126,7.0200000000000005,4.24,6
1983,4.63,12,35,120,6.75,4.1,12
1984,4.5,12,32,120,7.09,4.26,4
1985,4.62,14,34,127,6.91,4.07,21
1986,4.82,23,32,112,6.94,4.55,22
1987,5.04,22,27,111,7.04,4.3100000000000005,33
1988,4.5600000000000005,12,39,122,7.140000000000001,4.07,4
1989,4.78,22,32,107,6.99,4.41,37
1992,4.62,8,41,117,6.890000000000001,3.99,7
1993,4.95,21,29,112,7.0600000000000005,4.37,40
1994,5.0600000000000005,18,34,108,7.19,4.24,33
1995,4.7700000000000005,22,30,115,7.13,4.51,10
1996,4.57,18,35.5,121,7.05,4.09,12
1997,4.75,19,34,123,6.87,4.42,9
1998,4.4,14,31,123,7.13,4.5,38
2002,5.2,19,29.5,101,7.71,4.57,20
2003,5.51,23,23,97,7.84,4.42,21
2004,5.36,25,32,100,7.94,4.86,22
2005,5.47,22,24,95,7.49,4.57,9
2007,5.22,27,33,97,7.84,4.73,15
2009,5.39,30,23,95,7.95,4.5200000000000005,29
2010,5.39,32,23,103,7.66,4.68,20
2013,5.51,28,30,102,7.74,4.51,23
2014,5,26,35,111,7.3500000000000005,4.45,27
2015,5.03,25,36,117,7.45,4.5,15
2017,4.58,17,29.5,117,7.22,4.46,7
2018,4.97,18,38,112,7.16,4.2,14
2019,4.96,20,33,112,7.1000000000000005,4.29,30
2020,4.48,17,33.5,119,6.92,4.33,4
2021,4.6000000000000005,17,31.5,125,7.1000000000000005,4.3500000000000005,4
2022,4.6000000000000005,14,36,122,6.86,4.21,8
2023,4.63,14,34,121,6.9,4.04,15
2024,4.5,18,40.5,123,6.79,4.22,11
2025,4.63,16,33,122,6.92,4.37,12
2026,4.73,20,33,109,7.34,4.19,8
2027,4.98,22,31,108,7,4.24,19
2028,5.22,31,30,97,7.67,4.89,21
2029,4.45,14,35.5,118,6.8,4.41,34
2030,4.96,28,33,114,7.2700000000000005,4.2700000000000005,14
2031,4.58,12,38,119,7.1000000000000005,4.46,13
2032,4.88,24,34,115,7.2,4.3,15
2033,4.53,9,36.5,123,6.91,4.1,13
2034,4.62,16,39,113,6.75,4.3500000000000005,21
2035,5.21,26,25,105,7.59,4.33,8
2036,4.92,22,36,110,7.1000000000000005,4.2,31
2038,4.74,19,34,124,6.8100000000000005,4.0600000000000005,4
2039,4.8,22,30,123,6.92,4.0600000000000005,4
2040,4.41,22,36.5,119,6.8,4.48,18
2041,5.32,26,29.5,97,7.58,4.47,17
2042,5.45,32,29,99,7.5200000000000005,4.88,30
2043,5.5200000000000005,24,29,103,7.7,4.82,36
2044,5.41,28,27,95,7.73,4.41,14
2045,5.49,25,32,104,7.78,4.7,18
2046,5.3,24,33,98,7.57,4.75,13
2047,5.45,24,32,97,7.84,4.47,29
2048,5.46,26,31,99,7.7700000000000005,4.55,23
2049,5.23,27,30,102,7.8100000000000005,4.5600000000000005,10
2052,5.4,31,28,102,7.98,4.79,24
2053,4.86,27,34,116,7.07,4.25,28
2054,4.83,22,36,115,7.0600000000000005,4.46,17
2055,4.64,19,38,123,6.8500000000000005,4.03,13
2056,4.55,12,37,120,7.1000000000000005,4.41,25
2057,4.36,16,34.5,127,6.82,4.04,10
2059,5.29,28,30,98,7.58,4.75,14
2060,5.4,32,32,98,7.67,4.6000000000000005,29
2061,4.5600000000000005,15,34.5,122,7.05,4.29,29
2062,4.72,18,35,110,6.890000000000001,4.08,18
2063,4.67,17,39,119,7.2,4.45,12
2064,4.46,9,39,118,6.92,4.3500000000000005,5
2065,4.38,16,36.5,121,6.82,4.11,4
2066,4.78,16,34,114,6.94,4.57,23
2067,4.42,7,36,120,7.12,4,5
2068,4.95,20,34,113,7.21,4.51,20
2069,4.61,15,37,117,6.91,4.39,20
2070,4.62,17,31.5,122,6.99,4.5200000000000005,20
2071,4.5200000000000005,9,38,127,6.66,4.37,13
2072,5.0600000000000005,24,31,113,7.3,4.2,30
2076,5.01,23,34,108,7.28,4.14,24
2077,4.63,17,39,125,7.1000000000000005,4.48,4
2078,4.88,24,29,112,6.95,4.23,13
2079,4.6000000000000005,19,37,123,6.98,4.38,18
2080,4.58,18,37,125,6.95,4.3500000000000005,20
2081,5.45,21,32,100,7.5200000000000005,4.74,17
2082,5.44,21,28,105,7.5600000000000005,4.8500000000000005,18
2083,5.32,31,27,98,7.55,4.64,12
2086,5.41,22,24,97,7.62,4.83,19
2088,4.8500000000000005,27,29,111,7.11,4.2700000000000005,28
2089,4.88,23,34,116,7.140000000000001,4.37,4
2090,4.76,28,38,114,6.99,4.17,37
2091,4.83,25,37,111,7.09,4.51,14
2092,4.7700000000000005,19,38.5,119,7.28,4.22,8
2093,4.8100000000000005,21,36,120,7.03,4.21,22
2094,4.83,21,37.5,109,7,4.5,4
2095,4.58,9,40.5,120,7.09,4.23,5
2096,4.63,14,37,125,6.74,4.33,4
2097,4.69,19,34,126,6.890000000000001,4.4,6
2098,4.58,16,41,126,6.88,4.25,16
2099,4.54,13,34,119,7.08,4.13,20
2100,4.6000000000000005,11,38,126,7.25,4.25,11
2101,4.65,13,34.5,121,7.05,4.2,4
2102,4.88,19,33,115,7.09,4.7,8
2103,5.26,24,28,108,7.45,4.55,11
2104,5.24,33,33,104,7.66,4.71,4
2105,4.8500000000000005,19,32,108,7.3500000000000005,4.19,27
2106,4.45,14,40,121,7.140000000000001,4.29,26
2107,5.28,23,26,99,7.75,4.6000000000000005,25
2108,4.59,15,38,119,7.12,4.21,18
2109,4.71,16,32,122,7.07,4.13,16
2110,4.55,19,30,121,6.88,4.23,7
2111,4.55,16,33,121,6.83,4.33,10
2113,4.61,27,34.5,117,6.99,4.37,8
2114,4.97,16,36,111,7.03,4.2,5
2115,4.8100000000000005,17,34,109,7.1000000000000005,4.44,28
2117,4.68,18,34,119,7.04,4.37,16
2118,4.5200000000000005,15,33,113,7.05,4.05,4
2119,4.47,17,32.5,120,6.8100000000000005,4.22,8
2120,4.54,17,38,125,7.23,4.45,4
2122,4.49,11,31.5,118,6.7700000000000005,4.19,13
2123,4.65,15,40,119,7.140000000000001,4.3100000000000005,13
2124,4.61,15,38.5,108,7.38,4.47,17
2125,5.47,29,30,96,7.87,4.43,20
2127,5.48,32,32,98,7.75,4.79,21
2128,5.23,30,33.5,104,7.8100000000000005,4.86,14
2129,5.26,27,27,97,7.8500000000000005,4.5200000000000005,23
2130,5.25,29,25,99,7.72,4.65,15
2131,5.34,27,26.5,105,7.66,4.75,11
2132,5.26,24,29,96,7.76,4.47,40
2135,4.82,20,33,118,7.3,4.44,19
2136,5.0200000000000005,27,28,110,7.46,4.57,20
2137,4.79,22,36.5,111,7.09,4.66,4
2138,5.1000000000000005,18,37,118,7.2,4.2,19
2139,5,20,37,108,7.17,4.46,7
2140,4.89,23,31,118,7.11,4.65,10
2141,4.89,17,33,118,6.94,4.49,4
2142,4.72,21,34.5,115,7.21,4.38,11
2143,4.36,9,33.5,122,6.72,4.11,9
2144,4.41,9,39.5,121,6.93,4.25,13
2145,4.6000000000000005,16,33,119,7.05,4.33,21
2147,4.47,17,33.5,126,6.92,4.3100000000000005,8
2148,4.49,12,38,120,6.890000000000001,4.33,18
2149,4.53,11,41,121,7.23,4.43,16
2150,4.68,26,28,103,7.33,4.68,8
2151,4.73,19,28,114,7.18,4.25,21
2152,4.74,13,33,119,7.09,4.37,6
2153,4.45,8,39.5,121,6.84,4.08,29
2154,4.68,16,41,126,6.890000000000001,4.44,16
2155,5.05,16,32,110,7.22,4.17,25
2156,5.05,25,36,109,7.01,4.22,32
2158,4.67,18,41,123,7.08,3.99,28
2162,4.96,25,35,112,7.3,4.15,13
2163,4.64,14,32,119,7.05,4.15,11
2164,4.7,10,35,121,7.15,4,10
2166,5.03,24,27,112,7.13,4.28,41
2169,4.73,21,37,121,6.91,4.23,9
2170,4.38,19,32.5,119,7.0600000000000005,4.0600000000000005,7
2173,4.67,18,32,121,7.03,4.11,19
2174,4.5200000000000005,9,31,121,6.83,4.29,25
2175,4.71,17,30.5,116,7.04,4.3100000000000005,28
2176,4.78,17,33,109,7,4.42,20
2177,4.86,18,38,114,7.2700000000000005,4.23,7
2178,5.49,31,27,95,7.54,4.48,13
2179,5.23,28,23,96,7.55,4.49,29
2181,5.26,25,31,100,7.72,4.5,26
2182,5.2700000000000005,32,33,101,7.78,4.41,21
2183,5.39,23,29,100,7.83,4.47,19
2184,5.42,28,31,105,7.75,4.7,11
2186,5.32,23,32,98,7.67,4.61,29
2187,5.32,24,26,99,7.75,4.58,7
2188,5.41,26,27,97,7.5200000000000005,4.58,8
2189,5.25,30,24,95,7.71,4.69,18
2190,5.3500000000000005,29,25,95,7.51,4.54,6
2194,4.96,18,32,115,7.05,4.68,9
2195,4.83,19,32,118,7.29,4.6000000000000005,4
2197,4.98,24,34,112,7.19,4.15,4
2198,4.92,18,36,111,7.25,4.18,22
2199,4.95,19,36,120,7.23,4.41,25
2200,4.8,18,31,111,7.25,4.34,18
2201,4.87,23,39.5,112,6.92,4.2,17
2202,4.42,15,37,126,6.82,4.39,25
2203,4.6000000000000005,18,39,126,7.11,4.15,10
2204,4.71,12,35,122,7.01,4.05,12
2205,4.72,14,38,125,6.87,4.2,13
2206,4.5600000000000005,11,38,123,7.23,4.22,15
2207,4.59,13,36.5,117,6.93,4.4,10
2208,4.49,19,36,116,6.98,4.09,5
2209,4.93,17,30,112,7.0200000000000005,4.58,9
2210,4.8,17,28,104,7.15,4.58,15
2212,5.25,34,24,108,7.57,4.64,16
2214,4.7700000000000005,22,35,113,6.8500000000000005,4.34,29
2215,5.51,25,23,100,7.8,4.5,30
2216,4.66,14,35.5,121,7.2,4.26,15
2217,4.62,16,34,126,6.94,4.34,20
2218,4.74,9,35,120,7.03,4.34,30
2219,4.82,15,33,109,7.16,4.5600000000000005,10
2220,4.82,25,32,113,6.890000000000001,4.22,19
2221,4.83,21,34,112,7.25,4.2,39
2222,4.93,22,34,107,7.18,4.39,16
2226,4.8,22,38,124,7.12,4.07,17
2227,4.49,20,39,116,7.07,4.45,20
2229,4.7700000000000005,19,39,120,6.76,4.29,20
2231,4.51,16,31.5,114,7.07,4.04,17
2232,4.92,25,28,114,6.99,4.62,9
2235,4.49,9,41.5,124,7.13,4.3,16
2237,4.59,17,37.5,121,6.75,4.08,21
2238,4.7,15,35,121,7.140000000000001,4.34,25
2239,4.65,15,36,116,6.78,4,4
2240,4.68,10,40,124,6.78,4,15
2241,5.46,27,25,99,7.48,4.46,13
2243,5.28,26,29,95,7.51,4.5200000000000005,24
2244,5.17,25,24.5,102,7.8100000000000005,4.39,30
2245,5.22,24,31,98,7.82,4.78,17
2246,5.32,21,33.5,104,7.96,4.59,11
2247,5.5200000000000005,25,24,97,7.62,4.43,11
2248,5.2700000000000005,29,33,104,7.72,4.8,18
2249,5.3100000000000005,28,27,96,7.63,4.5600000000000005,19
2250,5.34,32,33,98,7.72,4.55,24
2251,5.39,23,29,103,7.9,4.8100000000000005,25
2253,5.32,29,30,95,7.53,4.76,17
2254,5.51,25,30,100,7.63,4.6000000000000005,9
2256,4.8500000000000005,22,34,119,7.17,4.14,4
2257,4.87,19,39,120,7.19,4.53,4
2258,4.98,25,29,111,7.18,4.36,18
2261,4.7,16,34,109,7.16,4.3,5
2262,4.65,17,36.5,108,6.83,4.25,24
2263,4.76,24,37,114,7.17,4.51,17
2264,4.97,21,35,115,7.09,4.34,17
2265,4.75,24,33.5,115,7.26,4.45,22
2266,4.8500000000000005,22,33,109,7.04,4.19,27
2267,4.67,18,38,123,7.12,4.14,16
2268,4.6000000000000005,18,38,118,7.13,4.3,11
2269,4.63,21,32,116,7.16,4.08,11
2270,4.7700000000000005,20,38,126,7.05,4.19,20
2272,4.59,16,40,116,6.95,4.01,7
2273,4.57,12,37.5,116,6.9,4.11,13
2274,4.69,22,35,105,7.18,4.2700000000000005,18
2275,4.64,19,29,113,7.3,4.71,25
2276,4.66,19,34,104,7.21,4.38,10
2277,4.92,19,26,110,7.0600000000000005,4.41,21
2278,4.76,19,26,107,7.17,4.45,22
2279,4.51,18,40,120,7.09,4.21,5
2280,5.47,25,23,97,7.51,4.62,16
2282,4.33,9,31,116,7.140000000000001,4.44,5
2284,5.04,16,35,105,6.88,4.42,40
2285,4.94,25,27,106,7.23,4.16,22
2286,5.0600000000000005,25,27,112,7.05,4.2700000000000005,25
2289,5.09,24,35,113,7.25,4.38,30
2291,4.5,15,36,123,6.82,4.11,18
2292,4.73,15,37,115,6.75,4.4,4
2293,4.5600000000000005,17,31,112,6.87,4.28,4
2294,4.51,16,34,114,7.0200000000000005,4.34,8
2299,4.5200000000000005,18,37,128,6.91,4.18,15
2300,4.49,8,39,114,7.08,4.43,6
2301,4.7700000000000005,22,37.5,109,7.07,4.4,8
2302,4.7700000000000005,22,32,118,7.34,4.19,11
2303,5.05,16,31,115,6.97,4.37,8
2304,5.3500000000000005,23,24,102,7.72,4.46,26
2306,5.44,31,26,102,7.7,4.76,21
2307,5.34,24,32,101,7.7,4.64,18
2308,5.48,27,32,101,7.73,4.83,32
2311,5.3100000000000005,28,33,102,7.84,4.82,14
2313,5.22,29,23,95,7.74,4.55,12
2314,5.23,30,32,100,7.5200000000000005,4.7700000000000005,24
2315,5.45,21,33,99,7.5600000000000005,4.86,11
2317,5.51,24,29,102,7.890000000000001,4.39,11
2318,5.24,27,25,97,7.97,4.48,24
2319,5.43,28,25,101,7.8100000000000005,4.79,20
2320,4.9,26,30,112,7.44,4.6000000000000005,6
2322,4.8500000000000005,27,37,114,7.09,4.5600000000000005,10
2323,4.8500000000000005,22,37.5,113,7.19,4.66,7
2324,4.83,29,32,108,7.4,4.58,16
2325,5.0600000000000005,23,31,116,7.45,4.37,7
2326,4.65,18,34.5,118,7.11,4.4,4
2327,4.75,25,36,115,7.08,4.28,7
2328,4.7,24,36,116,6.91,4.37,4
2329,4.83,18,30.5,112,7.01,4.3500000000000005,18
2330,4.78,19,30.5,114,6.84,4.47,8
2332,4.76,18,36,115,7.17,4.1,14
2333,4.87,26,36,109,7.18,4.08,15
2334,4.6000000000000005,16,39,127,6.71,4,19
2335,4.59,10,36,119,6.91,4.12,21
2336,4.62,17,33,125,7.07,4.4,12
2337,4.59,11,31,118,7.01,4.08,7
2338,4.64,21,33,117,6.890000000000001,4.44,4
2340,4.68,18,31,116,6.78,4.16,9
2341,4.59,15,38.5,120,7.18,4.14,22
2342,4.51,18,31,118,7.17,4.07,4
2343,4.73,18,34,125,6.95,4.08,9
2344,4.76,27,25,108,7.23,4.57,6
2345,4.73,18,35,106,7.32,4.72,9
2346,5.3,33,25,102,7.53,4.8,4
2347,5.14,25,28,107,7.5,4.48,9
2349,5.23,32,31,99,7.8100000000000005,4.4,23
2350,5.39,28,34,104,7.54,4.51,9
2352,4.96,26,38,109,7.13,4.48,28
2353,4.47,17,33,119,6.890000000000001,4.2,23
2354,4.51,14,35,120,7.11,4.19,21
2355,4.88,15,32,110,7.36,4.47,20
2359,4.6000000000000005,13,34,115,7.22,4.05,17
2361,4.64,15,40,117,7.09,4.19,4
2364,4.72,17,31,125,6.94,4.37,24
2365,4.5,15,32,122,7.15,4.07,20
2366,4.7,16,36,124,6.93,4.4,13
2367,4.5,8,37,124,6.69,4.1,9
2368,4.53,17,35.5,119,6.79,4.01,23
2369,4.74,15,36,118,6.8100000000000005,4.0200000000000005,9
2370,4.58,14,32,124,6.7700000000000005,4.36,15
2371,4.74,16,35,116,7.0200000000000005,4.5200000000000005,16
2372,4.73,17,35,111,7.03,4.09,11
2373,4.82,23,35,112,6.97,4.19,5
2374,4.8,22,29,112,7.2,4.15,21
2375,5.23,29,24,97,7.9,4.8,5
2376,5.3500000000000005,22,28.5,99,7.87,4.4,17
2377,5.38,20,26,99,7.67,4.42,29
2378,5.3500000000000005,23,33,102,7.8500000000000005,4.74,12
2380,5.38,29,32,101,7.88,4.75,13
2382,5.29,22,25,95,7.7,4.73,12
2383,5.42,29,30,104,7.72,4.74,11
2386,4.93,25,34,120,7.16,4.69,13
2389,4.97,25,36,113,6.94,4.36,5
2390,4.91,28,31,117,7.01,4.3100000000000005,13
2391,4.91,24,32,111,6.97,4.4,6
2393,4.93,24,32,112,7.04,4.37,26
2394,4.73,24,38,117,7.1000000000000005,4.16,21
2395,4.78,22,34,118,7.23,4.28,8
2396,4.7,18,33,123,7.11,4.41,5
2398,4.65,19,41,122,6.93,4.3100000000000005,4
2400,4.69,12,33.5,116,6.86,4.38,25
2401,4.5200000000000005,16,35,126,6.97,4.36,12
2402,4.59,18,34,121,7.01,4.24,10
2403,4.76,19,39,121,7.140000000000001,4.21,13
2404,4.66,13,36,115,6.8500000000000005,4.24,14
2405,4.67,19,38,115,6.86,4.34,4
2406,4.87,25,26,106,7.28,4.65,19
2407,5.3100000000000005,34,33,103,7.32,4.82,24
2408,5.3,28,24,105,7.390000000000001,4.58,20
2409,5.23,30,26,100,7.75,4.7700000000000005,4
2410,4.89,16,29,104,7.08,4.34,16
2411,4.75,21,38,113,6.93,4.3,22
2412,4.48,16,40,123,7.11,4.19,21
2413,4.6000000000000005,10,35,119,6.82,3.99,20
2414,4.74,19,34,123,7.07,4.46,14
2415,4.69,11,33,123,7.01,4.37,16
2417,4.94,18,38,113,7.0200000000000005,4.41,13
2418,4.49,11,35,121,6.67,4.3500000000000005,15
2419,5.11,17,34,106,7.05,4.37,27
2420,4.83,18,34,103,6.94,4.07,13
2422,4.54,15,30,119,7.0600000000000005,4.5,4
2431,4.5600000000000005,23,40,120,7.01,4.21,4
2432,4.73,10,38,118,6.8,4.37,7
2433,4.49,15,33,125,6.87,4.01,10
2434,4.5600000000000005,10,39,121,7.03,4.3100000000000005,4
2435,4.46,8,39.5,119,7,4.0600000000000005,17
2437,4.59,11,34,117,6.98,4.41,9
2439,4.88,15,34,110,7.3500000000000005,4.37,23
2440,4.8500000000000005,18,36,115,7.1000000000000005,4.16,16
2441,5.3,22,33,104,7.95,4.7700000000000005,23
2442,5.42,28,25,103,7.57,4.69,37
2443,5.24,26,23,105,7.59,4.7700000000000005,14
2445,5.48,24,30,96,7.6000000000000005,4.63,13
2446,5.3500000000000005,23,25,98,7.86,4.55,15
2447,5.47,26,32,97,7.8500000000000005,4.46,13
2448,5.46,28,32,103,7.68,4.55,25
2450,5.5,25,32,100,7.59,4.43,13
2451,5.29,20,28,105,7.92,4.71,11
2453,5.33,27,32,97,7.65,4.5200000000000005,20
2457,4.94,24,34,118,7.1000000000000005,4.41,4
2458,4.83,27,33.5,114,7.25,4.51,14
2460,5.08,23,30,114,7.03,4.28,4
2461,5.0600000000000005,22,29,114,7.28,4.53,4
2462,4.91,27,29,118,7.1000000000000005,4.47,22
2464,4.91,23,38,114,7.140000000000001,4.61,4
2465,4.69,22,32,117,7.1000000000000005,4.25,13
2467,4.69,21,30,111,7.1000000000000005,4.46,9
2468,4.8100000000000005,15,39,123,7.18,4.34,19
2470,4.62,10,38,119,6.98,4.38,21
2471,4.54,15,32,117,7.1000000000000005,4.18,12
2472,4.59,13,32,117,6.79,4.17,10
2473,4.64,20,32,122,6.8500000000000005,4.44,14
2474,4.5600000000000005,14,41,122,6.8100000000000005,4.16,9
2477,4.62,12,36,117,6.7,4.39,17
2479,4.7700000000000005,16,40,118,6.87,4.36,24
2480,4.47,12,35,118,6.91,4.37,4
2481,4.88,22,25,107,7.08,4.62,22
2482,4.68,25,32,114,7.3,4.6000000000000005,24
2483,4.84,21,31,110,7.38,4.26,20
