Season,PlayerID,QB,RB,FB,WR,TE,G,T,C,P,K,DT,DE,LB,CB,SS,FS,Type
1988,1813,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1989,1813,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1989,1813,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1990,1813,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1990,1813,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1814,0,81,69,0,0,0,0,0,0,0,0,0,0,0,0,0,
1985,1814,1,81,69,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1814,1,85,67,1,1,1,1,1,1,1,1,1,1,1,1,1,
1985,1815,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1985,1815,81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1815,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1986,1815,84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1986,1815,84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1987,1815,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1987,1815,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1988,1815,89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1988,1815,89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1989,1815,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1989,1815,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1990,1815,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1990,1815,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1816,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1985,1816,84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1816,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1986,1816,91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1986,1816,91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1987,1816,96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1987,1816,96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1988,1816,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1988,1816,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1989,1816,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1989,1816,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1990,1816,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1990,1816,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1817,0,0,0,0,0,0,0,0,0,0,0,41,99,0,65,0,
1985,1817,1,1,1,1,1,1,1,1,1,1,1,41,99,1,65,1,Training Camp
1985,1817,1,1,1,1,1,1,1,1,1,1,1,26,100,1,41,1,
1986,1817,1,1,1,1,1,1,1,1,1,1,1,38,100,1,60,1,
1986,1817,1,1,1,1,1,1,1,1,1,1,1,38,100,1,59,1,Training Camp
1987,1817,1,1,1,1,1,1,1,1,1,1,1,32,100,1,58,1,
1987,1817,1,1,1,1,1,1,1,1,1,1,1,32,100,1,58,1,Training Camp
1988,1817,1,1,1,1,1,1,1,1,1,1,1,29,100,1,55,1,
1988,1817,1,1,1,1,1,1,1,1,1,1,1,28,100,1,55,1,Training Camp
1989,1817,1,1,1,1,1,1,1,1,1,1,1,26,100,1,49,1,
1989,1817,1,1,1,1,1,1,1,1,1,1,1,26,100,1,49,1,Training Camp
1990,1817,1,1,1,1,1,1,1,1,1,1,1,26,100,1,45,1,
1990,1817,1,1,1,1,1,1,1,1,1,1,1,26,100,1,45,1,Training Camp
1985,1818,0,0,0,0,0,0,0,0,0,0,43,86,23,0,0,0,
1985,1818,1,1,1,1,1,1,1,1,1,1,43,86,23,1,1,1,Training Camp
1985,1818,1,1,1,1,1,1,1,1,1,1,26,100,9,1,1,1,
1986,1818,1,1,1,1,1,1,1,1,1,1,37,91,21,1,1,1,
1986,1818,1,1,1,1,1,1,1,1,1,1,36,91,20,1,1,1,Training Camp
1987,1818,1,1,1,1,1,1,1,1,1,1,34,95,15,1,1,1,
1987,1818,1,1,1,1,1,1,1,1,1,1,33,95,15,1,1,1,Training Camp
1988,1818,1,1,1,1,1,1,1,1,1,1,28,100,9,1,1,1,
1988,1818,1,1,1,1,1,1,1,1,1,1,27,100,9,1,1,1,Training Camp
1989,1818,1,1,1,1,1,1,1,1,1,1,27,100,9,1,1,1,
1989,1818,1,1,1,1,1,1,1,1,1,1,27,100,9,1,1,1,Training Camp
1990,1818,1,1,1,1,1,1,1,1,1,1,27,100,9,1,1,1,
1990,1818,1,1,1,1,1,1,1,1,1,1,27,100,9,1,1,1,Training Camp
1985,1819,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1985,1819,92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1819,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1986,1819,95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1986,1819,95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1987,1819,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1987,1819,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1988,1819,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1988,1819,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1989,1819,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1989,1819,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1990,1819,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1990,1819,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1820,0,0,0,0,0,95,59,44,0,0,0,0,0,0,0,0,
1985,1820,1,1,1,1,1,95,59,44,1,1,1,1,1,1,1,1,Training Camp
1985,1820,1,1,1,1,1,100,33,24,1,1,1,1,1,1,1,1,
1986,1820,1,1,1,1,1,99,53,35,1,1,1,1,1,1,1,1,
1986,1820,1,1,1,1,1,99,53,34,1,1,1,1,1,1,1,1,Training Camp
1987,1820,1,1,1,1,1,100,51,31,1,1,1,1,1,1,1,1,
1987,1820,1,1,1,1,1,100,51,30,1,1,1,1,1,1,1,1,Training Camp
1988,1820,1,1,1,1,1,100,50,24,1,1,1,1,1,1,1,1,
1988,1820,1,1,1,1,1,100,49,24,1,1,1,1,1,1,1,1,Training Camp
1989,1820,1,1,1,1,1,100,41,24,1,1,1,1,1,1,1,1,
1989,1820,1,1,1,1,1,100,41,24,1,1,1,1,1,1,1,1,Training Camp
1985,1821,0,0,0,0,0,0,0,0,0,0,93,38,0,0,0,0,
1985,1821,1,1,1,1,1,1,1,1,1,1,93,38,1,1,1,1,Training Camp
1985,1821,1,1,1,1,1,1,1,1,1,1,96,31,1,1,1,1,
1985,1822,0,0,0,99,40,0,0,0,0,0,0,0,0,0,0,0,
1985,1822,1,1,1,99,40,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1822,1,1,1,100,16,1,1,1,1,1,1,1,1,1,1,1,
1986,1822,1,1,1,100,31,1,1,1,1,1,1,1,1,1,1,1,
1986,1822,1,1,1,100,30,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1987,1822,1,1,1,100,23,1,1,1,1,1,1,1,1,1,1,1,
1987,1822,1,1,1,100,23,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1988,1822,1,1,1,100,16,1,1,1,1,1,1,1,1,1,1,1,
1988,1822,1,1,1,100,16,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1989,1822,1,1,1,100,16,1,1,1,1,1,1,1,1,1,1,1,
1989,1822,1,1,1,100,16,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1990,1822,1,1,1,100,16,1,1,1,1,1,1,1,1,1,1,1,
1990,1822,1,1,1,100,16,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1823,0,96,94,0,0,0,0,0,0,0,0,0,0,0,0,0,
1985,1823,1,96,93,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1823,1,100,89,1,1,1,1,1,1,1,1,1,1,1,1,1,
1985,1824,0,83,33,0,0,0,0,0,0,0,0,0,0,0,0,0,
1985,1824,1,83,32,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1824,1,100,22,1,1,1,1,1,1,1,1,1,1,1,1,1,
1986,1824,1,86,28,1,1,1,1,1,1,1,1,1,1,1,1,1,
1986,1824,1,86,27,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1987,1824,1,89,24,1,1,1,1,1,1,1,1,1,1,1,1,1,
1987,1824,1,89,24,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1988,1824,1,94,22,1,1,1,1,1,1,1,1,1,1,1,1,1,
1988,1824,1,94,22,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1989,1824,1,99,22,1,1,1,1,1,1,1,1,1,1,1,1,1,
1989,1824,1,99,22,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1990,1824,1,100,22,1,1,1,1,1,1,1,1,1,1,1,1,1,
1990,1824,1,100,22,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1825,0,0,0,0,0,0,0,0,0,0,0,0,29,0,95,30,
1985,1825,1,1,1,1,1,1,1,1,1,1,1,1,29,1,95,30,Training Camp
1985,1825,1,1,1,1,1,1,1,1,1,1,1,1,19,1,100,15,
1986,1825,1,1,1,1,1,1,1,1,1,1,1,1,29,1,100,26,
1986,1825,1,1,1,1,1,1,1,1,1,1,1,1,29,1,100,25,Training Camp
1987,1825,1,1,1,1,1,1,1,1,1,1,1,1,24,1,100,21,
1987,1825,1,1,1,1,1,1,1,1,1,1,1,1,23,1,100,21,Training Camp
1988,1825,1,1,1,1,1,1,1,1,1,1,1,1,19,1,100,15,
1988,1825,1,1,1,1,1,1,1,1,1,1,1,1,19,1,100,15,Training Camp
1989,1825,1,1,1,1,1,1,1,1,1,1,1,1,19,1,100,15,
1989,1825,1,1,1,1,1,1,1,1,1,1,1,1,19,1,100,15,Training Camp
1990,1825,1,1,1,1,1,1,1,1,1,1,1,1,19,1,100,15,
1990,1825,1,1,1,1,1,1,1,1,1,1,1,1,19,1,100,15,Training Camp
1985,1826,0,0,0,64,48,0,0,0,0,0,0,0,0,0,0,0,
1985,1826,1,1,1,64,48,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1826,1,1,1,100,30,1,1,1,1,1,1,1,1,1,1,1,
1986,1826,1,1,1,74,42,1,1,1,1,1,1,1,1,1,1,1,
1986,1826,1,1,1,74,42,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1987,1826,1,1,1,77,40,1,1,1,1,1,1,1,1,1,1,1,
1987,1826,1,1,1,77,40,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1988,1826,1,1,1,79,38,1,1,1,1,1,1,1,1,1,1,1,
1988,1826,1,1,1,79,38,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1989,1826,1,1,1,95,34,1,1,1,1,1,1,1,1,1,1,1,
1989,1826,1,1,1,95,34,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1990,1826,1,1,1,100,31,1,1,1,1,1,1,1,1,1,1,1,
1990,1826,1,1,1,100,31,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1827,0,0,0,93,58,0,0,0,0,0,0,0,0,0,0,0,
1985,1827,1,1,1,93,57,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1827,1,1,1,100,26,1,1,1,1,1,1,1,1,1,1,1,
1986,1827,1,1,1,94,50,1,1,1,1,1,1,1,1,1,1,1,
1986,1827,1,1,1,94,49,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1987,1827,1,1,1,98,40,1,1,1,1,1,1,1,1,1,1,1,
1987,1827,1,1,1,98,40,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1988,1827,1,1,1,100,35,1,1,1,1,1,1,1,1,1,1,1,
1988,1827,1,1,1,100,35,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1989,1827,1,1,1,100,30,1,1,1,1,1,1,1,1,1,1,1,
1989,1827,1,1,1,100,30,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1990,1827,1,1,1,100,26,1,1,1,1,1,1,1,1,1,1,1,
1990,1827,1,1,1,100,26,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1828,0,0,0,0,0,62,85,38,0,0,0,0,0,0,0,0,
1985,1828,1,1,1,1,1,61,85,38,1,1,1,1,1,1,1,1,Training Camp
1985,1828,1,1,1,1,1,30,100,24,1,1,1,1,1,1,1,1,
1986,1828,1,1,1,1,1,54,91,33,1,1,1,1,1,1,1,1,
1986,1828,1,1,1,1,1,54,91,33,1,1,1,1,1,1,1,1,Training Camp
1987,1828,1,1,1,1,1,51,95,28,1,1,1,1,1,1,1,1,
1987,1828,1,1,1,1,1,51,95,27,1,1,1,1,1,1,1,1,Training Camp
1988,1828,1,1,1,1,1,46,97,24,1,1,1,1,1,1,1,1,
1988,1828,1,1,1,1,1,46,97,24,1,1,1,1,1,1,1,1,Training Camp
1989,1828,1,1,1,1,1,41,100,24,1,1,1,1,1,1,1,1,
1989,1828,1,1,1,1,1,40,100,24,1,1,1,1,1,1,1,1,Training Camp
1990,1828,1,1,1,1,1,33,100,24,1,1,1,1,1,1,1,1,
1990,1828,1,1,1,1,1,33,100,24,1,1,1,1,1,1,1,1,Training Camp
1985,1829,0,0,0,0,0,0,0,0,0,0,0,0,47,0,82,69,
1985,1829,1,1,1,1,1,1,1,1,1,1,1,1,47,1,82,68,Training Camp
1985,1829,1,1,1,1,1,1,1,1,1,1,1,1,32,1,88,51,
1986,1829,1,1,1,1,1,1,1,1,1,1,1,1,41,1,85,59,
1986,1829,1,1,1,1,1,1,1,1,1,1,1,1,41,1,85,59,Training Camp
1985,1830,0,0,0,0,0,0,0,0,0,0,0,63,96,0,51,0,
1985,1830,1,1,1,1,1,1,1,1,1,1,1,63,96,1,51,1,Training Camp
1985,1830,1,1,1,1,1,1,1,1,1,1,1,40,100,1,27,1,
1986,1830,1,1,1,1,1,1,1,1,1,1,1,59,98,1,42,1,
1986,1830,1,1,1,1,1,1,1,1,1,1,1,58,98,1,42,1,Training Camp
1987,1830,1,1,1,1,1,1,1,1,1,1,1,55,100,1,40,1,
1987,1830,1,1,1,1,1,1,1,1,1,1,1,55,100,1,40,1,Training Camp
1988,1830,1,1,1,1,1,1,1,1,1,1,1,53,100,1,35,1,
1988,1830,1,1,1,1,1,1,1,1,1,1,1,53,100,1,35,1,Training Camp
1989,1830,1,1,1,1,1,1,1,1,1,1,1,49,100,1,32,1,
1989,1830,1,1,1,1,1,1,1,1,1,1,1,48,100,1,32,1,Training Camp
1990,1830,1,1,1,1,1,1,1,1,1,1,1,43,100,1,29,1,
1990,1830,1,1,1,1,1,1,1,1,1,1,1,42,100,1,29,1,Training Camp
1985,1831,0,93,35,0,0,0,0,0,0,0,0,0,0,0,0,0,
1985,1831,1,93,35,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1831,1,100,19,1,1,1,1,1,1,1,1,1,1,1,1,1,
1986,1831,1,96,32,1,1,1,1,1,1,1,1,1,1,1,1,1,
1986,1831,1,96,31,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1987,1831,1,100,25,1,1,1,1,1,1,1,1,1,1,1,1,1,
1987,1831,1,100,24,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1988,1831,1,100,19,1,1,1,1,1,1,1,1,1,1,1,1,1,
1988,1831,1,100,19,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1832,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1985,1832,78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1832,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1986,1832,81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1986,1832,81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1987,1832,84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1987,1832,84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1988,1832,84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1988,1832,84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1833,0,87,32,0,0,0,0,0,0,0,0,0,0,0,0,0,
1985,1833,1,87,32,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1833,1,91,21,1,1,1,1,1,1,1,1,1,1,1,1,1,
1986,1833,1,88,26,1,1,1,1,1,1,1,1,1,1,1,1,1,
1986,1833,1,88,26,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1834,0,0,0,0,0,34,93,37,0,0,0,0,0,0,0,0,
1985,1834,1,1,1,1,1,34,93,37,1,1,1,1,1,1,1,1,Training Camp
1985,1834,1,1,1,1,1,18,100,24,1,1,1,1,1,1,1,1,
1986,1834,1,1,1,1,1,27,96,31,1,1,1,1,1,1,1,1,
1986,1834,1,1,1,1,1,27,96,30,1,1,1,1,1,1,1,1,Training Camp
1987,1834,1,1,1,1,1,22,100,27,1,1,1,1,1,1,1,1,
1987,1834,1,1,1,1,1,22,100,27,1,1,1,1,1,1,1,1,Training Camp
1988,1834,1,1,1,1,1,18,100,24,1,1,1,1,1,1,1,1,
1988,1834,1,1,1,1,1,18,100,24,1,1,1,1,1,1,1,1,Training Camp
1989,1834,1,1,1,1,1,18,100,24,1,1,1,1,1,1,1,1,
1989,1834,1,1,1,1,1,18,100,24,1,1,1,1,1,1,1,1,Training Camp
1990,1834,1,1,1,1,1,18,100,24,1,1,1,1,1,1,1,1,
1990,1834,1,1,1,1,1,18,100,24,1,1,1,1,1,1,1,1,Training Camp
1985,1835,0,0,0,0,0,33,90,42,0,0,0,0,0,0,0,0,
1985,1835,1,1,1,1,1,33,90,41,1,1,1,1,1,1,1,1,Training Camp
1985,1835,1,1,1,1,1,13,100,24,1,1,1,1,1,1,1,1,
1986,1835,1,1,1,1,1,24,94,36,1,1,1,1,1,1,1,1,
1986,1835,1,1,1,1,1,24,94,36,1,1,1,1,1,1,1,1,Training Camp
1987,1835,1,1,1,1,1,16,99,32,1,1,1,1,1,1,1,1,
1987,1835,1,1,1,1,1,16,99,31,1,1,1,1,1,1,1,1,Training Camp
1985,1836,0,0,0,0,0,52,49,85,0,0,0,0,0,0,0,0,
1985,1836,1,1,1,1,1,52,49,85,1,1,1,1,1,1,1,1,Training Camp
1985,1836,1,1,1,1,1,50,44,87,1,1,1,1,1,1,1,1,
1985,1837,0,0,0,0,0,34,41,99,0,0,0,0,0,0,0,0,
1985,1837,1,1,1,1,1,33,41,99,1,1,1,1,1,1,1,1,Training Camp
1985,1837,1,1,1,1,1,31,38,100,1,1,1,1,1,1,1,1,
1985,1838,0,0,0,0,0,0,0,0,0,0,0,42,85,0,44,0,
1985,1838,1,1,1,1,1,1,1,1,1,1,1,42,85,1,44,1,Training Camp
1985,1838,1,1,1,1,1,1,1,1,1,1,1,14,100,1,26,1,
1986,1838,1,1,1,1,1,1,1,1,1,1,1,30,87,1,39,1,
1986,1838,1,1,1,1,1,1,1,1,1,1,1,29,87,1,39,1,Training Camp
1987,1838,1,1,1,1,1,1,1,1,1,1,1,22,89,1,34,1,
1987,1838,1,1,1,1,1,1,1,1,1,1,1,21,89,1,33,1,Training Camp
1988,1838,1,1,1,1,1,1,1,1,1,1,1,14,92,1,28,1,
1988,1838,1,1,1,1,1,1,1,1,1,1,1,14,92,1,28,1,Training Camp
1989,1838,1,1,1,1,1,1,1,1,1,1,1,14,95,1,26,1,
1989,1838,1,1,1,1,1,1,1,1,1,1,1,14,95,1,26,1,Training Camp
1990,1838,1,1,1,1,1,1,1,1,1,1,1,14,97,1,26,1,
1990,1838,1,1,1,1,1,1,1,1,1,1,1,14,97,1,26,1,Training Camp
1985,1839,0,0,0,0,0,0,0,0,0,0,47,92,31,0,0,0,
1985,1839,1,1,1,1,1,1,1,1,1,1,46,92,30,1,1,1,Training Camp
1985,1839,1,1,1,1,1,1,1,1,1,1,26,100,15,1,1,1,
1986,1839,1,1,1,1,1,1,1,1,1,1,40,95,25,1,1,1,
1986,1839,1,1,1,1,1,1,1,1,1,1,39,95,25,1,1,1,Training Camp
1987,1839,1,1,1,1,1,1,1,1,1,1,34,100,18,1,1,1,
1987,1839,1,1,1,1,1,1,1,1,1,1,33,100,17,1,1,1,Training Camp
1988,1839,1,1,1,1,1,1,1,1,1,1,28,100,15,1,1,1,
1988,1839,1,1,1,1,1,1,1,1,1,1,28,100,15,1,1,1,Training Camp
1989,1839,1,1,1,1,1,1,1,1,1,1,26,100,15,1,1,1,
1989,1839,1,1,1,1,1,1,1,1,1,1,26,100,15,1,1,1,Training Camp
1990,1839,1,1,1,1,1,1,1,1,1,1,26,100,15,1,1,1,
1990,1839,1,1,1,1,1,1,1,1,1,1,26,100,15,1,1,1,Training Camp
1985,1840,0,0,0,0,0,92,37,45,0,0,0,0,0,0,0,0,
1985,1840,1,1,1,1,1,92,37,45,1,1,1,1,1,1,1,1,Training Camp
1985,1840,1,1,1,1,1,100,26,26,1,1,1,1,1,1,1,1,
1986,1840,1,1,1,1,1,95,33,44,1,1,1,1,1,1,1,1,
1986,1840,1,1,1,1,1,95,33,44,1,1,1,1,1,1,1,1,Training Camp
1987,1840,1,1,1,1,1,98,31,35,1,1,1,1,1,1,1,1,
1987,1840,1,1,1,1,1,98,30,35,1,1,1,1,1,1,1,1,Training Camp
1988,1840,1,1,1,1,1,100,29,34,1,1,1,1,1,1,1,1,
1988,1840,1,1,1,1,1,100,29,34,1,1,1,1,1,1,1,1,Training Camp
1989,1840,1,1,1,1,1,100,28,26,1,1,1,1,1,1,1,1,
1989,1840,1,1,1,1,1,100,28,26,1,1,1,1,1,1,1,1,Training Camp
1990,1840,1,1,1,1,1,100,26,26,1,1,1,1,1,1,1,1,
1990,1840,1,1,1,1,1,100,26,26,1,1,1,1,1,1,1,1,Training Camp
1985,1841,0,0,0,0,0,81,67,53,0,0,0,0,0,0,0,0,
1985,1841,1,1,1,1,1,81,66,53,1,1,1,1,1,1,1,1,Training Camp
