CoachID,TeamID,FirstName,LastName,Age,Experience,Job,Salary,Years,Background,Reputation,Intelligence,Discipline,Motivating,Focus,Def. Scheme,LB Use,DL Use,Cover Pref,KeyDefPos,Off. Scheme,PassPref,PassTargetPref,RunPref,TERole,RBRole,WRPref,FBRole,QBPref,CoachingOff,CoachingDef,Prep,AssessAbility,AssessPotential,Scouting,Recruiting,Youngsters,Development,PhysicalTraining,AttentionToDetail,TrainDLine,TrainLBs,TrainDBs,TrainSTS,TrainOL,TrainOffSkill,TrainQB,Loyalty,Leadership,Charisma,Reputation,Flexibility,HomeStateID,Style,Attitude,Trait,FourthDownPref,FaceSet,Face,Clothes,Hairstyle
359292,4,Shannon,Coates,47,3,LBCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Conservative,Volatile,Tutor,NotSet,,,,
331354,4,Brandon,Johnson,41,3,DBCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Conservative,Professional,Tactician,NotSet,,,,
3841,7,Ted,Lasso,45,7,HeadCoach,10,17,ProCoach,77,3,2,4,Pass,D43Hybrid,Mixed,Mixed,Zone,LB,SpreadHybrid,Balanced,Balanced,Balanced,Mixed,Running,Mixed,Blocking,Pocket,10,10,10,0,0,0,,5,6,2,3,2,3,2,3,2,5,6,10,7,8,0,10,,Aggressive,Enthusiastic,Developer,NotSet,a,96.png,13.png,
320351,7,Sam,Wyche,46,7,OffensiveCoordinator,4,4,None,92,5,6,5,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,7,5,5,6,6,6,,5,5,5,5,5,6,5,5,5,5,5,5,5,5,0,5,,Conservative,Relaxed,NotSet,NotSet,a,100.png,47.png,
153662,7,Dick,LeBeau,54,7,DefensiveCoordinator,4,4,None,92,5,5,5,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,5,8,5,5,5,6,,5,6,5,5,5,5,5,5,5,5,5,5,5,5,0,5,,Conservative,Stern,Recruiter,NotSet,b,0294.png,5.png,darkbrown_3062.png
109098,7,Jose,Thomas,41,3,HeadTrainer,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Aggressive,Professional,Recruiter,NotSet,c,0273.png,40.png,bald_3007.png
406991,7,William,Stroud,39,3,HeadScout,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Conservative,Silent,Networker,NotSet,a,61.png,18.png,
495715,7,Matthew,Stewart,42,3,QBCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Balanced,Silent,NotSet,NotSet,,,,
230641,7,Tony,Markham,39,3,SkillPositionCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Aggressive,Stern,NotSet,NotSet,,,,
497005,7,Clifford,Buckley,42,3,SpecialTeamsCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Conservative,Relaxed,Persuader,NotSet,,,,
281078,7,Jesus,Hannah,37,3,OLCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Balanced,Professional,Tactician,NotSet,a,14.png,49.png,
187430,7,Steven,Camacho,42,3,DLCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Aggressive,Professional,Developer,NotSet,,,,
445250,7,Roberto,Ackerman,36,3,LBCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Conservative,Relaxed,Networker,NotSet,,,,
169258,7,Eugene,Harper,42,3,DBCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Aggressive,Relaxed,Developer,NotSet,a,82.png,46.png,
122637,8,Johnny,Mnemonic,41,7,HeadCoach,10,17,None,79,8,3,8,Balanced,D34Hybrid,Mixed,RunSupport,Zone,DL,Power,Balanced,Balanced,Balanced,Catching,Mixed,Mixed,Mixed,Mobile,10,10,10,0,2,0,,4,6,5,6,4,3,1,2,5,5,6,10,7,4,0,10,,Balanced,Enthusiastic,Tactician,NotSet,a,74.png,33.png,
411655,8,Norm,Van Brocklin,65,7,OffensiveCoordinator,4,4,None,84,5,6,5,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,7,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,6,5,5,5,0,5,,Aggressive,Relaxed,Recruiter,NotSet,b,0280.png,23.png,grey_3015.png
413952,8,Lou,Holtz,54,7,DefensiveCoordinator,4,4,None,84,6,5,6,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,5,7,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,,Aggressive,Stern,Motivator,NotSet,a,109.png,24.png,
74818,8,Harvey,Jones,36,3,HeadTrainer,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Aggressive,Relaxed,Tutor,NotSet,b,0278.png,45.png,blonde_3020.png
288420,8,Lewis,Gladney,45,7,HeadScout,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Aggressive,Volatile,Networker,NotSet,a,61.png,12.png,
490408,8,Pete,Lo,53,15,QBCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Aggressive,Professional,Networker,NotSet,,,,
95444,8,Bennett,Butcher,37,3,SkillPositionCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Aggressive,Volatile,NotSet,NotSet,b,0292.png,42.png,darkbrown_3034.png
170461,8,Dean,Clough,36,3,SpecialTeamsCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Balanced,Professional,Developer,NotSet,,,,
331638,8,Richard,Williams,36,3,OLCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Conservative,Professional,Tutor,NotSet,b,0298.png,13.png,lightbrown_3069.png
35601,8,Edward,Williams,39,3,DLCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Balanced,Volatile,Tutor,NotSet,,,,
262205,8,James,Norfleet,38,3,LBCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Conservative,Silent,NotSet,NotSet,,,,
233999,8,Gregory,Helton,40,5,DBCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Conservative,Enthusiastic,NotSet,NotSet,,,,
137260,17,Paddy,Driscoll,26,7,HeadCoach,10,17,Player,77,8,4,6,Balanced,D43,Coverage,PassRush,Zone,LB,WestCoast,Balanced,Balanced,Outside,Mixed,Running,Mixed,Blocking,Mobile,10,10,10,0,0,0,,7,8,7,8,4,1,1,1,2,5,7,10,6,6,0,10,,Aggressive,Professional,Developer,NotSet,a,38.png,3.png,
246523,17,Joe,Gibbs,51,7,OffensiveCoordinator,4,4,None,86,7,6,5,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,5,5,5,5,5,5,,6,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,,Conservative,Relaxed,Tactician,NotSet,c,0256.png,24.png,black_3098.png
225997,17,Larry,Peccatiello,56,7,DefensiveCoordinator,4,4,None,86,5,6,6,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,5,6,5,5,5,5,,5,5,5,7,5,5,6,5,5,5,6,5,5,5,0,5,,Balanced,Professional,Tutor,NotSet,a,36.png,44.png,
390490,17,Dan,Behrens,44,3,HeadTrainer,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Aggressive,Stern,Developer,NotSet,a,70.png,10.png,
28864,17,Israel,Keeler,40,5,HeadScout,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Aggressive,Silent,Motivator,NotSet,a,43.png,2.png,
4394,17,Ross,Taylor,37,3,QBCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Balanced,Volatile,Tutor,NotSet,,,,
387244,17,Darryl,Hernandez,41,3,SkillPositionCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Conservative,Volatile,Tactician,NotSet,c,0258.png,48.png,bald_3019.png
123081,17,Barry,Mcgraw,38,3,SpecialTeamsCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Conservative,Stern,Motivator,NotSet,,,,
262319,17,Brett,Taylor,42,3,OLCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Aggressive,Enthusiastic,Developer,NotSet,b,0293.png,34.png,darkbrown_3030.png
300035,17,Fred,Aranda,36,3,DLCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Aggressive,Relaxed,NotSet,NotSet,a,108.png,40.png,
497624,17,Keith,Felix,42,7,LBCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Balanced,Silent,Motivator,NotSet,a,26.png,37.png,
498501,17,Carmen,Landrum,43,0,DBCoach,0.3,1,PositionCoach,62,3,3,1,Balanced,D52Hybrid,Mixed,PassRush,Man,DL,Vertical,Medium,Balanced,Balanced,Mixed,Mixed,Fast,Catching,None,4,1,2,4,5,8,,2,2,1,1,1,1,2,3,1,1,1,3,4,3,0,1,,Aggressive,Silent,Networker,Often,b,0276.png,18.png,bald_3021.png
429774,20,Gabe,Owners,44,5,HeadCoach,10,7,Player,77,7,8,5,Pass,D43Hybrid,Mixed,Mixed,Man,DL,ProStyle,Balanced,Balanced,From3WRSets,Mixed,Running,Hands,DontUse,Pocket,10,10,10,1,1,1,,5,10,4,5,7,3,4,1,7,6,10,10,6,4,0,10,,Aggressive,Enthusiastic,Tactician,NotSet,a,74.png,20.png,
80027,20,Garfield,Connor,43,7,OffensiveCoordinator,4,4,None,84,5,6,6,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,7,5,5,5,5,5,,5,5,5,6,5,5,5,6,5,5,5,5,5,5,0,5,,Balanced,Volatile,Networker,NotSet,a,52.png,40.png,
72729,20,Bryce,Isaacs,47,8,DefensiveCoordinator,4,4,None,84,5,6,5,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,5,5,5,6,5,7,,5,5,5,5,5,7,5,5,5,5,6,5,5,5,0,5,,Aggressive,Stern,Tutor,NotSet,a,4.png,23.png,
51225,20,Frankie,Garza,36,3,HeadTrainer,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Aggressive,Stern,Persuader,NotSet,a,84.png,19.png,
217664,20,Peter,Wilke,38,3,HeadScout,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Balanced,Professional,Recruiter,NotSet,a,8.png,43.png,
180996,20,Andrew,Wade,38,3,QBCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Aggressive,Relaxed,Tutor,NotSet,,,,
192370,20,Carl,Lane,38,3,SkillPositionCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Balanced,Relaxed,Networker,NotSet,,,,
51113,20,Earl,Parrish,42,5,SpecialTeamsCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Aggressive,Enthusiastic,NotSet,NotSet,,,,
405873,20,Samuel,Gonzales,43,8,OLCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Aggressive,Silent,Motivator,NotSet,,,,
207556,20,Steven,Slack,42,5,DLCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Aggressive,Relaxed,NotSet,NotSet,a,2.png,12.png,
222684,20,Paul,Demarco,36,3,LBCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Aggressive,Enthusiastic,Tutor,NotSet,b,0296.png,26.png,lightbrown_3081.png
361299,20,Clarence,Hibbard,36,3,DBCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Balanced,Stern,Developer,NotSet,,,,
386779,1,Bulldog,Turner,46,7,HeadCoach,10,17,ProCoach,77,5,7,7,Balanced,D43Hybrid,RunSupport,PassRush,Zone,DL,ProStyle,Short,Outside,Inside,Mixed,Running,Hands,Blocking,None,10,10,10,0,0,0,,8,8,6,4,4,4,3,1,6,5,10,10,9,2,0,10,,Balanced,Enthusiastic,Developer,NotSet,a,19.png,37.png,
195031,1,John,Mackovic,48,7,OffensiveCoordinator,4,4,None,82,5,6,5,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,8,5,5,5,5,6,,5,5,5,5,5,6,5,5,5,6,5,5,5,5,0,5,,Balanced,Enthusiastic,Networker,NotSet,a,71.png,37.png,
456292,1,Dan,Daniel,58,7,DefensiveCoordinator,4,4,None,82,5,6,5,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,5,5,6,5,7,6,,5,5,6,5,5,5,5,6,5,5,5,5,5,5,0,5,,Balanced,Volatile,Tactician,NotSet,a,38.png,19.png,
495720,1,Warren,Williams,42,5,HeadTrainer,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Balanced,Silent,Developer,NotSet,a,33.png,14.png,
375890,1,John,Anthony,42,3,HeadScout,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Balanced,Professional,Networker,NotSet,c,0264.png,25.png,black_3079.png
200035,1,Danial,Lauer,41,6,QBCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Balanced,Professional,Networker,NotSet,,,,
377626,1,John,Mares,42,3,SkillPositionCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Balanced,Relaxed,NotSet,NotSet,,,,
472895,1,Robert,Jung,37,3,SpecialTeamsCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Aggressive,Professional,Tutor,NotSet,,,,
301080,1,Robert,Samuel,38,3,OLCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Aggressive,Silent,Tutor,NotSet,a,41.png,14.png,
