PlayerName,TargetPlayerName,CohesionLevel
"Lonnie Young","Roger Wehrli",5
"Lonnie Young","Mike Pitts",5
"Lonnie Young","Rick Lyle",2
"Marshawn Lynch","Michael Jackson",9
"Marshawn Lynch","Jeremy Brigham",1
"Marshawn Lynch","Rashid Shaheed",3
"Marshawn Lynch","Tony Paige",7
"Marshawn Lynch","Mike Saxon II",2
"Marshawn Lynch","Tony Hill",7
"Marshawn Lynch","Jeremy Trueblood",9
"Marshawn Lynch","Mike Baab",5
"Marshawn Lynch","Jason Murphy",3
"Marshawn Lynch","Gerald Riggs",4
"Marshawn Lynch","Cap Boso",3
"Marshawn Lynch","Jake Ferguson",1
"Marshawn Lynch","Gene Hickerson",3
"Marshawn Lynch","Alan Veingrad",8
"Marshawn Lynch","Isaac Bruce",1
"Marshawn Lynch","Charlie Garner",3
"Marshawn Lynch","George Musso",1
"Marshawn Lynch","Brandon Aubrey",3
"Jason Murphy","Michael Jackson",15
"Jason Murphy","Jake Ferguson",9
"Jason Murphy","Tony Hill",9
"Jason Murphy","Jeremy Trueblood",19
"Jason Murphy","Gene Hickerson",6
"Jason Murphy","George Musso",15
"Jason Murphy","Bobby Hebert",4
"Jason Murphy","Tyler Smith",3
"Jason Murphy","Cap Boso",5
"Jason Murphy","Gerald Riggs",3
"Jason Murphy","Tony Paige",3
"Jason Murphy","Mike Saxon II",2
"Jason Murphy","Mel Gray",5
"Jason Murphy","Derek Kennard",1
"Jason Murphy","Isaac Bruce",7
"Jason Murphy","Kevin Dyson",2
"Bobby Hebert","Ben Grubbs",6
"Bobby Hebert","Renaldo Nehemiah",11
"Bobby Hebert","Tony Hill",7
"Bobby Hebert","Marshawn Lynch",12
"Bobby Hebert","Jake Ferguson",12
"Bobby Hebert","Jason Murphy",4
"Bobby Hebert","Michael Jackson",8
"Bobby Hebert","George Musso",3
"Bobby Hebert","Brandon Aubrey",3
"Bobby Hebert","Gene Hickerson",4
"Bobby Hebert","Gerald Riggs",3
"Bobby Hebert","Jeremy Trueblood",6
"Bobby Hebert","Tony Paige",5
"Bobby Hebert","Jeremy Brigham",4
"Bobby Hebert","Deuce Lutui",2
"Bobby Hebert","Marcus Vick",5
"Bobby Hebert","Mercury Hayes",2
"Bobby Hebert","Isaac Bruce",3
"Bobby Hebert","Tyler Smith",4
"Bobby Hebert","Cap Boso",3
"Bobby Hebert","Charlie Garner",1
"Richard Byrd","Darrell Green",4
"Richard Byrd","Ronnie Lott",2
"Richard Byrd","Don Davis",2
"Richard Byrd","Sean Jones",2
"Richard Byrd","Buddy Curry",6
"Richard Byrd","Mel Black",1
"Richard Byrd","Jim Stillwagon",5
"Richard Byrd","Leslie Frazier",4
"Richard Byrd","Mark Gastineau",4
"Richard Byrd","Mike Wise",3
"Richard Byrd","Bill Maas",5
"Tyler Smith","Bobby Hebert",1
"Tyler Smith","Michael Jackson",8
"Tyler Smith","Jeremy Trueblood",14
"Tyler Smith","Tony Hill",4
"Tyler Smith","Gene Hickerson",10
"Tyler Smith","Cap Boso",8
"Tyler Smith","Mel Gray",4
"Tyler Smith","Renaldo Nehemiah",2
"Tyler Smith","Tony Paige",7
"Tyler Smith","Marshawn Lynch",2
"Tyler Smith","George Musso",3
"Tyler Smith","Jason Murphy",9
"Tyler Smith","Rico Dynamite",3
"Tyler Smith","Charlie Garner",7
"Tyler Smith","Deuce Lutui",2
"Tyler Smith","Isaac Bruce",1
"Tyler Smith","Brandon Aubrey",1
"Tyler Smith","Kevin Dyson",3
"George Musso","Jeremy Trueblood",12
"George Musso","Bob Brotzki",1
"George Musso","Michael Jackson",13
"George Musso","Renaldo Nehemiah",2
"George Musso","Mike Saxon II",5
"George Musso","Tony Hill",6
"George Musso","Gerald Riggs",12
"George Musso","Rashid Shaheed",3
"George Musso","Jason Murphy",11
"George Musso","Tony Paige",14
"George Musso","Marshawn Lynch",15
"George Musso","Gene Hickerson",14
"George Musso","Brandon Aubrey",8
"George Musso","Cap Boso",4
"George Musso","Neil O'Donnell",2
"George Musso","Mel Gray",7
"George Musso","Jake Ferguson",8
"George Musso","Alan Veingrad",7
"George Musso","Deuce Lutui",5
"George Musso","Isaac Bruce",3
"George Musso","Tyler Smith",2
"George Musso","Bobby Hebert",4
"George Musso","Charlie Garner",4
"Logan Hall","Don Davis",11
"Logan Hall","Buddy Curry",14
"Logan Hall","Jack Del Rio",1
"Logan Hall","Amare Barno",10
"Logan Hall","Mike Wise",9
"Logan Hall","Roger Wehrli",9
"Logan Hall","Jim Stillwagon",6
"Logan Hall","Ronnie Lott",12
"Logan Hall","Todd Scott",1
"Logan Hall","Darrell Green",14
"Logan Hall","Keena Turner",8
"Logan Hall","Mike Golic",8
"Logan Hall","Sean Jones",2
"Logan Hall","Bill Maas",11
"Logan Hall","Richard Byrd",3
"Logan Hall","Albert Lewis",4
"Logan Hall","Tory James",3
"Logan Hall","Todd Shell",3
"Brandon Aubrey","Marcus Vick",4
"Brandon Aubrey","Michael Jackson",3
"Brandon Aubrey","Bill Lewis",4
"Brandon Aubrey","Tony Paige",4
"Brandon Aubrey","Rashid Shaheed",1
"Brandon Aubrey","George Musso",3
"Brandon Aubrey","Tony Hill",2
"Brandon Aubrey","Jeremy Trueblood",6
"Brandon Aubrey","Gerald Riggs",4
"Brandon Aubrey","Bob Brotzki",3
"Brandon Aubrey","James McKnight",5
"Brandon Aubrey","Kevin Dyson",3
"Brandon Aubrey","Mike Saxon II",3
"Jake Ferguson","Tony Hill",8
"Jake Ferguson","Jason Murphy",15
"Jake Ferguson","Cap Boso",3
"Jake Ferguson","Alan Veingrad",4
"Jake Ferguson","George Musso",9
"Jake Ferguson","Mike Saxon II",6
"Jake Ferguson","Michael Jackson",5
"Jake Ferguson","Gene Hickerson",19
"Jake Ferguson","Tyler Smith",5
"Jake Ferguson","Marshawn Lynch",8
"Jake Ferguson","Jeremy Trueblood",4
"Jake Ferguson","Tony Paige",8
"Jake Ferguson","Gerald Riggs",2
"Jake Ferguson","Renaldo Nehemiah",5
"Jake Ferguson","Marcus Vick",2
"Jake Ferguson","Rico Dynamite",2
"Jake Ferguson","Deuce Lutui",2
"Jake Ferguson","Brandon Aubrey",1
"Jake Ferguson","Charlie Garner",6
"Tory James","Richard Byrd",1
"Tory James","Jack Del Rio",1
"Tory James","Albert Lewis",1
"Tory James","Amare Barno",5
"Tory James","Todd Scott",2
"Tory James","Jim Stillwagon",1
"Tory James","Mel Black",1
"Tory James","Rick Lyle",1
"Tory James","Lonnie Young",3
"Tory James","Buddy Curry",9
"Tory James","Roger Wehrli",1
"Tory James","Todd Shell",1
"Tory James","Mike Golic",3
"Tory James","Greg Ellis",1
"Tory James","Mike Pitts",1
"Keena Turner","Jim Stillwagon",3
"Keena Turner","Greg Ellis",1
"Keena Turner","Buddy Curry",6
"Keena Turner","Jack Del Rio",5
"Keena Turner","Lonnie Young",2
"Keena Turner","Logan Hall",2
"Keena Turner","Roger Wehrli",11
"Keena Turner","Don Davis",6
"Keena Turner","Richard Byrd",4
"Keena Turner","Bill Maas",1
"Keena Turner","Joey Browner",9
"Keena Turner","Mike Wise",5
"Keena Turner","Amare Barno",1
"Keena Turner","Ronnie Lott",3
"Keena Turner","Albert Lewis",10
"Keena Turner","Todd Scott",5
"Keena Turner","Mike Golic",1
"Keena Turner","Tory James",3
"Keena Turner","Mike Pitts",3
"Darrell Green","Lonnie Young",2
"Darrell Green","Mel Black",3
"Darrell Green","Joey Browner",13
"Darrell Green","Todd Scott",6
"Darrell Green","Roger Wehrli",4
"Darrell Green","Richard Byrd",10
"Darrell Green","Keena Turner",3
"Darrell Green","Jim Stillwagon",3
"Darrell Green","Logan Hall",7
"Darrell Green","Ronnie Lott",5
"Darrell Green","Amare Barno",5
"Darrell Green","Albert Lewis",6
"Darrell Green","Don Davis",2
"Darrell Green","Mark Gastineau",5
"Darrell Green","Greg Ellis",4
"Darrell Green","Tory James",2
"Darrell Green","Todd Shell",5
"Ronnie Lott","Mike Wise",4
"Ronnie Lott","Mike Golic",13
"Ronnie Lott","Sean Jones",9
"Ronnie Lott","Todd Scott",2
"Ronnie Lott","Keena Turner",8
"Ronnie Lott","Don Wilson",3
"Ronnie Lott","Richard Byrd",1
"Ronnie Lott","Tory James",1
"Ronnie Lott","Jim Stillwagon",19
"Ronnie Lott","Joey Browner",7
"Ronnie Lott","Bill Maas",21
"Ronnie Lott","Roger Wehrli",7
"Ronnie Lott","Buddy Curry",16
"Ronnie Lott","Logan Hall",8
"Ronnie Lott","Albert Lewis",11
"Ronnie Lott","Greg Ellis",1
"Ronnie Lott","Amare Barno",3
"Ronnie Lott","Don Davis",11
"Ronnie Lott","Leslie Frazier",3
"Ronnie Lott","Mark Gastineau",12
"Ronnie Lott","Mike Pitts",1
"Ronnie Lott","Todd Shell",2
"Ronnie Lott","Jack Del Rio",2
"Roger Wehrli","Keena Turner",14
"Roger Wehrli","Mel Black",5
"Roger Wehrli","Richard Byrd",3
"Roger Wehrli","Tory James",4
"Roger Wehrli","Don Wilson",2
"Roger Wehrli","Lonnie Young",4
"Roger Wehrli","Sean Jones",12
"Roger Wehrli","Buddy Curry",11
"Roger Wehrli","Jack Del Rio",5
"Roger Wehrli","Mike Wise",8
"Roger Wehrli","Bill Maas",4
"Roger Wehrli","Jim Stillwagon",4
"Roger Wehrli","Ronnie Lott",2
"Roger Wehrli","Logan Hall",2
"Roger Wehrli","Mike Golic",13
"Roger Wehrli","Amare Barno",6
"Roger Wehrli","Darrell Green",6
"Roger Wehrli","Don Davis",1
"Roger Wehrli","Albert Lewis",4
"Roger Wehrli","Matt Millen",6
"Roger Wehrli","Greg Ellis",4
"Roger Wehrli","Mike Pitts",3
"Roger Wehrli","Mark Gastineau",1
"Gene Hickerson","Tony Hill",9
"Gene Hickerson","Marshawn Lynch",8
"Gene Hickerson","Tony Paige",25
"Gene Hickerson","Tyler Smith",3
"Gene Hickerson","Jeremy Trueblood",4
"Gene Hickerson","Gerald Riggs",9
"Gene Hickerson","Jake Ferguson",8
"Gene Hickerson","George Musso",8
"Gene Hickerson","Rashid Shaheed",1
"Gene Hickerson","Mike Baab",3
"Gene Hickerson","Bobby Hebert",3
"Gene Hickerson","Jason Murphy",6
"Gene Hickerson","James McKnight",5
"Gene Hickerson","Brandon Aubrey",1
"Gene Hickerson","Charlie Garner",4
"Gene Hickerson","Kevin Dyson",2
"Gene Hickerson","Alan Veingrad",3
"Mel Gray","Ben Grubbs",2
"Mel Gray","Jeremy Brigham",4
"Mel Gray","Michael Jackson",4
"Mel Gray","Marshawn Lynch",5
"Mel Gray","Rashid Shaheed",4
"Mel Gray","Gene Hickerson",2
"Mel Gray","Tony Paige",2
"Mel Gray","James McKnight",4
"Mel Gray","Cap Boso",4
"Mel Gray","Isaac Bruce",2
"Mel Gray","Charlie Garner",2
"Mel Gray","Alan Veingrad",3
"Mel Gray","Jake Ferguson",1
"Mel Gray","Tyler Smith",2
"Mike Golic","Roger Wehrli",3
"Mike Golic","Joey Browner",2
"Mike Golic","Amare Barno",2
"Mike Golic","Sean Jones",1
"Mike Golic","Ronnie Lott",5
"Mike Golic","Bill Maas",1
"Mike Golic","Logan Hall",2
"Greg Ellis","Albert Lewis",5
"Greg Ellis","Mel Black",1
"Greg Ellis","Sean Jones",2
"Greg Ellis","Roger Wehrli",3
"Greg Ellis","Todd Scott",2
"Greg Ellis","Mike Wise",5
"Greg Ellis","Logan Hall",7
"Greg Ellis","Joey Browner",1
"Greg Ellis","Don Davis",4
"Greg Ellis","Ronnie Lott",5
"Greg Ellis","Darrell Green",2
"Greg Ellis","Mike Golic",3
"Greg Ellis","Rick Lyle",1
"Greg Ellis","Tory James",2
"Greg Ellis","Mike Pitts",5
"Greg Ellis","Keena Turner",2
"Greg Ellis","Mark Gastineau",2
"Kevin Dyson","Jake Ferguson",4
"Kevin Dyson","Bob Brotzki",7
"Kevin Dyson","Gerald Riggs",2
"Kevin Dyson","Marshawn Lynch",3
"Kevin Dyson","Mike Saxon II",1
"Kevin Dyson","Mel Gray",3
"Kevin Dyson","Gene Hickerson",3
"Kevin Dyson","Marcus Vick",2
"Leslie Frazier","Roger Wehrli",3
"Leslie Frazier","Lonnie Young",4
"Leslie Frazier","Greg Ellis",1
"Leslie Frazier","Jack Del Rio",2
"Leslie Frazier","Ronnie Lott",4
"Albert Lewis","Jim Stillwagon",10
"Albert Lewis","Jack Del Rio",1
"Albert Lewis","Keena Turner",6
"Albert Lewis","Sean Jones",9
"Albert Lewis","Darrell Green",7
"Albert Lewis","Ronnie Lott",15
"Albert Lewis","Bill Maas",5
"Albert Lewis","Mike Wise",2
"Albert Lewis","Roger Wehrli",2
"Albert Lewis","Buddy Curry",2
"Albert Lewis","Joey Browner",5
"Albert Lewis","Logan Hall",3
"Albert Lewis","Tory James",2
"Albert Lewis","Todd Shell",2
"Albert Lewis","Mark Gastineau",2
"Albert Lewis","Mike Pitts",5
"Bill Maas","Mike Wise",4
"Bill Maas","Logan Hall",4
"Bill Maas","Keena Turner",8
"Bill Maas","Jim Stillwagon",3
"Bill Maas","Albert Lewis",4
"Bill Maas","Greg Ellis",6
"Bill Maas","Ronnie Lott",3
"Bill Maas","Amare Barno",2
"Bill Maas","Darrell Green",2
"Bill Maas","Roger Wehrli",1
"Jeremy Brigham","Ben Grubbs",1
"Jeremy Brigham","Tony Hill",2
"Jeremy Brigham","Tony Nathan",4
"Jeremy Brigham","Michael Jackson",2
"Jeremy Brigham","Marshawn Lynch",3
"Jeremy Brigham","Tony Paige",3
"Jeremy Brigham","Cap Boso",4
"Jeremy Brigham","James McKnight",3
"Cap Boso","Bobby Hebert",3
"Cap Boso","Jeremy Brigham",2
"Cap Boso","Bob Brotzki",1
"Cap Boso","Brandon Aubrey",1
"Cap Boso","Tony Hill",4
"Cap Boso","Gerald Riggs",11
"Cap Boso","Jason Murphy",4
"Cap Boso","Michael Jackson",11
"Cap Boso","Mel Gray",3
"Cap Boso","Gene Hickerson",5
"Cap Boso","Marshawn Lynch",3
"Cap Boso","Isaac Bruce",4
"Cap Boso","Jeremy Trueblood",3
"Cap Boso","Tyler Smith",2
"Derek Kennard","Bill Lewis",1
"Derek Kennard","Gene Hickerson",6
"Derek Kennard","Tony Hill",3
"Derek Kennard","Gerald Riggs",3
"Derek Kennard","Deuce Lutui",3
"Derek Kennard","Jeremy Trueblood",5
"Derek Kennard","Jake Ferguson",2
"Alan Veingrad","Derek Kennard",3
"Alan Veingrad","Neil O'Donnell",6
"Alan Veingrad","Bob Brotzki",9
"Alan Veingrad","Marshawn Lynch",4
"Alan Veingrad","Mel Gray",2
"Alan Veingrad","Jeremy Trueblood",1
"Alan Veingrad","James McKnight",3
"Alan Veingrad","Tydus Winans",5
"Alan Veingrad","Mike Saxon II",2
"Alan Veingrad","George Musso",3
"Alan Veingrad","Isaac Bruce",2
"Alan Veingrad","Tyler Smith",3
"Alan Veingrad","Jake Ferguson",4
"Bob Brotzki","Rashid Shaheed",2
"Bob Brotzki","Derek Kennard",4
"Bob Brotzki","Renaldo Nehemiah",1
"Bob Brotzki","Tony Hill",5
"Bob Brotzki","Tyler Smith",7
"Bob Brotzki","Charlie Garner",2
"Bob Brotzki","Deuce Lutui",2
"Bob Brotzki","James McKnight",2
"Mike Wise","Bill Maas",6
"Mike Wise","Mike Golic",3
"Mike Wise","Albert Lewis",7
"Mike Wise","Don Wilson",4
"Mike Wise","Jim Stillwagon",3
"Mike Wise","Richard Byrd",10
"Mike Wise","Sean Jones",4
"Mike Wise","Amare Barno",4
"Mike Wise","Logan Hall",5
"Mike Wise","Greg Ellis",3
"Mike Wise","Ronnie Lott",1
"Mike Wise","Mark Gastineau",2
"Mike Wise","Buddy Curry",1
"Mike Wise","Mike Pitts",4
"Mel Black","Joey Browner",5
"Mel Black","Ronnie Lott",4
"Mel Black","Albert Lewis",2
"Mel Black","Mike Golic",3
"Mel Black","Lonnie Young",2
"Mel Black","Leslie Frazier",4
"Mel Black","Mark Gastineau",1
"Mel Black","Bill Maas",4
"Mel Black","Buddy Curry",3
"Mel Black","Jack Del Rio",2
"Isaac Bruce","Kevin Dyson",3
"Isaac Bruce","Charlie Garner",2
"Isaac Bruce","Bob Brotzki",3
"Isaac Bruce","Cap Boso",1
"Isaac Bruce","Tony Paige",4
"Isaac Bruce","Tyler Smith",1
"Isaac Bruce","Mike Saxon II",3
"Isaac Bruce","George Musso",1
"Isaac Bruce","Brandon Aubrey",1
"Isaac Bruce","Jeremy Trueblood",3
"Charlie Garner","Gene Hickerson",4
"Charlie Garner","Bobby Hebert",3
"Charlie Garner","Mel Gray",3
"Charlie Garner","Cap Boso",2
"Charlie Garner","Tony Paige",1
"Charlie Garner","Kevin Dyson",3
"Charlie Garner","Jason Murphy",6
"Rick Lyle","Jack Del Rio",4
"Rick Lyle","Lonnie Young",4
"Rick Lyle","Roger Wehrli",1
"Rick Lyle","Darrell Green",3
"Rick Lyle","Buddy Curry",3
"Rick Lyle","Greg Ellis",5
"Rick Lyle","Albert Lewis",2
"James McKnight","Michael Jackson",3
"James McKnight","Marshawn Lynch",2
"Jack Del Rio","Ronnie Lott",2
"Jack Del Rio","Todd Scott",1
"Jack Del Rio","Buddy Curry",9
"Jack Del Rio","Lonnie Young",2
"Jack Del Rio","Don Davis",2
"Jack Del Rio","Bill Maas",2
"Jack Del Rio","Keena Turner",1
"Jack Del Rio","Richard Byrd",2
"Jack Del Rio","Leslie Frazier",3
"Jack Del Rio","Mike Wise",4
"Mike Pitts","Antoine Bethea",2
"Mike Pitts","Daxton Hill",2
"Mike Pitts","LaMarr Woodley",3
"Mike Pitts","Mark Robinson LB",2
"Mike Pitts","Andre Waters",10
"Mike Pitts","Brady Smith",3
"Mike Pitts","Samari Rolle",5
"Mike Pitts","Tim Green",3
"Mike Pitts","Tramon Williams",5
"Mike Pitts","Mark Kelso",1
"Mike Pitts","Mark Gastineau",3
"Mike Pitts","Keena Turner",1
"Mike Pitts","Logan Hall",1
"Mike Pitts","Roger Wehrli",5
"Mike Pitts","Tory James",3
"Mike Pitts","Buddy Curry",3
"Mike Pitts","Ronnie Lott",4
"Deuce Lutui","Andrew Glover",4
"Deuce Lutui","John Jefferson",2
"Deuce Lutui","Winston Justice",7
"Deuce Lutui","Peyton Manning",9
"Deuce Lutui","Eric Moulds",5
"Deuce Lutui","Vernon Davis",1
"Deuce Lutui","Antone Davis",8
"Deuce Lutui","Willie Gault",1
"Deuce Lutui","Kirk Gibson",4
"Deuce Lutui","Olin Kreutz",1
"Deuce Lutui","Mel Gray",4
"Deuce Lutui","George Musso",1
"Deuce Lutui","Cap Boso",9
"Deuce Lutui","Kevin Dyson",3
"Deuce Lutui","Jason Murphy",2
"Deuce Lutui","Bobby Hebert",5
"Deuce Lutui","Tony Paige",2
"Mercury Hayes","Aaron Graham",1
"Mercury Hayes","Stepfret Williams",3
"Mercury Hayes","Gerald Riggs",2
"Mike Saxon II","Bill Lewis",5
"Mike Saxon II","Tony Nathan",3
"Mike Saxon II","George Musso",7
"Mike Saxon II","Renaldo Nehemiah",3
"Mike Saxon II","Mel Gray",4
"Mike Saxon II","Brandon Aubrey",1
"Mike Saxon II","Derek Kennard",5
"Mike Saxon II","Bobby Hebert",3
"Mike Saxon II","Michael Jackson",2
"Mike Saxon II","Tyler Smith",2
"Mike Saxon II","Alan Veingrad",4
"Marcus Vick","Michael Jackson",3
"Marcus Vick","Derek Kennard",3
"Marcus Vick","Mel Gray",1
"Marcus Vick","Jeremy Brigham",3
"Marcus Vick","Brandon Aubrey",4
"Marcus Vick","Tony Hill",2
"Marcus Vick","Kevin Dyson",2
"Marcus Vick","Marshawn Lynch",1
"Marcus Vick","James McKnight",5
"Marcus Vick","Jason Murphy",1
"Marcus Vick","Rico Dynamite",4
"Marcus Vick","Gene Hickerson",2
"Todd Shell","Tank Tyler",10
"Todd Shell","Kayvon Thibodeaux",3
"Todd Shell","Travon Walker",1
"Todd Shell","Alan Page",4
"Todd Shell","Shane Burton",2
"Todd Shell","Shawn Wooden",1
"Todd Shell","George Trafton",1
"Todd Shell","Andre Wadsworth",1
"Todd Shell","William Judson",1
"Todd Shell","Percy Ellsworth",8
"Todd Shell","Curly Lambeau",12
"Todd Shell","Joshua Fatu",3
"Todd Shell","Joe Fishback",1
"Todd Shell","Kamerion Wimbley",5
"Todd Shell","Ervin Randle",4
"Todd Shell","Lance Schulters",6
"Todd Shell","Wayne Milner",5
"Todd Shell","Tiger Greene",5
"Todd Shell","Eddie Anderson",6
"Todd Shell","Sam Seale",4
"Todd Shell","Michael Carter",4
"Todd Shell","Richard Dent",1
"Todd Shell","Takeo Spikes",4
"Todd Shell","Buddy Curry",6
"Todd Shell","Gabe Wilkins",1
"Todd Shell","Leslie Frazier",3
"Todd Shell","Greg Ellis",2
"Todd Shell","Richard Byrd",2
"Todd Shell","Ronnie Lott",4
"Todd Shell","Mike Golic",12
"Todd Shell","Logan Hall",5
"Todd Shell","Roger Wehrli",1
"Todd Shell","Mark Gastineau",4
"Mark Gastineau","Reggie Nelson",5
"Mark Gastineau","Robert Brown",1
"Mark Gastineau","Jeff Davis",5
"Mark Gastineau","Andrew Booth Jr",3
"Mark Gastineau","Greg Ellis",3
"Mark Gastineau","Rick Lyle",1
"Mark Gastineau","Keena Turner",2
"Mark Gastineau","Leslie Frazier",4
"Matt Millen","Ross Browner II",5
"Matt Millen","Frank Warren",4
"Matt Millen","Ray Childress",3
"Matt Millen","William Thomas",1
"Matt Millen","Mark Duda",6
"Matt Millen","Cedric Griffin",3
"Matt Millen","Lional Dalton",1
"Matt Millen","Emlen Tunnell",4
"Matt Millen","Hollis Thomas",3
"Matt Millen","Shaun Gayle",4
"Matt Millen","Brian Asamoah II",4
"Matt Millen","Ken Strong",2
"Matt Millen","Chris Green",2
"Matt Millen","Dick LeBeau",3
"Matt Millen","Jack Del Rio",10
"Matt Millen","Todd Shell",3
"Matt Millen","Lonnie Young",1
"Matt Millen","Tory James",3
"Matt Millen","Mike Golic",3
"Matt Millen","Ronnie Lott",4
"Matt Millen","Leslie Frazier",2
"Matt Millen","Darrell Green",2
"Matt Millen","Greg Ellis",4
"Matt Millen","Bill Maas",3
"Frank Reich","James Cook",4
"Frank Reich","J.P. Foschi",1
"Frank Reich","Jeremy Trueblood",1
"Frank Reich","Alan Veingrad",4
"Frank Reich","Marshawn Lynch",3
"Frank Reich","Tyler Smith",3
"Rico Dynamite","Tyler Smith",2
"Rico Dynamite","Jeremy Trueblood",4
"Rico Dynamite","Michael Jackson",2
"Rico Dynamite","Jake Ferguson",5
"Norm Katnik","Gene Hickerson",1
"Norm Katnik","Cap Boso",3
"Norm Katnik","Rico Dynamite",4
"Barry Cofield","Kader Kohou",6
"Barry Cofield","Bobby Butler",5
"Barry Cofield","Dwight Hicks",1
"Barry Cofield","Chris Washington",6
"Barry Cofield","Brett Maxie",2
"Barry Cofield","A.J. Hawk",1
"Barry Cofield","Johnny Jolly",3
"Barry Cofield","Eric Wright CB",5
"Barry Cofield","Chinedum Ndukwe",1
"Barry Cofield","Dixon Edwards",3
"Barry Cofield","David Fulcher",7
"Barry Cofield","Sauce Gardner",3
"Barry Cofield","Mike Jones",4
"Barry Cofield","Leslie O'Neal",2
"Barry Cofield","Jay Bellamy",2
"Barry Cofield","Steve McMichael",1
"Barry Cofield","Lewis Cine",1
"Barry Cofield","Carl Lee",1
"Barry Cofield","Andy Headen",2
"Mike Croel","Clint Session",5
"Mike Croel","Johnny Jolly",9
"Mike Croel","Chinedum Ndukwe",7
"Mike Croel","David Fulcher",3
"Mike Croel","Leonard Marshall",3
"Mike Croel","Eric Wright CB",4
"Mike Croel","Eric Wright",2
"Mike Croel","Leslie O'Neal",6
"Mike Croel","Tim Krumrie",2
"Mike Croel","Todd Bowles",2
"Mike Croel","Kader Kohou",6
"Mike Croel","Ross Browner II",2
"Mike Croel","Mike Jones",4
"Mike Croel","Andy Headen",4
"Mike Croel","Bobby Butler",3
"Willie Gault","Andrew Glover",3
"Willie Gault","Neil Lomax",1
"Willie Gault","Olin Kreutz",6
