"PlayerID","Jersey","FirstName","LastName","Age","Experience","Height","Weight","Position","city","mascot","Overall","Strength","Agility","Arm","Speed","Hands","Intelligence","Accuracy","RunBlocking","PassBlocking","Tackling","Endurance","KickDistance","KickAccuracy","trait1","Leadership","WorkEthic","Competitiveness","TeamPlayer","Sportsmanship","SocialDisposition","Money","Security","Loyalty","Winning","PlayingTime","CloseToHome","MarketSize","Morale","QB","RB","FB","WR","TE","G","T","C","P","K","DT","DE","LB","CB","SS","FS","1989","1990","1991","1992","1993","1994"
"1827","84","Gary","Clark","27","4","69","173","WR","Green Bay","Packers","95","52","92","1","92","93","57","8","34","22","42","94","1","1","DeepThreat","16","78","82","24","79","65","82","35","49","58","96","46","44","84","1","1","1","100","35","1","1","1","1","1","1","1","1","1","1","1","6000000","0",NULL,NULL,NULL,NULL
"1828","61","Anthony","Munoz","31","4","78","278","T","New York","Giants","88","77","60","10","50","22","70","1","82","85","59","81","9","10","BookEndTackle","19","99","100","7","79","76","94","35","50","41","72","50","31","95","1","1","1","1","1","46","97","24","1","1","1","1","1","1","1","1","13560400","0",NULL,NULL,NULL,NULL
"1830","55","Steve","Nelson","38","4","74","230","LB",NULL,NULL,"78","57","70","1","65","41","74","1","1","1","72","88","1","1",NULL,"62","37","62","63","44","63","81","47","45","45","95","46","35","66","1","1","1","1","1","1","1","1","1","1","1","53","100","1","35","1","0","0","0","0","0","0"
"1834","74","Bruce","Matthews","28","4","77","305","T","Detroit","Lions","97","86","70","7","71","39","75","1","91","89","53","90","1","1","BookEndTackle","44","71","89","69","95","84","76","48","41","33","75","48","39","100","1","1","1","1","1","18","100","24","1","1","1","1","1","1","1","1","6000000","0",NULL,NULL,NULL,NULL
"1838","56","Clay","Matthews","33","4","74","245","LB","Seattle","Seahawks","89","73","84","10","64","57","63","1","1","7","92","81","5","1",NULL,"7","94","94","19","73","88","96","41","46","40","97","30","62","4","1","1","1","1","1","1","1","1","1","1","1","14","92","1","28","1","11910000","0",NULL,NULL,NULL,NULL
"1839","56","Chris","Doleman","28","4","77","289","DE","Indianapolis","Colts","96","88","72","4","83","40","65","9","1","1","68","89","9","1","BullRusher","88","85","87","87","90","91","83","43","40","64","96","35","38","100","1","1","1","1","1","1","1","1","1","1","28","100","15","1","1","1","6000000","0",NULL,NULL,NULL,NULL
"1840","63","Mike","Munchak","29","4","75","281","G","San Francisco","49ers","93","94","52","6","63","23","71","9","91","77","45","70","1","1","TenaciousBlocker","86","60","100","83","93","62","81","34","32","59","91","32","50","57","1","1","1","1","1","100","29","34","1","1","1","1","1","1","1","1","6370000","6370000",NULL,NULL,NULL,NULL
"1842","66","Max","Montoya","33","4","77","282","G",NULL,NULL,"78","70","52","1","42","18","63","1","67","81","46","55","3","1",NULL,"87","60","34","71","49","47","97","35","40","47","89","42","42","54","1","1","1","1","1","100","25","33","1","1","1","1","1","1","1","1","0","0","0","0","0","0"
"1843","51","Wilber","Marshall","27","4","73","231","LB","London","Monarchs","94","77","81","1","89","44","71","1","1","10","85","80","1","3",NULL,"68","53","46","38","47","37","87","33","39","42","88","30","70","27","1","1","1","1","1","1","1","1","1","1","1","10","100","1","31","1","7250000","7250000","7500000","7500000",NULL,NULL
"1844","95","Richard","Dent","29","4","77","265","DE","Detroit","Lions","94","82","77","1","65","41","57","7","1","10","82","82","1","1","SpeedRusher","50","88","63","50","66","97","78","32","40","62","94","39","39","100","1","1","1","1","1","1","1","1","1","1","4","100","1","1","1","1","6700000","6700000","6700000",NULL,NULL,NULL
"1845","75","Chris","Hinton","28","4","76","300","T","London","Monarchs","94","86","66","1","60","26","75","1","87","89","59","72","2","1","BookEndTackle","43","66","69","54","61","85","70","48","31","34","77","40","49","86","1","1","1","1","1","20","89","20","1","1","1","1","1","1","1","1","11143500","11143500","11143500","11143500","11143500",NULL
"1846","76","John","Alt","27","4","80","298","T","Minnesota","Vikings","91","95","62","1","48","16","61","1","90","85","45","72","1","1",NULL,"42","98","63","40","87","96","93","49","40","30","96","41","58","24","1","1","1","1","1","10","92","26","1","1","1","1","1","1","1","1","6600000","6600000","6600000","6600000","6600000",NULL
"1847","78","Bruce","Smith","26","4","76","262","DE","Indianapolis","Colts","100","87","82","1","82","56","67","2","1","1","74","86","5","1","BullRusher","68","64","45","40","69","69","78","35","44","36","83","33","46","97","1","1","1","1","1","1","1","1","1","1","29","84","4","1","1","1","12510000","12510000","12510000",NULL,NULL,NULL
"1848","55","Matt","Millen","31","4","74","250","LB","Kansas City","Chiefs","88","78","71","1","76","45","59","5","1","1","79","72","1","1",NULL,"59","79","73","61","74","78","81","45","43","59","78","40","36","22","1","1","1","1","1","1","1","1","1","1","1","14","100","1","37","1","5250000","0",NULL,NULL,NULL,NULL
"1850","22","Dave","Duerson","29","4","73","207","SS","Chicago","Bears","90","72","88","1","93","73","70","1","1","1","59","79","1","1","CommunityBenefactor","41","64","67","43","64","95","74","40","43","34","81","36","36","69","1","1","1","1","1","1","1","1","1","1","1","1","10","1","93","10","5000000","5000000",NULL,NULL,NULL,NULL
"1851","12","Randall","Cunningham","26","4","76","212","QB","Green Bay","Packers","87","62","82","85","70","22","75","83","1","1","14","88","1","1","RunningQB","98","42","54","100","69","61","82","42","42","48","74","41","39","95","100","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","6000000","0",NULL,NULL,NULL,NULL
"1854","28","Curt","Warner","28","4","71","205","RB","Indianapolis","Colts","91","80","88","16","85","73","60","29","44","46","30","87","1","1","FierceCompetitor","76","71","97","100","73","80","96","30","36","50","71","34","49","98","1","83","7","1","1","1","1","1","1","1","1","1","1","1","1","1","5100000","0",NULL,NULL,NULL,NULL
"1856","56","Jay","Hilgenberg","30","4","75","259","C","Virginia","Destroyers","90","91","50","4","60","17","62","5","88","84","43","64","1","1",NULL,"36","44","38","36","42","36","88","32","40","53","94","37","65","24","1","1","1","1","1","24","41","68","1","1","1","1","1","1","1","1","14110300","14110300",NULL,NULL,NULL,NULL
"1857","75","Howie","Long","29","4","77","268","DE","New York","Giants","97","84","68","6","74","50","68","1","9","4","77","87","1","1","WorkoutFanatic","91","69","78","81","78","72","74","33","47","48","92","49","41","76","1","1","1","1","1","1","1","1","1","1","25","100","15","1","1","1","6000000","0",NULL,NULL,NULL,NULL
"1860","76","Steve","McMichael","32","4","74","270","DT","Seattle","Seahawks","86","77","57","2","69","42","73","5","1","1","73","73","1","1","FanFavorite","4","56","67","42","20","14","95","50","35","62","70","46","33","96","1","1","1","1","1","1","1","1","1","1","100","29","1","1","1","1","6700000","6700000","6700000","6700000","6700000","6700000"
"1862","28","Darrell","Green","29","4","69","184","CB","Oakland","Raiders","97","71","86","8","98","65","58","1","1","6","49","94","8","5","SlotCorner","34","74","72","50","82","64","89","33","35","55","72","38","45","100","1","1","1","1","1","1","1","1","1","1","1","1","1","95","9","1","19140000","19140000",NULL,NULL,NULL,NULL
"1863","51","Mike","Singletary","31","4","72","230","LB","Buffalo","Bills","94","75","76","7","76","50","93","8","10","1","90","96","2","1","CoverageLB","42","39","68","32","39","37","77","34","50","34","74","30","61","100","1","1","1","1","1","1","1","1","1","1","1","32","85","1","30","1","6480000","6480000","6480000",NULL,NULL,NULL
"1867","61","Joel","Hilgenberg","27","4","75","250","C","Minnesota","Vikings","85","89","50","1","51","11","69","1","80","75","45","79","1","1",NULL,"61","95","73","50","91","89","99","45","33","37","83","39","56","44","1","1","1","1","1","29","26","100","1","1","1","1","1","1","1","1","10587500","10587500","10587500","10587500",NULL,NULL
"1868","58","Carl","Banks","27","4","76","235","LB","Atlanta","Falcons","91","81","68","1","79","46","57","1","1","1","88","80","1","1",NULL,"42","39","68","53","67","47","84","47","40","58","73","40","39","57","1","1","1","1","1","1","1","1","1","1","1","1","100","1","6","1","8100000","8100000","8100000","8100000","8100000",NULL
"1869","8","Steve","Young","28","4","74","215","QB","London","Monarchs","95","53","81","91","70","20","88","93","1","1","14","81","1","1","RunningQB","65","91","76","53","96","90","92","45","45","35","100","46","49","98","94","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","6000000","0",NULL,NULL,NULL,NULL
"1870","81","Art","Monk","32","4","75","210","WR","Seattle","Seahawks","92","51","90","1","83","97","66","4","22","22","32","84","9","1","PossessionWR","61","64","57","31","60","69","85","49","35","30","82","38","31","61","1","1","1","83","27","1","1","1","1","1","1","1","1","1","1","1","12470000","0",NULL,NULL,NULL,NULL
"1871","65","Joe","Fields","36","4","74","250","C",NULL,NULL,"73","64","36","5","27","9","66","1","73","69","35","63","1","1",NULL,"68","32","55","65","41","59","72","48","49","45","74","44","39","42","1","1","1","1","1","20","39","100","1","1","1","1","1","1","1","1","0","0",NULL,NULL,NULL,NULL
"1873","75","John","Hannah","38","4","74","265","G","New York","Giants","79","85","47","3","40","24","65","1","73","67","59","82","1","1","TenaciousBlocker","77","38","66","89","47","33","91","44","41","64","100","40","57","56","1","1","1","1","1","90","23","31","1","1","1","1","1","1","1","1","2000000","2000000","0","0","0","0"
"1874","62","Guy","McIntyre","28","4","75","275","G","Baltimore","Ravens","91","94","50","1","57","12","77","1","90","72","38","66","1","1","AtheleticBlocker","35","42","53","56","56","37","87","39","39","51","87","30","66","25","1","1","1","1","1","98","5","33","1","1","1","1","1","1","1","1","6380000","6380000","6380000","6380000",NULL,NULL
"1875","99","Dan","Hampton","32","4","77","264","DE","Virginia","Destroyers","93","70","76","1","66","52","73","1","1","10","77","78","1","8",NULL,"17","85","72","29","88","75","73","42","50","61","70","43","48","8","1","1","1","1","1","1","1","1","1","1","27","97","29","1","1","1","10450000","10450000","0","0","0","0"
"1876","77","Karl","Mecklenburg","29","4","75","240","LB","Minnesota","Vikings","92","72","74","1","82","51","69","1","5","1","88","93","1","10","FierceCompetitor","57","94","96","53","73","70","91","34","42","42","99","31","39","60","1","1","1","1","1","1","1","1","1","1","1","26","93","1","29","1","5700000","5700000",NULL,NULL,NULL,NULL
"1879","46","Gerald","Riggs","29","4","73","230","RB","Oakland","Raiders","88","81","81","14","82","60","72","31","39","45","28","73","1","1","PowerRunner","12","51","63","5","31","31","94","41","41","37","79","38","51","75","1","89","29","1","1","1","1","1","1","1","1","1","1","1","1","1","6830000","6830000","6830000",NULL,NULL,NULL
"1883","85","Jay","Novacek","27","4","76","234","TE","Seattle","Seahawks","92","69","73","1","78","90","68","1","42","59","35","73","1","1","ReceivingTE","80","77","66","79","99","93","72","47","35","37","76","49","48","34","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","1","6359100","6359100","6359100","6359100","6359100",NULL
"1884","75","Lomas","Brown","26","4","76","282","T","Indianapolis","Colts","91","83","61","8","53","15","69","1","83","90","47","79","6","1",NULL,"51","63","44","67","40","61","74","45","42","59","90","50","39","9","1","1","1","1","1","6","82","20","1","1","1","1","1","1","1","1","7890000","7890000","7890000",NULL,NULL,NULL
"1885","41","Eugene","Robinson","26","4","73","200","FS","Buffalo","Bills","89","54","81","1","88","63","63","3","1","1","72","81","5","1","Centerfielder","44","44","64","49","50","58","92","47","38","47","71","46","34","71","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","100","15000000","9000000","8500000","5000000","4500000","4000000"
"1886","79","Bill","Fralic","27","4","77","280","G","Atlanta","Falcons","85","75","51","1","64","13","58","1","85","72","52","76","1","1","AtheleticBlocker","71","46","70","73","38","63","84","45","43","35","76","31","46","61","1","1","1","1","1","100","1","3","1","1","1","1","1","1","1","1","4700000","4700000","4700000","4700000","4700000",NULL
"1887","80","Kellen","Winslow","32","4","77","251","TE","Green Bay","Packers","91","73","69","9","64","88","73","1","55","62","48","86","9","1","ReceivingTE","68","60","84","67","61","60","95","36","48","39","90","37","47","8","1","1","1","22","87","1","1","1","1","1","1","1","1","1","1","1","4907180","4907180",NULL,NULL,NULL,NULL
"1888","7","Boomer","Esiason","28","4","77","224","QB","Miami","Dolphins","90","51","70","90","68","31","81","87","1","1","13","93","1","3","Gunslinger","40","95","93","61","66","83","78","44","33","52","82","46","59","95","84","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","6000000","0",NULL,NULL,NULL,NULL
"1889","24","Freeman","McNeil","30","4","71","216","RB","Detroit","Lions","87","61","88","13","85","75","50","23","31","28","23","85","1","1","Athelete","96","82","84","81","73","68","75","31","46","52","92","50","63","95","1","83","19","1","1","1","1","1","1","1","1","1","1","1","1","1","2250000","2250000",NULL,NULL,NULL,NULL
"1890","56","Andre","Tippett","30","4","75","240","LB","Green Bay","Packers","94","72","82","4","84","42","75","4","1","1","92","82","1","6","CoverageLB","72","62","63","75","67","95","80","49","50","37","93","43","59","36","1","1","1","1","1","1","1","1","1","1","1","27","83","1","28","1","6480000","6480000","6480000","6480000",NULL,NULL
"1891","72","Dexter","Manley","30","4","75","253","DE","New York","Giants","89","75","79","1","73","34","51","5","1","1","70","77","1","1","OFRedFlags","61","60","33","70","58","67","80","48","31","34","100","33","52","8","1","1","1","1","1","1","1","1","1","1","11","100","19","1","1","1","11370625","11370625",NULL,NULL,NULL,NULL
"1892","29","Albert","Lewis","29","4","74","196","CB","Oakland","Raiders","98","46","91","1","95","74","55","1","1","5","59","84","1","1","PressCorner","55","33","58","45","56","37","100","47","34","43","99","38","48","69","1","1","1","1","1","1","1","1","1","1","1","1","1","75","2","1","4300000","0",NULL,NULL,NULL,NULL
"1895","15","Neil","Lomax","30","4","75","215","QB","Chicago","Cardinals","88","44","71","88","60","34","81","86","1","1","24","91","1","1","Gunslinger","68","63","71","97","62","84","96","41","35","43","73","40","40","88","100","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","21033000","21033000","21033000",NULL,NULL,NULL
"1897","41","Earnest","Jackson","30","4","69","213","RB",NULL,NULL,"81","60","77","16","86","50","50","11","39","26","40","79","1","1",NULL,"72","39","63","50","48","60","100","45","35","59","93","36","65","99","1","96","2","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0",NULL,NULL,NULL,NULL
"1898","25","Joe","Cribbs","31","4","71","190","RB",NULL,NULL,"80","58","69","17","80","72","64","33","43","27","31","71","2","1",NULL,"29","77","82","11","93","79","100","37","36","47","80","47","60","92","1","69","18","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0",NULL,NULL,NULL,NULL
"1900","81","Roy","Green","32","4","72","195","WR","Green Bay","Packers","87","50","71","1","83","89","67","1","37","18","39","85","1","2","WorkoutFanatic","54","71","90","49","79","93","99","42","35","60","98","38","52","68","1","1","1","100","19","1","1","1","1","1","1","1","1","1","1","1","5700000","0",NULL,NULL,NULL,NULL
"1901","28","Mark","Haynes","31","4","71","194","SS","Atlanta","Falcons","81","68","77","1","73","62","66","1","1","1","70","72","1","1",NULL,"64","30","58","67","64","56","83","45","31","70","92","44","54","1","1","1","1","1","1","1","1","1","1","1","1","1","45","1","80","34","3200000","3200000","0","0","0","0"
"1902","79","Bob","Golic","32","4","74","264","DT",NULL,NULL,"80","86","59","1","47","27","48","1","3","1","67","66","1","1","NoseTackle","20","33","63","17","12","22","81","45","38","60","71","36","39","1","1","1","1","1","1","1","1","1","1","1","85","30","1","1","1","1","0","0",NULL,NULL,NULL,NULL
"1903","67","Jimbo","Covert","29","4","76","277","T","Detroit","Lions","87","81","67","1","54","14","74","1","76","81","48","70","1","1",NULL,"38","64","88","52","67","79","97","40","37","58","87","34","47","93","1","1","1","1","1","1","100","13","1","1","1","1","1","1","1","1","5400000","5400000","5400000","5400000",NULL,NULL
"1904","91","Kevin","Greene","27","4","75","247","LB","Buffalo","Bills","93","72","79","1","82","63","82","1","1","1","90","79","4","1",NULL,"12","77","85","28","65","71","78","40","47","60","93","33","40","100","1","1","1","1","1","1","1","1","1","1","1","6","69","1","3","1","6000000","6000000",NULL,NULL,NULL,NULL
"1907","20","Joe","Morris","29","4","67","195","RB","San Francisco","49ers","85","64","86","18","86","65","44","25","39","26","39","74","1","1","Scatback","83","41","44","97","65","66","75","35","38","32","89","41","59","85","1","89","16","1","1","1","1","1","1","1","1","1","1","1","1","1","5500000","5000000","0","0","0","0"
"1908","40","Gary","Anderson","28","4","72","185","RB",NULL,NULL,"82","59","86","9","79","59","59","28","22","34","40","72","1","1",NULL,"37","99","92","19","90","79","97","49","34","42","83","45","62","72","1","100","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0",NULL,NULL,NULL,NULL
"1909","20","Darrin","Nelson","30","4","69","184","RB",NULL,NULL,"82","58","71","14","85","70","44","24","40","25","25","87","1","1",NULL,"38","92","72","68","86","99","93","33","32","51","88","48","40","100","1","100","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0",NULL,NULL,NULL,NULL
"1910","49","George","Rogers","31","4","74","228","RB","Atlanta","Falcons","79","61","68","30","81","62","44","26","34","41","26","77","1","1",NULL,"91","41","35","83","58","52","92","43","32","68","99","34","32","70","1","94","16","1","1","1","1","1","1","1","1","1","1","1","1","1","4000000","0","0","0","0",NULL
"1911","44","Earnest","Byner","27","4","70","215","RB","Miami","Dolphins","86","64","90","31","78","70","67","28","45","44","43","76","1","1",NULL,"25","70","99","8","83","80","78","40","48","58","93","43","35","86","1","82","24","1","1","1","1","1","1","1","1","1","1","1","1","1","5140000","5140000","5140000","5140000","5140000","5140000"
"1913","84","Eric","Martin","28","4","73","207","WR","Miami","Dolphins","89","34","78","1","96","80","67","1","35","25","28","89","1","1",NULL,"59","79","89","72","62","74","97","40","44","33","81","32","59","100","1","1","1","100","1","1","1","1","1","1","1","1","1","1","1","1","5700000","0",NULL,NULL,NULL,NULL
"1916","53","Jim","Sweeney","27","4","76","297","G","Detroit","Lions","87","87","42","1","43","16","76","1","81","79","37","78","1","1",NULL,"23","89","67","26","69","99","80","48","36","57","100","50","70","100","1","1","1","1","1","99","19","11","1","1","1","1","1","1","1","1","4000000","4000000","4000000","4000000",NULL,NULL
"1918","66","Mark","Gastineau","33","4","77","266","DE","New York","Giants","85","69","60","7","76","45","49","10","1","3","65","71","1","2","BullRusher","69","60","59","56","42","48","77","38","33","48","70","47","57","84","1","1","1","1","1","1","1","1","1","1","16","87","28","1","1","1","6000000","0","0","0","0","0"
"1919","70","Leonard","Marshall","28","4","75","288","DE","San Francisco","49ers","91","80","77","1","67","39","72","1","1","5","68","70","1","1",NULL,"89","64","63","71","72","72","86","31","42","41","72","47","49","91","1","1","1","1","1","1","1","1","1","1","1","100","12","1","1","1","5600000","0",NULL,NULL,NULL,NULL
"1920","56","Chip","Banks","30","4","76","243","LB","Buffalo","Bills","86","71","64","1","66","42","69","1","1","2","91","80","1","1",NULL,"10","68","59","31","26","13","95","40","47","55","79","47","65","63","1","1","1","1","1","1","1","1","1","1","1","31","100","1","10","1","6480000","6480000",NULL,NULL,NULL,NULL
"1921","27","Gary","Green","34","4","71","187","CB","Detroit","Lions","83","32","75","4","84","44","55","2","1","1","52","72","2","1",NULL,"26","91","93","41","72","73","88","42","45","34","85","44","62","1","1","1","1","1","1","1","1","1","1","1","1","1","1","89","5","6","2700000","2700000","0","0","0","0"
"1922","51","Randy","Cross","35","4","75","259","G",NULL,NULL,"65","54","43","1","27","24","46","1","68","60","40","52","1","1",NULL,"32","68","97","29","89","95","89","48","47","34","87","31","67","10","1","1","1","1","1","86","29","17","1","1","1","1","1","1","1","1","0","0",NULL,NULL,NULL,NULL
"1923","17","Dave","Krieg","31","4","73","193","QB","Tampa Bay","Buccaneers","87","56","64","74","58","19","83","92","1","1","21","93","3","1",NULL,"48","42","45","42","61","34","99","40","41","32","88","45","39","1","85","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","9206600","9206600",NULL,NULL,NULL,NULL
"1924","19","Bernie","Kosar","26","4","77","210","QB","San Francisco","49ers","89","56","77","82","62","26","86","88","1","1","25","96","5","1","NaturalTalent","52","87","79","49","77","70","80","40","39","49","83","38","44","79","82","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","5300000","5300000",NULL,NULL,NULL,NULL
"1925","88","John","Jefferson","33","4","73","198","WR",NULL,NULL,"81","30","75","1","82","76","57","2","22","26","40","88","1","1",NULL,"68","32","36","58","33","48","72","37","40","63","96","30","65","71","1","1","1","100","8","1","1","1","1","1","1","1","1","1","1","1","0","0",NULL,NULL,NULL,NULL
"1926","64","Ben","Utt","30","4","77","275","G","Cincinnati","Bengals","83","74","38","1","50","15","64","1","83","75","30","68","1","1",NULL,"65","31","43","72","67","38","98","39","31","57","78","42","59","100","1","1","1","1","1","100","19","2","1","1","1","1","1","1","1","1","5800000","0","0","0","0","0"
"1927","10","Steve","Bartkowski","37","4","76","216","QB",NULL,NULL,"81","37","48","79","51","18","78","87","1","1","20","83","2","1","RoleModel","70","85","86","55","97","99","96","39","32","67","100","42","31","87","76","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0"
"1928","80","Tony","Hill","33","4","74","199","WR","Oakland","Raiders","86","57","73","1","88","77","58","1","32","21","44","93","4","4",NULL,"59","62","91","69","89","88","99","43","39","67","91","45","54","43","1","1","1","98","11","1","1","1","1","1","1","1","1","1","1","1","5600000","5600000","0","0","0","0"
"1929","67","Stan","Brock","31","4","78","295","T","Minnesota","Vikings","86","82","64","1","55","26","63","1","82","78","34","85","1","1",NULL,"93","62","43","66","51","46","72","39","35","34","98","36","51","12","1","1","1","1","1","39","91","15","1","1","1","1","1","1","1","1","4512200","0",NULL,NULL,NULL,NULL
"1930","76","Ken","Lanier","30","4","75","281","T","Buffalo","Bills","85","67","63","1","38","31","58","1","86","85","48","66","1","1",NULL,"65","92","90","71","93","87","79","42","39","36","93","32","35","1","1","1","1","1","1","6","100","13","1","1","1","1","1","1","1","1","9000000","1500000","1500000","1500000","0","0"
"1931","77","Ken","Ruettgers","27","4","78","295","T","Chicago","Cardinals","83","82","49","1","50","29","75","1","83","68","50","75","1","1",NULL,"82","85","70","79","74","86","92","44","45","30","91","46","69","90","1","1","1","1","1","15","100","1","1","1","1","1","1","1","1","1","4000000","0","0","0","0","0"
"1932","75","Irv","Pankey","31","4","76","277","T","Tampa Bay","Buccaneers","82","69","62","1","40","25","61","1","81","78","33","67","1","1",NULL,"63","33","37","72","61","38","84","30","36","36","77","38","52","4","1","1","1","1","1","27","100","3","1","1","1","1","1","1","1","1","3936000","3936000",NULL,NULL,NULL,NULL
"1933","58","Dwight","Stephenson","32","4","74","255","C",NULL,NULL,"76","67","47","1","43","26","58","1","70","76","40","66","1","3","CommunityBenefactor","34","69","75","64","87","93","79","45","45","58","90","42","30","92","1","1","1","1","1","23","14","97","1","1","1","1","1","1","1","1","0","0","0","0","0","0"
